Indiana, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-3.26,-3.20
189606,.19,0.25
189706,-.03,0.03
189806,1.39,1.45
189906,-1.66,-1.60
190006,-1.87,-1.81
190106,-2.1,-2.04
190206,1.68,1.74
190306,.15,0.21
190406,-.6,-0.54
190506,.39,0.45
190606,-1.59,-1.53
190706,1.7,1.76
190806,-.78,-0.72
190906,1.97,2.03
191006,-2.23,-2.17
191106,-1.08,-1.02
191206,1.33,1.39
191306,-1.46,-1.40
191406,-3.16,-3.10
191506,.37,0.43
191606,1.39,1.45
191706,1.61,1.67
191806,-1.22,-1.16
191906,-.35,-0.29
192006,-.44,-0.38
192106,-1.91,-1.85
192206,-1.31,-1.25
192306,-.35,-0.29
192406,2.12,2.18
192506,-3,-2.94
192606,-.73,-0.67
192706,3.61,3.67
192806,2.4,2.46
192906,2.24,2.30
193006,-2.35,-2.29
193106,-5.73,-5.67
193206,-1.54,-1.48
193306,-1.45,-1.39
193406,-5.16,-5.10
193506,-1.38,-1.32
193606,-3.57,-3.51
193706,1.68,1.74
193806,2.22,2.28
193906,-.31,-0.25
194006,-2.19,-2.13
194106,-4.54,-4.48
194206,.75,0.81
194306,-.45,-0.39
194406,-2.03,-1.97
194506,2.67,2.73
194606,-.48,-0.42
194706,2.01,2.07
194806,.61,0.67
194906,1.43,1.49
195006,4.22,4.28
195106,2.87,2.93
195206,2.13,2.19
195306,-1.89,-1.83
195406,-4.51,-4.45
195506,-.55,-0.49
195606,-.32,-0.26
195706,2.72,2.78
195806,1.92,1.98
195906,-.97,-0.91
196006,1.12,1.18
196106,1.78,1.84
196206,-1.46,-1.40
196306,-1.75,-1.69
196406,-2.88,-2.82
196506,-3.01,-2.95
196606,-1.7,-1.64
196706,-.51,-0.45
196806,1.08,1.14
196906,.41,0.47
197006,.3,0.36
197106,-.2,-0.14
197206,-.43,-0.37
197306,2.69,2.75
197406,2.37,2.43
197506,2.29,2.35
197606,.48,0.54
197706,-1.97,-1.91
197806,.76,0.82
197906,1.03,1.09
198006,1.95,2.01
198106,1.76,1.82
198206,1.89,1.95
198306,-.32,-0.26
198406,-.97,-0.91
198506,-1.02,-0.96
198606,.3,0.36
198706,-1.94,-1.88
198806,-3.37,-3.31
198906,1.23,1.29
199006,2.85,2.91
199106,-1.76,-1.70
199206,-2.52,-2.46
199306,2.8,2.86
199406,-.71,-0.65
199506,-.06,0.00
199606,2.63,2.69
199706,3.49,3.55
199806,2.31,2.37
199906,-.61,-0.55
200006,.93,0.99
200106,.12,0.18
200206,-.41,-0.35
200306,.72,0.78
200406,2.03,2.09
200506,-1.64,-1.58
200606,1.01,1.07
200706,-1.55,-1.49
200806,3.73,3.79
200906,2.39,2.45
201006,1.64,1.70
201106,3.52,3.58
201206,-3.53,-3.47
201306,1.79,1.85
201406,1.51,1.57
201506,3.44,3.50
