New York, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.21,0.32
189601,-2.14,-2.03
189701,-1.8,-1.69
189801,1.82,1.93
189901,1.26,1.37
190001,.47,0.58
190101,-2.08,-1.97
190201,1.39,1.50
190301,2.07,2.18
190401,2.5,2.61
190501,-.86,-0.75
190601,-.63,-0.52
190701,-.22,-0.11
190801,1.9,2.01
190901,-3.91,-3.80
191001,-2.56,-2.45
191101,-2.4,-2.29
191201,-1.96,-1.85
191301,1.63,1.74
191401,-2.22,-2.11
191501,.87,0.98
191601,1.83,1.94
191701,-1.55,-1.44
191801,-1.13,-1.02
191901,-.85,-0.74
192001,-.87,-0.76
192101,-.56,-0.45
192201,-.77,-0.66
192301,-1.16,-1.05
192401,-1.03,-0.92
192501,.37,0.48
192601,-.66,-0.55
192701,-.76,-0.65
192801,3.01,3.12
192901,1.2,1.31
193001,.58,0.69
193101,-4.24,-4.13
193201,.87,0.98
193301,-1.13,-1.02
193401,-.5,-0.39
193501,-1.72,-1.61
193601,.4,0.51
193701,1.19,1.30
193801,.08,0.19
193901,-.92,-0.81
194001,-3.87,-3.76
194101,-.59,-0.48
194201,-3.6,-3.49
194301,1.82,1.93
194401,-1.6,-1.49
194501,.42,0.53
194601,-.96,-0.85
194701,.82,0.93
194801,-2.19,-2.08
194901,1.1,1.21
195001,.74,0.85
195101,1.3,1.41
195201,2.32,2.43
195301,.86,0.97
195401,.04,0.15
195501,-.89,-0.78
195601,.83,0.94
195701,-.8,-0.69
195801,1.15,1.26
195901,-.2,-0.09
196001,2.15,2.26
196101,-2.44,-2.33
196201,-2.01,-1.90
196301,-2.01,-1.90
196401,-2.81,-2.70
196501,-5.24,-5.13
196601,-3.24,-3.13
196701,-2.99,-2.88
196801,-.47,-0.36
196901,-.21,-0.10
197001,-.84,-0.73
197101,.35,0.46
197201,-.95,-0.84
197301,4,4.11
197401,1.43,1.54
197501,2.06,2.17
197601,3.43,3.54
197701,2.86,2.97
197801,6.69,6.80
197901,2.29,2.40
198001,-1.31,-1.20
198101,-2.12,-2.01
198201,-.37,-0.26
198301,-1.71,-1.60
198401,.97,1.08
198501,-1.15,-1.04
198601,-.15,-0.04
198701,2.88,2.99
198801,-1.15,-1.04
198901,-1.96,-1.85
199001,1.93,2.04
199101,-.14,-0.03
199201,-2.31,-2.20
199301,2.57,2.68
199401,1.3,1.41
199501,-.44,-0.33
199601,2.16,2.27
199701,4.14,4.25
199801,2.65,2.76
199901,-.65,-0.54
200001,.39,0.50
200101,-.77,-0.66
200201,-3.42,-3.31
200301,.63,0.74
200401,3.14,3.25
200501,3.76,3.87
200601,2.95,3.06
200701,3.99,4.10
200801,1.16,1.27
200901,3.03,3.14
201001,-.6,-0.49
201101,1.21,1.32
201201,.41,0.52
201301,-.36,-0.25
201401,1.91,2.02
201501,-.46,-0.35
201601,-1.05,-0.94
