South Carolina, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.47,1.48
189603,-1.64,-1.63
189703,-.01,0.00
189803,-2.97,-2.96
189903,-.14,-0.13
190003,.73,0.74
190103,.39,0.40
190203,-.04,-0.03
190303,1.99,2.00
190403,-.92,-0.91
190503,-1.59,-1.58
190603,.37,0.38
190703,-2.47,-2.46
190803,2.43,2.44
190903,1.29,1.30
191003,-1.43,-1.42
191103,-2.26,-2.25
191203,2.85,2.86
191303,1.92,1.93
191403,-.36,-0.35
191503,-.49,-0.48
191603,-1.31,-1.30
191703,.29,0.30
191803,-2.21,-2.20
191903,-.5,-0.49
192003,.86,0.87
192103,-.94,-0.93
192203,1.3,1.31
192303,1.36,1.37
192403,-1.04,-1.03
192503,-1.67,-1.66
192603,-1.97,-1.96
192703,-3.92,-3.91
192803,.47,0.48
192903,4.18,4.19
193003,-1.06,-1.05
193103,-2.29,-2.28
193203,-3.35,-3.34
193303,-.82,-0.81
193403,-4.23,-4.22
193503,-3.16,-3.15
193603,1.89,1.90
193703,.76,0.77
193803,-2.65,-2.64
193903,-.48,-0.47
194003,-1.63,-1.62
194103,-1.82,-1.81
194203,1.26,1.27
194303,.51,0.52
194403,1.86,1.87
194503,-3.21,-3.20
194603,-.75,-0.74
194703,.52,0.53
194803,3.81,3.82
194903,1.75,1.76
195003,-1.85,-1.84
195103,-1.67,-1.66
195203,-1.28,-1.27
195303,-.74,-0.73
195403,-2.03,-2.02
195503,-4.53,-4.52
195603,-2.14,-2.13
195703,-2.92,-2.91
195803,1.93,1.94
195903,.93,0.94
196003,4.29,4.30
196103,.46,0.47
196203,1,1.01
196303,.39,0.40
196403,2.63,2.64
196503,4.78,4.79
196603,1.85,1.86
196703,-1.1,-1.09
196803,-1.29,-1.28
196903,.86,0.87
197003,1.76,1.77
197103,1.32,1.33
197203,2.34,2.35
197303,2.66,2.67
197403,-1.05,-1.04
197503,2.26,2.27
197603,-1.08,-1.07
197703,.64,0.65
197803,-.81,-0.80
197903,.87,0.88
198003,3.28,3.29
198103,-2.85,-2.84
198203,.62,0.63
198303,2.88,2.89
198403,2.07,2.08
198503,-2.8,-2.79
198603,-1.66,-1.65
198703,2.37,2.38
198803,-1.94,-1.93
198903,.03,0.04
199003,-.62,-0.61
199103,1.92,1.93
199203,-1.37,-1.36
199303,3.75,3.76
199403,-1.75,-1.74
199503,2.82,2.83
199603,-.1,-0.09
199703,.1,0.11
199803,4.51,4.52
199903,-2.69,-2.68
200003,-1.46,-1.45
200103,-1.75,-1.74
200203,-4.82,-4.81
200303,1.6,1.61
200403,-1.68,-1.67
200503,.18,0.19
200603,-1.44,-1.43
200703,-1.13,-1.12
200803,-3.61,-3.60
200903,.2,0.21
201003,-.4,-0.39
201103,-3.39,-3.38
201203,-5.42,-5.41
201303,.57,0.58
201403,.43,0.44
201503,-.47,-0.46
201603,2.54,2.55
