Arkansas, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.51,-1.49
189604,-.92,-0.90
189704,-1.29,-1.27
189804,.29,0.31
189904,-1.28,-1.26
190004,-2.2,-2.18
190104,-1.24,-1.22
190204,-2.59,-2.57
190304,1.29,1.31
190404,-1.49,-1.47
190504,.57,0.59
190604,1.81,1.83
190704,2.5,2.52
190804,.36,0.38
190904,.07,0.09
191004,.1,0.12
191104,-.71,-0.69
191204,2.28,2.30
191304,.93,0.95
191404,-.72,-0.70
191504,-.74,-0.72
191604,-1.53,-1.51
191704,.36,0.38
191804,-2.28,-2.26
191904,-.54,-0.52
192004,1.51,1.53
192104,1.75,1.77
192204,1.12,1.14
192304,1.03,1.05
192404,-.79,-0.77
192504,-4.08,-4.06
192604,-2.02,-2.00
192704,3.31,3.33
192804,1.3,1.32
192904,.17,0.19
193004,-1.92,-1.90
193104,-2.49,-2.47
193204,-.69,-0.67
193304,-.11,-0.09
193404,-1.09,-1.07
193504,.81,0.83
193604,-3.02,-3.00
193704,-1.26,-1.24
193804,.04,0.06
193904,1.96,1.98
194004,.65,0.67
194104,-1.1,-1.08
194204,.91,0.93
194304,-1.88,-1.86
194404,1.73,1.75
194504,3.54,3.56
194604,3.51,3.53
194704,-1.5,-1.48
194804,-.56,-0.54
194904,1.03,1.05
195004,2.44,2.46
195104,-.78,-0.76
195204,1.52,1.54
195304,1.36,1.38
195404,-4.01,-3.99
195504,-3.32,-3.30
195604,-2.08,-2.06
195704,2.39,2.41
195804,3.28,3.30
195904,-1.18,-1.16
196004,-1.16,-1.14
196104,.61,0.63
196204,-.52,-0.50
196304,-2.52,-2.50
196404,-1.8,-1.78
196504,-1.93,-1.91
196604,-.81,-0.79
196704,-.03,-0.01
196804,1.4,1.42
196904,-.49,-0.47
197004,.81,0.83
197104,-1.75,-1.73
197204,-2.23,-2.21
197304,4.68,4.70
197404,2.6,2.62
197504,3.87,3.89
197604,-1.71,-1.69
197704,-1.09,-1.07
197804,-1.63,-1.61
197904,2.27,2.29
198004,-.38,-0.36
198104,-3.41,-3.39
198204,.28,0.30
198304,.51,0.53
198404,.39,0.41
198504,.24,0.26
198604,.38,0.40
198704,-1.35,-1.33
198804,-.68,-0.66
198904,1.51,1.53
199004,2.35,2.37
199104,3.12,3.14
199204,-1.12,-1.10
199304,.5,0.52
199404,1.1,1.12
199504,-.58,-0.56
199604,-2.18,-2.16
199704,3.27,3.29
199804,-.41,-0.39
199904,-1.12,-1.10
200004,-3.17,-3.15
200104,-1.12,-1.10
200204,-.54,-0.52
200304,-1.48,-1.46
200404,.42,0.44
200504,-.91,-0.89
200604,-3.58,-3.56
200704,-1.62,-1.60
200804,2.28,2.30
200904,1.53,1.55
201004,-1.19,-1.17
201104,-1.77,-1.75
201204,-1.61,-1.59
201304,.37,0.39
201404,.3,0.32
201504,1.07,1.09
