Alabama, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,.78,1.01
189608,-2.3,-2.07
189708,-2.75,-2.52
189808,.85,1.08
189908,-2.23,-2.00
190008,1.99,2.22
190108,1.54,1.77
190208,-4.14,-3.91
190308,-.14,0.09
190408,-2.09,-1.86
190508,-1,-0.77
190608,.48,0.71
190708,.83,1.06
190808,-.62,-0.39
190908,-.31,-0.08
191008,-.25,-0.02
191108,-1.61,-1.38
191208,2.93,3.16
191308,-1.75,-1.52
191408,-3.66,-3.43
191508,-2.03,-1.80
191608,-.07,0.16
191708,.65,0.88
191808,-2.74,-2.51
191908,3.52,3.75
192008,3.73,3.96
192108,-2.53,-2.30
192208,-.89,-0.66
192308,2.5,2.73
192408,-1.06,-0.83
192508,-5.04,-4.81
192608,1.27,1.50
192708,-2.38,-2.15
192808,2.94,3.17
192908,1.4,1.63
193008,-3.58,-3.35
193108,-2.71,-2.48
193208,.44,0.67
193308,-.74,-0.51
193408,1.1,1.33
193508,-.87,-0.64
193608,-1.5,-1.27
193708,.27,0.50
193808,-.08,0.15
193908,3.63,3.86
194008,-.25,-0.02
194108,-1.94,-1.71
194208,.95,1.18
194308,-1.69,-1.46
194408,.64,0.87
194508,-.72,-0.49
194608,3.07,3.30
194708,-.6,-0.37
194808,.11,0.34
194908,2.87,3.10
195008,1.9,2.13
195108,-2.3,-2.07
195208,-2.46,-2.23
195308,-1.42,-1.19
195408,-4.28,-4.05
195508,-1.83,-1.60
195608,-2.41,-2.18
195708,-1.26,-1.03
195808,.81,1.04
195908,.03,0.26
196008,.39,0.62
196108,2.94,3.17
196208,-2.4,-2.17
196308,-1.29,-1.06
196408,1.73,1.96
196508,-.98,-0.75
196608,.23,0.46
196708,2.46,2.69
196808,-1.84,-1.61
196908,-.35,-0.12
197008,1.1,1.33
197108,1.66,1.89
197208,-.55,-0.32
197308,2.98,3.21
197408,1.98,2.21
197508,4.54,4.77
197608,2.66,2.89
197708,-1.96,-1.73
197808,-.37,-0.14
197908,2.32,2.55
198008,-2.11,-1.88
198108,-2.54,-2.31
198208,.73,0.96
198308,1.72,1.95
198408,.83,1.06
198508,.96,1.19
198608,-3.35,-3.12
198708,-1.64,-1.41
198808,-3.36,-3.13
198908,2.59,2.82
199008,-1.9,-1.67
199108,-.29,-0.06
199208,1.49,1.72
199308,-1.55,-1.32
199408,2.02,2.25
199508,-1.53,-1.30
199608,1.29,1.52
199708,2.11,2.34
199808,-1.85,-1.62
199908,-1,-0.77
200008,-5.24,-5.01
200108,1.7,1.93
200208,-1.93,-1.70
200308,4.61,4.84
200408,1.21,1.44
200508,3.66,3.89
200608,-3.37,-3.14
200708,-5.06,-4.83
200808,1.52,1.75
200908,1.56,1.79
201008,-1.71,-1.48
201108,-3.87,-3.64
201208,.64,0.87
201308,3.3,3.53
201408,-.72,-0.49
201508,-1,-0.77
