Ohio, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-4.73,-4.85
189609,3.54,3.42
189709,-1.34,-1.46
189809,.97,0.85
189909,-2.03,-2.15
190009,-3.04,-3.16
190109,-2.25,-2.37
190209,1.6,1.48
190309,-1.5,-1.62
190409,-.81,-0.93
190509,1.57,1.45
190609,.66,0.54
190709,3.03,2.91
190809,-2.23,-2.35
190909,1.59,1.47
191009,.45,0.33
191109,1.16,1.04
191209,2.56,2.44
191309,-1.27,-1.39
191409,-1.65,-1.77
191509,2.98,2.86
191609,-1.54,-1.66
191709,.81,0.69
191809,.6,0.48
191909,-.77,-0.89
192009,2.4,2.28
192109,.57,0.45
192209,-.72,-0.84
192309,.64,0.52
192409,2.46,2.34
192509,.17,0.05
192609,3.31,3.19
192709,2.7,2.58
192809,1.5,1.38
192909,2,1.88
193009,-4.15,-4.27
193109,-2.97,-3.09
193209,-2.32,-2.44
193309,-1.28,-1.40
193409,-3.88,-4.00
193509,2.63,2.51
193609,-2.95,-3.07
193709,1.98,1.86
193809,2.26,2.14
193909,-1.29,-1.41
194009,-.97,-1.09
194109,-2.66,-2.78
194209,.44,0.32
194309,-.56,-0.68
194409,-3.07,-3.19
194509,2.14,2.02
194609,-1.23,-1.35
194709,2.42,2.30
194809,.89,0.77
194909,-.62,-0.74
195009,2.9,2.78
195109,-1.32,-1.44
195209,-1.73,-1.85
195309,-3.82,-3.94
195409,-.8,-0.92
195509,-1.87,-1.99
195609,-.04,-0.16
195709,.31,0.19
195809,4.06,3.94
195909,-1.85,-1.97
196009,-1.87,-1.99
196109,1.78,1.66
196209,-1.71,-1.83
196309,-2.68,-2.80
196409,-3.52,-3.64
196509,.74,0.62
196609,-.88,-1.00
196709,.01,-0.11
196809,-.59,-0.71
196909,1.18,1.06
197009,.26,0.14
197109,-.75,-0.87
197209,1.93,1.81
197309,1.83,1.71
197409,2.42,2.30
197509,3.09,2.97
197609,1.39,1.27
197709,.89,0.77
197809,-.96,-1.08
197909,4.22,4.10
198009,4.04,3.92
198109,2.47,2.35
198209,-1.09,-1.21
198309,-1.81,-1.93
198409,-1.25,-1.37
198509,-1.73,-1.85
198609,1.03,0.91
198709,-1.67,-1.79
198809,-3.69,-3.81
198909,2.32,2.20
199009,3.85,3.73
199109,-3.29,-3.41
199209,3.04,2.92
199309,.41,0.29
199409,-.46,-0.58
199509,-.91,-1.03
199609,3.09,2.97
199709,2.93,2.81
199809,-.9,-1.02
199909,-3.36,-3.48
200009,1.8,1.68
200109,.13,0.01
200209,-1.53,-1.65
200309,4.64,4.52
200409,4.19,4.07
200509,-1.06,-1.18
200609,2.03,1.91
200709,-.51,-0.63
200809,-1.01,-1.13
200909,.17,0.05
201009,-1.22,-1.34
201109,3.64,3.52
201209,.92,0.80
201309,1.57,1.45
201409,2.02,1.90
201509,1.98,1.86
