Colorado, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,1.91,1.53
189604,-.39,-0.77
189704,1.34,0.96
189804,1.11,0.73
189904,-.62,-1.00
190004,2.65,2.27
190104,-3.53,-3.91
190204,-5.4,-5.78
190304,1,0.62
190404,-4.15,-4.53
190504,2.66,2.28
190604,2.41,2.03
190704,2.56,2.18
190804,-1.36,-1.74
190904,4.16,3.78
191004,-1.33,-1.71
191104,-1.95,-2.33
191204,2.19,1.81
191304,-.45,-0.83
191404,2.55,2.17
191504,3.01,2.63
191604,4.26,3.88
191704,3.53,3.15
191804,.59,0.21
191904,1.64,1.26
192004,4.02,3.64
192104,2.65,2.27
192204,3.59,3.21
192304,.73,0.35
192404,5.55,5.17
192504,-3.33,-3.71
192604,1.61,1.23
192704,-.12,-0.50
192804,1.04,0.66
192904,3.04,2.66
193004,.76,0.38
193104,-.86,-1.24
193204,.64,0.26
193304,-2.33,-2.71
193404,-3.66,-4.04
193504,-5.15,-5.53
193604,-3.09,-3.47
193704,-2.4,-2.78
193804,1.04,0.66
193904,-.57,-0.95
194004,-3.6,-3.98
194104,2.47,2.09
194204,7.94,7.56
194304,-.85,-1.23
194404,2.44,2.06
194504,1.05,0.67
194604,-2.29,-2.67
194704,2.05,1.67
194804,4.14,3.76
194904,1.73,1.35
195004,-1.78,-2.16
195104,.17,-0.21
195204,3.61,3.23
195304,-2.06,-2.44
195404,-4.02,-4.40
195504,-5.28,-5.66
195604,-2.46,-2.84
195704,2.48,2.10
195804,5.13,4.75
195904,-1.38,-1.76
196004,-.36,-0.74
196104,.19,-0.19
196204,-.4,-0.78
196304,-3.3,-3.68
196404,-4.73,-5.11
196504,1.01,0.63
196604,-.71,-1.09
196704,-2.86,-3.24
196804,-.07,-0.45
196904,-.52,-0.90
197004,4.5,4.12
197104,2.01,1.63
197204,-2.31,-2.69
197304,3.52,3.14
197404,-.07,-0.45
197504,.46,0.08
197604,-.87,-1.25
197704,-3.88,-4.26
197804,-3.18,-3.56
197904,2.4,2.02
198004,4.52,4.14
198104,-5.33,-5.71
198204,-2.69,-3.07
198304,3.43,3.05
198404,5.43,5.05
198504,4.66,4.28
198604,2.8,2.42
198704,3.33,2.95
198804,1.51,1.13
198904,-1.85,-2.23
199004,-3.37,-3.75
199104,-1.89,-2.27
199204,-.99,-1.37
199304,2.98,2.60
199404,-.09,-0.47
199504,1.7,1.32
199604,1.22,0.84
199704,2.18,1.80
199804,4.36,3.98
199904,1.93,1.55
200004,-1.51,-1.89
200104,-2.86,-3.24
200204,-5.75,-6.13
200304,-5.15,-5.53
200404,-3.65,-4.03
200504,1.81,1.43
200604,-2.16,-2.54
200704,-.29,-0.67
200804,-.19,-0.57
200904,.4,0.02
201004,1.69,1.31
201104,.18,-0.20
201204,-3.04,-3.42
201304,-6.09,-6.47
201404,.44,0.06
201504,-.97,-1.35
