Michigan, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.49,-0.44
189602,-3.57,-3.52
189702,3.31,3.36
189802,1.12,1.17
189902,.38,0.43
190002,-.78,-0.73
190102,-.76,-0.71
190202,-2.59,-2.54
190302,2.27,2.32
190402,2.47,2.52
190502,-.89,-0.84
190602,.01,0.06
190702,1.21,1.26
190802,1.66,1.71
190902,-3.25,-3.20
191002,-1.55,-1.50
191102,-3.55,-3.50
191202,-.14,-0.09
191302,.87,0.92
191402,-2.77,-2.72
191502,-2.07,-2.02
191602,2.28,2.33
191702,-1.83,-1.78
191802,-.61,-0.56
191902,.1,0.15
192002,-2.12,-2.07
192102,-2.25,-2.20
192202,.6,0.65
192302,-1.86,-1.81
192402,.24,0.29
192502,-1.91,-1.86
192602,.33,0.38
192702,-.65,-0.60
192802,1.07,1.12
192902,2.53,2.58
193002,-.86,-0.81
193102,-7.73,-7.68
193202,1.34,1.39
193302,1.01,1.06
193402,-2.83,-2.78
193502,-2.46,-2.41
193602,-1,-0.95
193702,-1.52,-1.47
193802,1.78,1.83
193902,1.14,1.19
194002,-2.7,-2.65
194102,-.36,-0.31
194202,1.14,1.19
194302,2.5,2.55
194402,-1.73,-1.68
194502,-3.04,-2.99
194602,2.91,2.96
194702,-.17,-0.12
194802,-2.18,-2.13
194902,.96,1.01
195002,2.24,2.29
195102,1.96,2.01
195202,3.48,3.53
195302,.52,0.57
195402,.66,0.71
195502,-.4,-0.35
195602,-3.02,-2.97
195702,-2.81,-2.76
195802,-.8,-0.75
195902,.29,0.34
196002,2.61,2.66
196102,.03,0.08
196202,1.33,1.38
196302,-3.65,-3.60
196402,-5.98,-5.93
196502,.84,0.89
196602,1.64,1.69
196702,1.39,1.44
196802,2.04,2.09
196902,2.14,2.19
197002,-1.83,-1.78
197102,2.44,2.49
197202,.12,0.17
197302,2.5,2.55
197402,.84,0.89
197502,1.52,1.57
197602,3.22,3.27
197702,-4.92,-4.87
197802,-.64,-0.59
197902,1.25,1.30
198002,-.54,-0.49
198102,1.49,1.54
198202,1.57,1.62
198302,1.56,1.61
198402,-.75,-0.70
198502,2.25,2.30
198602,3.51,3.56
198702,-1.47,-1.42
198802,-.18,-0.13
198902,-.65,-0.60
199002,.58,0.63
199102,1.57,1.62
199202,1.47,1.52
199302,2.76,2.81
199402,2.08,2.13
199502,-.57,-0.52
199602,.04,0.09
199702,3.55,3.60
199802,.52,0.57
199902,-3.19,-3.14
200002,-2.72,-2.67
200102,1.55,1.60
200202,1.39,1.44
200302,-2.88,-2.83
200402,.56,0.61
200502,1.64,1.69
200602,1.02,1.07
200702,-.39,-0.34
200802,1.69,1.74
200902,2.71,2.76
201002,-.97,-0.92
201102,.02,0.07
201202,-.14,-0.09
201302,1.64,1.69
201402,2.29,2.34
201502,2.53,2.58
