Illinois, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-2.12,-2.31
189609,2.08,1.89
189709,-2.41,-2.60
189809,2.59,2.40
189909,-1.58,-1.77
190009,-.68,-0.87
190109,-4.15,-4.34
190209,3.46,3.27
190309,1.95,1.76
190409,2.79,2.60
190509,.71,0.52
190609,.43,0.24
190709,2.95,2.76
190809,-1.78,-1.97
190909,1.31,1.12
191009,-.83,-1.02
191109,2,1.81
191209,-.19,-0.38
191309,-2.79,-2.98
191409,-4.02,-4.21
191509,4.39,4.20
191609,-1.12,-1.31
191709,-.43,-0.62
191809,.65,0.46
191909,-1.05,-1.24
192009,-1.6,-1.79
192109,1.44,1.25
192209,-2.8,-2.99
192309,.7,0.51
192409,2.19,2.00
192509,.23,0.04
192609,2.96,2.77
192709,4.15,3.96
192809,2.17,1.98
192909,2.6,2.41
193009,-3.69,-3.88
193109,-4,-4.19
193209,.64,0.45
193309,-2.5,-2.69
193409,1.16,0.97
193509,-.52,-0.71
193609,.85,0.66
193709,-.94,-1.13
193809,-.03,-0.22
193909,-1.19,-1.38
194009,-3.97,-4.16
194109,.49,0.30
194209,2.12,1.93
194309,-1.07,-1.26
194409,-1.8,-1.99
194509,3.29,3.10
194609,1.36,1.17
194709,-1.18,-1.37
194809,-.72,-0.91
194909,.01,-0.18
195009,2.79,2.60
195109,2.92,2.73
195209,-.92,-1.11
195309,-3.4,-3.59
195409,-4.43,-4.62
195509,-2.21,-2.40
195609,-2.01,-2.20
195709,1.34,1.15
195809,0,-0.19
195909,.21,0.02
196009,-.92,-1.11
196109,2.94,2.75
196209,-.79,-0.98
196309,-2.7,-2.89
196409,-3.82,-4.01
196509,2.58,2.39
196609,-1.27,-1.46
196709,.83,0.64
196809,-.19,-0.38
196909,1.51,1.32
197009,3.42,3.23
197109,-1.66,-1.85
197209,1.7,1.51
197309,3.17,2.98
197409,2.9,2.71
197509,.03,-0.16
197609,-1.61,-1.80
197709,2,1.81
197809,-.35,-0.54
197909,-1.01,-1.20
198009,1,0.81
198109,3.51,3.32
198209,2.76,2.57
198309,.64,0.45
198409,.38,0.19
198509,1.26,1.07
198609,1.95,1.76
198709,-1.76,-1.95
198809,-4.42,-4.61
198909,-.64,-0.83
199009,2.13,1.94
199109,-2.61,-2.80
199209,1.54,1.35
199309,6.37,6.18
199409,-1.04,-1.23
199509,-1.16,-1.35
199609,1.28,1.09
199709,-.4,-0.59
199809,1.32,1.13
199909,-.88,-1.07
200009,1.91,1.72
200109,.48,0.29
200209,-1.05,-1.24
200309,1.24,1.05
200409,.58,0.39
200509,-2.87,-3.06
200609,.38,0.19
200709,-1.8,-1.99
200809,4.46,4.27
200909,4.34,4.15
201009,3.82,3.63
201109,-.57,-0.76
201209,-3.37,-3.56
201309,-1.44,-1.63
201409,2.36,2.17
201509,3.24,3.05
