Kentucky, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-1,-0.82
189607,1.29,1.47
189707,-.18,0.00
189807,.59,0.77
189907,-1.14,-0.96
190007,-1.93,-1.75
190107,-3.5,-3.32
190207,-3.14,-2.96
190307,-.84,-0.66
190407,-2.21,-2.03
190507,.74,0.92
190607,.58,0.76
190707,2.31,2.49
190807,-.28,-0.10
190907,2.76,2.94
191007,2.68,2.86
191107,-1.94,-1.76
191207,2.37,2.55
191307,-2.31,-2.13
191407,-4.31,-4.13
191507,1.25,1.43
191607,1.92,2.10
191707,1.95,2.13
191807,-1.5,-1.32
191907,-1.65,-1.47
192007,2.32,2.50
192107,-2.86,-2.68
192207,-.24,-0.06
192307,.98,1.16
192407,.62,0.80
192507,-2.19,-2.01
192607,-1.73,-1.55
192707,-.2,-0.02
192807,2.82,3.00
192907,1.28,1.46
193007,-4.62,-4.44
193107,-5.45,-5.27
193207,-.95,-0.77
193307,-.39,-0.21
193407,-2.87,-2.69
193507,3.55,3.73
193607,-3.48,-3.30
193707,-1.09,-0.91
193807,1.49,1.67
193907,-.06,0.12
194007,-2.41,-2.23
194107,-3.87,-3.69
194207,.38,0.56
194307,-.61,-0.43
194407,-4.34,-4.16
194507,-.31,-0.13
194607,.18,0.36
194707,.83,1.01
194807,-.34,-0.16
194907,.16,0.34
195007,3.74,3.92
195107,1.78,1.96
195207,-2.26,-2.08
195307,-2.37,-2.19
195407,-5.09,-4.91
195507,-.31,-0.13
195607,1.64,1.82
195707,-.48,-0.30
195807,2.61,2.79
195907,-1.49,-1.31
196007,-.21,-0.03
196107,2.81,2.99
196207,1.69,1.87
196307,.55,0.73
196407,-2.16,-1.98
196507,-.72,-0.54
196607,-1,-0.82
196707,2.08,2.26
196807,-.31,-0.13
196907,-.27,-0.09
197007,-.69,-0.51
197107,1.49,1.67
197207,1.82,2.00
197307,3.22,3.40
197407,1.43,1.61
197507,2.62,2.80
197607,1.75,1.93
197707,.3,0.48
197807,1.01,1.19
197907,4.2,4.38
198007,-1.1,-0.92
198107,1.4,1.58
198207,.22,0.40
198307,-.97,-0.79
198407,-.68,-0.50
198507,.18,0.36
198607,-2.89,-2.71
198707,-2.07,-1.89
198807,-3.55,-3.37
198907,3.36,3.54
199007,1.39,1.57
199107,-1.51,-1.33
199207,1.25,1.43
199307,-.81,-0.63
199407,-.49,-0.31
199507,-.51,-0.33
199607,2.28,2.46
199707,-.78,-0.60
199807,2.9,3.08
199907,-2.77,-2.59
200007,-1.98,-1.80
200107,.88,1.06
200207,-.74,-0.56
200307,2.84,3.02
200407,2.86,3.04
200507,-1.53,-1.35
200607,.15,0.33
200707,-2.38,-2.20
200807,-.24,-0.06
200907,2.49,2.67
201007,-.64,-0.46
201107,3.11,3.29
201207,-2.47,-2.29
201307,2.51,2.69
201407,1.53,1.71
201507,3.84,4.02
