Illinois, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-2.21,-2.22
189605,.25,0.24
189705,-.63,-0.64
189805,2.75,2.74
189905,-.2,-0.21
190005,-2.09,-2.10
190105,-1.99,-2.00
190205,-4.9,-4.91
190305,2.01,2.00
190405,1.84,1.83
190505,.16,0.15
190605,-1.26,-1.27
190705,1.07,1.06
190805,4,3.99
190905,1.56,1.55
191005,-1.13,-1.14
191105,-1.62,-1.63
191205,1.75,1.74
191305,-.66,-0.67
191405,-3.22,-3.23
191505,1.02,1.01
191605,-.98,-0.99
191705,.82,0.81
191805,.99,0.98
191905,.57,0.56
192005,1.57,1.56
192105,-2.77,-2.78
192205,-.35,-0.36
192305,-2.12,-2.13
192405,.1,0.09
192505,-2.38,-2.39
192605,-.75,-0.76
192705,4.81,4.80
192805,1.74,1.73
192905,3.17,3.16
193005,-1.83,-1.84
193105,-5.46,-5.47
193205,-2.58,-2.59
193305,2.61,2.60
193405,-6.54,-6.55
193505,2.43,2.42
193605,-2.12,-2.13
193705,.9,0.89
193805,1.22,1.21
193905,-.76,-0.77
194005,-2.92,-2.93
194105,-4.03,-4.04
194205,1.32,1.31
194305,3.04,3.03
194405,-.16,-0.17
194505,1.98,1.97
194605,1.51,1.50
194705,1.83,1.82
194805,-.79,-0.80
194905,-1.23,-1.24
195005,2.51,2.50
195105,1.62,1.61
195205,-.19,-0.20
195305,-1.38,-1.39
195405,-5.38,-5.39
195505,-1.9,-1.91
195605,-2,-2.01
195705,1.92,1.91
195805,-1.58,-1.59
195905,-.3,-0.31
196005,.35,0.34
196105,1.07,1.06
196205,-.78,-0.79
196305,-2.33,-2.34
196405,-3.78,-3.79
196505,-.71,-0.72
196605,1.68,1.67
196705,.36,0.35
196805,-.39,-0.40
196905,-.78,-0.79
197005,1.71,1.70
197105,-1.46,-1.47
197205,.07,0.06
197305,3.81,3.80
197405,3.93,3.92
197505,2.44,2.43
197605,-.46,-0.47
197705,-3.28,-3.29
197805,.47,0.46
197905,1.42,1.41
198005,-1.78,-1.79
198105,1.22,1.21
198205,2.41,2.40
198305,4.09,4.08
198405,2.67,2.66
198505,1.28,1.27
198605,.7,0.69
198705,-2.25,-2.26
198805,-1.64,-1.65
198905,-2.03,-2.04
199005,2.06,2.05
199105,-.38,-0.39
199205,-2.1,-2.11
199305,2.42,2.41
199405,-.62,-0.63
199505,2.29,2.28
199605,1.98,1.97
199705,-.22,-0.23
199805,1.31,1.30
199905,1.26,1.25
200005,-.02,-0.03
200105,-.03,-0.04
200205,3.21,3.20
200305,.58,0.57
200405,.79,0.78
200505,-1.82,-1.83
200605,-.37,-0.38
200705,-1.13,-1.14
200805,2.68,2.67
200905,4.34,4.33
201005,3.28,3.27
201105,3.3,3.29
201205,-2.24,-2.25
201305,2.86,2.85
201405,.15,0.14
201505,1.42,1.41
