Oklahoma, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.21,-0.26
189602,-.24,-0.29
189702,-2.63,-2.68
189802,.29,0.24
189902,-.39,-0.44
190002,-.12,-0.17
190102,-1.47,-1.52
190202,-4.61,-4.66
190302,2.76,2.71
190402,-2.37,-2.42
190502,-1.95,-2.00
190602,1.36,1.31
190702,3,2.95
190802,2.14,2.09
190902,-.77,-0.82
191002,-1.35,-1.40
191102,-4.61,-4.66
191202,-3.27,-3.32
191302,-2.17,-2.22
191402,-.22,-0.27
191502,.58,0.53
191602,-.4,-0.45
191702,-2.8,-2.85
191802,-4.28,-4.33
191902,1.89,1.84
192002,1.68,1.63
192102,2.42,2.37
192202,-2.74,-2.79
192302,-1.86,-1.91
192402,2.96,2.91
192502,-2.75,-2.80
192602,-.62,-0.67
192702,3.22,3.17
192802,1.77,1.72
192902,2.76,2.71
193002,-.3,-0.35
193102,.48,0.43
193202,2.45,2.40
193302,-.19,-0.24
193402,-2.24,-2.29
193502,-.8,-0.85
193602,-.76,-0.81
193702,-2.27,-2.32
193802,1.08,1.03
193902,-1.75,-1.80
194002,-3.71,-3.76
194102,1.8,1.75
194202,3.53,3.48
194302,2.1,2.05
194402,.69,0.64
194502,1.32,1.27
194602,1.03,0.98
194702,.77,0.72
194802,.52,0.47
194902,1.94,1.89
195002,-.74,-0.79
195102,-.7,-0.75
195202,-1.27,-1.32
195302,-3.65,-3.70
195402,-2.72,-2.77
195502,-4.45,-4.50
195602,-4.18,-4.23
195702,-5.51,-5.56
195802,2.57,2.52
195902,-2.24,-2.29
196002,4.03,3.98
196102,2.11,2.06
196202,-.27,-0.32
196302,-1.09,-1.14
196402,-4.19,-4.24
196502,-.07,-0.12
196602,-1.52,-1.57
196702,-4.3,-4.35
196802,.99,0.94
196902,2.78,2.73
197002,-1.3,-1.35
197102,-.29,-0.34
197202,-.54,-0.59
197302,2.39,2.34
197402,3.86,3.81
197502,4.66,4.61
197602,-1.99,-2.04
197702,-2.02,-2.07
197802,-2.09,-2.14
197902,.08,0.03
198002,-.81,-0.86
198102,-3.86,-3.91
198202,1.86,1.81
198302,1.53,1.48
198402,.91,0.86
198502,3.64,3.59
198602,2.36,2.31
198702,4.64,4.59
198802,3.05,3.00
198902,.6,0.55
199002,2.04,1.99
199102,-1.49,-1.54
199202,2.54,2.49
199302,5.62,5.57
199402,2.68,2.63
199502,1.79,1.74
199602,-2.09,-2.14
199702,3.73,3.68
199802,4.07,4.02
199902,1.51,1.46
200002,-1.74,-1.79
200102,3.61,3.56
200202,-2.08,-2.13
200302,-.03,-0.08
200402,-.14,-0.19
200502,3.36,3.31
200602,-4.05,-4.10
200702,.85,0.80
200802,1.91,1.86
200902,-1.58,-1.63
201002,2.68,2.63
201102,-2.24,-2.29
201202,-2.05,-2.10
201302,-3.77,-3.82
201402,-.89,-0.94
201502,-.46,-0.51
201602,3.97,3.92
