Wyoming, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,3.62,3.14
189606,3.18,2.70
189706,-1.54,-2.02
189806,-.26,-0.74
189906,3.74,3.26
190006,-2.28,-2.76
190106,-2.7,-3.18
190206,-3.7,-4.18
190306,-.39,-0.87
190406,2.83,2.35
190506,1.16,0.68
190606,2.64,2.16
190706,3.98,3.50
190806,2.68,2.20
190906,4.55,4.07
191006,-3.09,-3.57
191106,-4.78,-5.26
191206,1.47,0.99
191306,2.78,2.30
191406,-.65,-1.13
191506,1.1,0.62
191606,2.17,1.69
191706,-.39,-0.87
191806,.31,-0.17
191906,-5.26,-5.74
192006,-.21,-0.69
192106,-.17,-0.65
192206,1.59,1.11
192306,1.27,0.79
192406,3.43,2.95
192506,1.64,1.16
192606,2.43,1.95
192706,4.65,4.17
192806,5.27,4.79
192906,4.7,4.22
193006,-1.54,-2.02
193106,-2.95,-3.43
193206,-1.31,-1.79
193306,-1.07,-1.55
193406,-7.24,-7.72
193506,-3.99,-4.47
193606,-2.82,-3.30
193706,.37,-0.11
193806,1.8,1.32
193906,-1.75,-2.23
194006,-4.57,-5.05
194106,1.03,0.55
194206,3.44,2.96
194306,4.52,4.04
194406,2.51,2.03
194506,4.35,3.87
194606,4,3.52
194706,5.67,5.19
194806,3.47,2.99
194906,2.5,2.02
195006,2.35,1.87
195106,1.41,0.93
195206,-.22,-0.70
195306,-1.27,-1.75
195406,-3.85,-4.33
195506,-5.11,-5.59
195606,-1.95,-2.43
195706,2.56,2.08
195806,.07,-0.41
195906,-.02,-0.50
196006,-4.5,-4.98
196106,-6.01,-6.49
196206,3.13,2.65
196306,.81,0.33
196406,1.52,1.04
196506,2.47,1.99
196606,-3.12,-3.60
196706,2.53,2.05
196806,3.04,2.56
196906,1.28,0.80
197006,1.4,0.92
197106,3.57,3.09
197206,2.93,2.45
197306,2.28,1.80
197406,-1.25,-1.73
197506,1.72,1.24
197606,2.13,1.65
197706,-4.84,-5.32
197806,1.81,1.33
197906,-.83,-1.31
198006,-.66,-1.14
198106,-2.92,-3.40
198206,1.41,0.93
198306,5.05,4.57
198406,4.13,3.65
198506,-2.87,-3.35
198606,1.38,0.90
198706,-1.59,-2.07
198806,-3.53,-4.01
198906,-4.31,-4.79
199006,-3.48,-3.96
199106,1.47,0.99
199206,-3.53,-4.01
199306,1.92,1.44
199406,-1.95,-2.43
199506,4.91,4.43
199606,3.84,3.36
199706,3.64,3.16
199806,3.47,2.99
199906,5.3,4.82
200006,-3.45,-3.93
200106,-6.73,-7.21
200206,-8.32,-8.80
200306,-4.24,-4.72
200406,-5.77,-6.25
200506,-2.62,-3.10
200606,-4.25,-4.73
200706,-5.52,-6.00
200806,-.11,-0.59
200906,1.1,0.62
201006,1.96,1.48
201106,4.37,3.89
201206,-4.47,-4.95
201306,-6.39,-6.87
201406,2.14,1.66
201506,1.49,1.01
