South Carolina, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.32,-0.33
189606,-2.54,-2.55
189706,-.19,-0.20
189806,-2.96,-2.97
189906,-1.51,-1.52
190006,1.93,1.92
190106,3.02,3.01
190206,-1.05,-1.06
190306,2.69,2.68
190406,-2.14,-2.15
190506,-1.36,-1.37
190606,1.22,1.21
190706,1.52,1.51
190806,1.86,1.85
190906,2.08,2.07
191006,1.24,1.23
191106,-3.75,-3.76
191206,3.01,3.00
191306,-.56,-0.57
191406,-2.14,-2.15
191506,1.3,1.29
191606,.28,0.27
191706,.33,0.32
191806,-.43,-0.44
191906,.97,0.96
192006,-.83,-0.84
192106,.21,0.20
192206,2.68,2.67
192306,-.62,-0.63
192406,1.41,1.40
192506,-2.72,-2.73
192606,-2.37,-2.38
192706,-3.79,-3.80
192806,2.26,2.25
192906,4.89,4.88
193006,-1.68,-1.69
193106,-1.96,-1.97
193206,.65,0.64
193306,-1.97,-1.98
193406,-2.3,-2.31
193506,-3.7,-3.71
193606,-1.68,-1.69
193706,-.59,-0.60
193806,1.17,1.16
193906,-.63,-0.64
194006,-1.97,-1.98
194106,1.34,1.33
194206,-.29,-0.30
194306,-.67,-0.68
194406,-1.61,-1.62
194506,-2.74,-2.75
194606,-.65,-0.66
194706,.59,0.58
194806,2.76,2.75
194906,1.72,1.71
195006,-2.21,-2.22
195106,-2.28,-2.29
195206,-1.69,-1.70
195306,-1.42,-1.43
195406,-2.6,-2.61
195506,-3.02,-3.03
195606,-2.22,-2.23
195706,.95,0.94
195806,2.5,2.49
195906,.56,0.55
196006,-.64,-0.65
196106,2.6,2.59
196206,-.1,-0.11
196306,.95,0.94
196406,2.16,2.15
196506,3.98,3.97
196606,2.3,2.29
196706,1.02,1.01
196806,.81,0.80
196906,1.5,1.49
197006,-1.53,-1.54
197106,1.55,1.54
197206,2.79,2.78
197306,4.45,4.44
197406,.49,0.48
197506,2.6,2.59
197606,2.45,2.44
197706,-1.42,-1.43
197806,-.52,-0.53
197906,2.22,2.21
198006,-.22,-0.23
198106,-3.23,-3.24
198206,1.63,1.62
198306,-.7,-0.71
198406,2.51,2.50
198506,-3.25,-3.26
198606,-3.49,-3.50
198706,-.83,-0.84
198806,-2,-2.01
198906,1.31,1.30
199006,-1.93,-1.94
199106,1.95,1.94
199206,1.13,1.12
199306,-1.22,-1.23
199406,1,0.99
199506,1.99,1.98
199606,-.81,-0.82
199706,1.18,1.17
199806,-.71,-0.72
199906,-1.98,-1.99
200006,-2.68,-2.69
200106,-2.38,-2.39
200206,-4.79,-4.80
200306,3.52,3.51
200406,.35,0.34
200506,1.21,1.20
200606,-1,-1.01
200706,-1.7,-1.71
200806,-3.81,-3.82
200906,-.13,-0.14
201006,-1.73,-1.74
201106,-3.92,-3.93
201206,.71,0.70
201306,2.12,2.11
201406,-.34,-0.35
201506,-1.39,-1.40
