Montana, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-.88,-1.36
189605,3.28,2.80
189705,2.47,1.99
189805,5.2,4.72
189905,4.85,4.37
190005,-.3,-0.78
190105,.13,-0.35
190205,1.56,1.08
190305,1.97,1.49
190405,-.65,-1.13
190505,-5.69,-6.17
190605,1.4,0.92
190705,4.97,4.49
190805,2.97,2.49
190905,3.44,2.96
191005,-1.36,-1.84
191105,.48,0.00
191205,4.14,3.66
191305,3.21,2.73
191405,1.15,0.67
191505,.4,-0.08
191605,4.73,4.25
191705,5.66,5.18
191805,-.35,-0.83
191905,-3.22,-3.70
192005,2.92,2.44
192105,-1.98,-2.46
192205,2.09,1.61
192305,.11,-0.37
192405,1.92,1.44
192505,1.29,0.81
192605,-1.28,-1.76
192705,4.4,3.92
192805,3.63,3.15
192905,-.04,-0.52
193005,-.71,-1.19
193105,-4.54,-5.02
193205,-.32,-0.80
193305,1.81,1.33
193405,-2.44,-2.92
193505,-3.78,-4.26
193605,-4.91,-5.39
193705,-7.27,-7.75
193805,.82,0.34
193905,-1.52,-2.00
194005,-2.01,-2.49
194105,-4.51,-4.99
194205,3.37,2.89
194305,3.32,2.84
194405,-3.67,-4.15
194505,.35,-0.13
194605,-1.45,-1.93
194705,2.85,2.37
194805,2.7,2.22
194905,-1.08,-1.56
195005,.41,-0.07
195105,2.27,1.79
195205,-.96,-1.44
195305,2.21,1.73
195405,.36,-0.12
195505,.95,0.47
195605,-.06,-0.54
195705,.61,0.13
195805,-1.3,-1.78
195905,2.56,2.08
196005,-.16,-0.64
196105,-3.23,-3.71
196205,1.19,0.71
196305,1.55,1.07
196405,.78,0.30
196505,3.76,3.28
196605,-.58,-1.06
196705,2,1.52
196805,.95,0.47
196905,2.57,2.09
197005,2.71,2.23
197105,2.46,1.98
197205,2.65,2.17
197305,-1.6,-2.08
197405,2.75,2.27
197505,2.94,2.46
197605,3.99,3.51
197705,-3.67,-4.15
197805,3.61,3.13
197905,-.3,-0.78
198005,-3.5,-3.98
198105,1.4,0.92
198205,2.89,2.41
198305,1.44,0.96
198405,-.51,-0.99
198505,-2.26,-2.74
198605,2.04,1.56
198705,-.88,-1.36
198805,-4.22,-4.70
198905,.78,0.30
199005,1.81,1.33
199105,1.3,0.82
199205,-3.47,-3.95
199305,-2.46,-2.94
199405,-.42,-0.90
199505,1.22,0.74
199605,5.43,4.95
199705,3.69,3.21
199805,-1.65,-2.13
199905,1.48,1.00
200005,-2.6,-3.08
200105,-6.36,-6.84
200205,-5.59,-6.07
200305,-2.39,-2.87
200405,-4.41,-4.89
200505,.16,-0.32
200605,-.46,-0.94
200705,1.05,0.57
200805,1.09,0.61
200905,-.59,-1.07
201005,1.39,0.91
201105,7.14,6.66
201205,-1.48,-1.96
201305,1.21,0.73
201405,1.7,1.22
201505,-.9,-1.38
