Illinois, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.06,0.04
189601,-1.37,-1.39
189701,2.39,2.37
189801,.9,0.88
189901,2.36,2.34
190001,-2.6,-2.62
190101,-1.25,-1.27
190201,-5.43,-5.45
190301,3.04,3.02
190401,1.13,1.11
190501,-1.34,-1.36
190601,1.8,1.78
190701,2.16,2.14
190801,2.27,2.25
190901,-3.49,-3.51
191001,1.86,1.84
191101,-1.27,-1.29
191201,1.87,1.85
191301,1.03,1.01
191401,-2.84,-2.86
191501,-4.53,-4.55
191601,5.1,5.08
191701,-1.56,-1.58
191801,-1.19,-1.21
191901,-.54,-0.56
192001,-.47,-0.49
192101,-3.15,-3.17
192201,1.33,1.31
192301,-3.54,-3.56
192401,.02,0.00
192501,-.94,-0.96
192601,.77,0.75
192701,3.46,3.44
192801,4.05,4.03
192901,3.29,3.27
193001,3.28,3.26
193101,-5.64,-5.66
193201,-1.42,-1.44
193301,1.46,1.44
193401,-4.43,-4.45
193501,1.27,1.25
193601,-.56,-0.58
193701,2.14,2.12
193801,.3,0.28
193901,.43,0.41
194001,-3.35,-3.37
194101,-3.91,-3.93
194201,2.11,2.09
194301,2.16,2.14
194401,-3.04,-3.06
194501,-4.09,-4.11
194601,2.67,2.65
194701,1.78,1.76
194801,-1.87,-1.89
194901,1.88,1.86
195001,2.79,2.77
195101,1.34,1.32
195201,3.03,3.01
195301,-1.9,-1.92
195401,-5.8,-5.82
195501,-2.71,-2.73
195601,-2.51,-2.53
195701,-3.04,-3.06
195801,-.03,-0.05
195901,.31,0.29
196001,.91,0.89
196101,-2.3,-2.32
196201,3.65,3.63
196301,-2.34,-2.36
196401,-4.96,-4.98
196501,.6,0.58
196601,1.56,1.54
196701,.35,0.33
196801,-.07,-0.09
196901,1.51,1.49
197001,1.6,1.58
197101,2.43,2.41
197201,-.3,-0.32
197301,2.78,2.76
197401,3.96,3.94
197501,2.32,2.30
197601,-.59,-0.61
197701,-3.04,-3.06
197801,-.22,-0.24
197901,.77,0.75
198001,-1.6,-1.62
198101,-1.39,-1.41
198201,3.69,3.67
198301,3.86,3.84
198401,1.62,1.60
198501,1.83,1.81
198601,2.74,2.72
198701,-.16,-0.18
198801,.93,0.91
198901,-2.95,-2.97
199001,-1.87,-1.89
199101,-.05,-0.07
199201,-.75,-0.77
199301,3.07,3.05
199401,.06,0.04
199501,.96,0.94
199601,-1.38,-1.40
199701,1.05,1.03
199801,.31,0.29
199901,1.82,1.80
200001,-2.95,-2.97
200101,1.41,1.39
200201,1.9,1.88
200301,-2.39,-2.41
200401,1.57,1.55
200501,3.24,3.22
200601,-3.71,-3.73
200701,1.96,1.94
200801,.41,0.39
200901,3.66,3.64
201001,5.55,5.53
201101,1.71,1.69
201201,.89,0.87
201301,.72,0.70
201401,-1.12,-1.14
201501,2.39,2.37
