Michigan, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-4.74,-4.65
189610,1.91,2.00
189710,-2.16,-2.07
189810,.69,0.78
189910,-.82,-0.73
190010,1.44,1.53
190110,-1.57,-1.48
190210,2.11,2.20
190310,2.94,3.03
190410,.62,0.71
190510,1.96,2.05
190610,.15,0.24
190710,-.63,-0.54
190810,-3.6,-3.51
190910,-2.63,-2.54
191010,-3.75,-3.66
191110,1.2,1.29
191210,1.12,1.21
191310,-1.7,-1.61
191410,-1.73,-1.64
191510,2.55,2.64
191610,-1.17,-1.08
191710,.89,0.98
191810,.03,0.12
191910,-1.64,-1.55
192010,-1.68,-1.59
192110,-2.6,-2.51
192210,-.93,-0.84
192310,-1.1,-1.01
192410,-1.09,-1.00
192510,.58,0.67
192610,2.19,2.28
192710,.09,0.18
192810,2.76,2.85
192910,-1.18,-1.09
193010,-4.3,-4.21
193110,.27,0.36
193210,1.05,1.14
193310,-2.34,-2.25
193410,-4.22,-4.13
193510,-1.65,-1.56
193610,-2.47,-2.38
193710,.27,0.36
193810,-1.14,-1.05
193910,-.86,-0.77
194010,-.52,-0.43
194110,1.78,1.87
194210,2.03,2.12
194310,-1.05,-0.96
194410,-2.01,-1.92
194510,3.2,3.29
194610,-2.83,-2.74
194710,-1.55,-1.46
194810,-3.84,-3.75
194910,-.96,-0.87
195010,1.63,1.72
195110,3.81,3.90
195210,-1.65,-1.56
195310,-1.56,-1.47
195410,2.63,2.72
195510,-2.99,-2.90
195610,-1.99,-1.90
195710,.64,0.73
195810,-.38,-0.29
195910,1.8,1.89
196010,-.96,-0.87
196110,.93,1.02
196210,-1.55,-1.46
196310,-4.51,-4.42
196410,-3.08,-2.99
196510,1.62,1.71
196610,-2.51,-2.42
196710,1.68,1.77
196810,2.13,2.22
196910,-1.1,-1.01
197010,1.28,1.37
197110,-2.64,-2.55
197210,2.48,2.57
197310,-1.11,-1.02
197410,1.12,1.21
197510,2.69,2.78
197610,-2.99,-2.90
197710,1.34,1.43
197810,1.18,1.27
197910,-.78,-0.69
198010,2.05,2.14
198110,2.53,2.62
198210,1.15,1.24
198310,.66,0.75
198410,.63,0.72
198510,3.12,3.21
198610,5.22,5.31
198710,1.51,1.60
198810,1.16,1.25
198910,-1.63,-1.54
199010,2.27,2.36
199110,1.33,1.42
199210,2.1,2.19
199310,3.48,3.57
199410,-.37,-0.28
199510,.38,0.47
199610,1.81,1.90
199710,-.58,-0.49
199810,-3.53,-3.44
199910,-1.78,-1.69
200010,.98,1.07
200110,1.81,1.90
200210,-1.16,-1.07
200310,-1.88,-1.79
200410,.28,0.37
200510,-3.54,-3.45
200610,1.09,1.18
200710,-2.15,-2.06
200810,1.62,1.71
200910,3.16,3.25
201010,-.21,-0.12
201110,1.53,1.62
201210,-1.35,-1.26
201310,1.72,1.81
201410,3.57,3.66
201510,-1.04,-0.95
