Wyoming, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,3.22,2.56
189605,3.81,3.15
189705,-1.15,-1.81
189805,1.42,0.76
189905,3.53,2.87
190005,-1.07,-1.73
190105,-3.14,-3.80
190205,-3.58,-4.24
190305,.3,-0.36
190405,2.88,2.22
190505,1.01,0.35
190605,3.06,2.40
190705,4.05,3.39
190805,2.1,1.44
190905,4.81,4.15
191005,-2.31,-2.97
191105,-4.55,-5.21
191205,1.91,1.25
191305,3.04,2.38
191405,-.43,-1.09
191505,.39,-0.27
191605,2.9,2.24
191705,4.04,3.38
191805,.66,0.00
191905,-4.02,-4.68
192005,3.99,3.33
192105,-.36,-1.02
192205,2.31,1.65
192305,1.06,0.40
192405,4.64,3.98
192505,1.38,0.72
192605,2.79,2.13
192705,4.66,4.00
192805,4.75,4.09
192905,5.6,4.94
193005,-.99,-1.65
193105,-2.25,-2.91
193205,-1.59,-2.25
193305,1.32,0.66
193405,-7,-7.66
193505,-3.86,-4.52
193605,-2.64,-3.30
193705,-.39,-1.05
193805,2.27,1.61
193905,-1.71,-2.37
194005,-4.23,-4.89
194105,.45,-0.21
194205,4.09,3.43
194305,4.56,3.90
194405,1.18,0.52
194505,2.96,2.30
194605,4.29,3.63
194705,4.25,3.59
194805,3.29,2.63
194905,2.4,1.74
195005,2.81,2.15
195105,1.11,0.45
195205,3.07,2.41
195305,-1.22,-1.88
195405,-3.55,-4.21
195505,-5.68,-6.34
195605,-1.08,-1.74
195705,2.12,1.46
195805,-.83,-1.49
195905,.43,-0.23
196005,-3.98,-4.64
196105,-5.37,-6.03
196205,2.93,2.27
196305,.09,-0.57
196405,.36,-0.30
196505,1.81,1.15
196605,-2.94,-3.60
196705,.53,-0.13
196805,2.5,1.84
196905,-1.25,-1.91
197005,1,0.34
197105,4.61,3.95
197205,3.05,2.39
197305,3.04,2.38
197405,-.66,-1.32
197505,1.3,0.64
197605,1.74,1.08
197705,-3.97,-4.63
197805,2.64,1.98
197905,-.43,-1.09
198005,.88,0.22
198105,-2.49,-3.15
198205,.93,0.27
198305,5.25,4.59
198405,4.44,3.78
198505,-2.54,-3.20
198605,1.53,0.87
198705,-1.25,-1.91
198805,-2.39,-3.05
198905,-4.42,-5.08
199005,-3.14,-3.80
199105,1.25,0.59
199205,-3.87,-4.53
199305,.64,-0.02
199405,-1.11,-1.77
199505,4.53,3.87
199605,5.03,4.37
199705,3.83,3.17
199805,2.38,1.72
199905,5.46,4.80
200005,-2.97,-3.63
200105,-6.26,-6.92
200205,-7.5,-8.16
200305,-4.91,-5.57
200405,-5.79,-6.45
200505,-2.97,-3.63
200605,-3.11,-3.77
200705,-4.9,-5.56
200805,1.39,0.73
200905,-.62,-1.28
201005,1.4,0.74
201105,4.87,4.21
201205,-3.07,-3.73
201305,-5.75,-6.41
201405,2.29,1.63
201505,1.74,1.08
