Maryland, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.64,0.78
189606,-2.1,-1.96
189706,.69,0.83
189806,-1.16,-1.02
189906,-1.16,-1.02
190006,-.55,-0.41
190106,.79,0.93
190206,-.16,-0.02
190306,2.7,2.84
190406,.31,0.45
190506,.33,0.47
190606,1.44,1.58
190706,2.63,2.77
190806,.01,0.15
190906,.62,0.76
191006,1.33,1.47
191106,-2.52,-2.38
191206,1.73,1.87
191306,-.54,-0.40
191406,-1.56,-1.42
191506,.79,0.93
191606,1.16,1.30
191706,.4,0.54
191806,-.72,-0.58
191906,.47,0.61
192006,1.85,1.99
192106,-1.4,-1.26
192206,.36,0.50
192306,-1.05,-0.91
192406,3.11,3.25
192506,-2.8,-2.66
192606,-2.41,-2.27
192706,.43,0.57
192806,1.56,1.70
192906,1.28,1.42
193006,-2.27,-2.13
193106,-4.34,-4.20
193206,-.01,0.13
193306,1.62,1.76
193406,-.49,-0.35
193506,1.39,1.53
193606,-1.01,-0.87
193706,2.31,2.45
193806,.4,0.54
193906,-.83,-0.69
194006,-.66,-0.52
194106,-1.35,-1.21
194206,.07,0.21
194306,-.85,-0.71
194406,-1.39,-1.25
194506,.58,0.72
194606,1.16,1.30
194706,-.84,-0.70
194806,1.73,1.87
194906,-.9,-0.76
195006,.07,0.21
195106,1.42,1.56
195206,2.11,2.25
195306,-.53,-0.39
195406,-3,-2.86
195506,.78,0.92
195606,-.48,-0.34
195706,-1.51,-1.37
195806,2.44,2.58
195906,-2.14,-2.00
196006,.28,0.42
196106,2.05,2.19
196206,-.7,-0.56
196306,-1.53,-1.39
196406,-1.83,-1.69
196506,-3.35,-3.21
196606,-3.86,-3.72
196706,.03,0.17
196806,-.6,-0.46
196906,-3.21,-3.07
197006,.89,1.03
197106,-.61,-0.47
197206,5.39,5.53
197306,-.08,0.06
197406,-.02,0.12
197506,1.65,1.79
197606,-2.15,-2.01
197706,-2.29,-2.15
197806,2.05,2.19
197906,2.12,2.26
198006,-.5,-0.36
198106,-1.45,-1.31
198206,.82,0.96
198306,2.86,3.00
198406,-.47,-0.33
198506,-2.62,-2.48
198606,-3.09,-2.95
198706,-1.92,-1.78
198806,-1.95,-1.81
198906,2.76,2.90
199006,.72,0.86
199106,-2.57,-2.43
199206,-2.7,-2.56
199306,-.69,-0.55
199406,-1.18,-1.04
199506,-1.9,-1.76
199606,2.65,2.79
199706,-.81,-0.67
199806,2.9,3.04
199906,-3.91,-3.77
200006,1.01,1.15
200106,.47,0.61
200206,-3.65,-3.51
200306,3.92,4.06
200406,2.69,2.83
200506,.03,0.17
200606,2.15,2.29
200706,-1.71,-1.57
200806,-.72,-0.58
200906,1.62,1.76
201006,-2.22,-2.08
201106,-1.77,-1.63
201206,-2.38,-2.24
201306,1.41,1.55
201406,-.07,0.07
201506,2.03,2.17
