Mississippi, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.36,0.53
189601,-1.22,-1.05
189701,-2.79,-2.62
189801,-2.53,-2.36
189901,.62,0.79
190001,-3.65,-3.48
190101,-.74,-0.57
190201,-.62,-0.45
190301,.02,0.19
190401,-3.15,-2.98
190501,.31,0.48
190601,-.64,-0.47
190701,-1.31,-1.14
190801,-.33,-0.16
190901,-2.32,-2.15
191001,-1.7,-1.53
191101,-1.56,-1.39
191201,1.36,1.53
191301,2.91,3.08
191401,-2.13,-1.96
191501,.75,0.92
191601,-.06,0.11
191701,-1.04,-0.87
191801,-2.22,-2.05
191901,.84,1.01
192001,2.76,2.93
192101,1.28,1.45
192201,.28,0.45
192301,-.33,-0.16
192401,3.28,3.45
192501,-2.66,-2.49
192601,-.06,0.11
192701,-.85,-0.68
192801,-1.49,-1.32
192901,0,0.17
193001,-.32,-0.15
193101,-2.19,-2.02
193201,2.33,2.50
193301,1.83,2.00
193401,-3.04,-2.87
193501,-.38,-0.21
193601,-1.23,-1.06
193701,-1.45,-1.28
193801,-1.3,-1.13
193901,.3,0.47
194001,-2.25,-2.08
194101,-.7,-0.53
194201,-2.21,-2.04
194301,-2.07,-1.90
194401,-2.86,-2.69
194501,.17,0.34
194601,1.84,2.01
194701,2.82,2.99
194801,.48,0.65
194901,2.63,2.80
195001,1.77,1.94
195101,1.91,2.08
195201,-2.13,-1.96
195301,-3.67,-3.50
195401,-1.72,-1.55
195501,-4.07,-3.90
195601,-2.95,-2.78
195701,-2.07,-1.90
195801,2.18,2.35
195901,-1.44,-1.27
196001,-.21,-0.04
196101,-1.09,-0.92
196201,4.78,4.95
196301,-2.7,-2.53
196401,-3.01,-2.84
196501,-.48,-0.31
196601,-2.32,-2.15
196701,-2.23,-2.06
196801,1.87,2.04
196901,-.75,-0.58
197001,-1.26,-1.09
197101,-1.17,-1.00
197201,1.93,2.10
197301,1.47,1.64
197401,3.9,4.07
197501,3.31,3.48
197601,-.7,-0.53
197701,-.23,-0.06
197801,-.28,-0.11
197901,1.73,1.90
198001,3.38,3.55
198101,-2.52,-2.35
198201,-2.45,-2.28
198301,2.75,2.92
198401,3.12,3.29
198501,-1.24,-1.07
198601,-2.03,-1.86
198701,1.4,1.57
198801,-1.51,-1.34
198901,1.45,1.62
199001,3.36,3.53
199101,.86,1.03
199201,-.14,0.03
199301,2.26,2.43
199401,1.21,1.38
199501,-.52,-0.35
199601,.73,0.90
199701,.71,0.88
199801,2.6,2.77
199901,-.58,-0.41
200001,-3.23,-3.06
200101,1.04,1.21
200201,2.98,3.15
200301,2.51,2.68
200401,1.88,2.05
200501,-.54,-0.37
200601,-1.22,-1.05
200701,-1.12,-0.95
200801,-2.83,-2.66
200901,1.65,1.82
201001,.03,0.20
201101,-2.73,-2.56
201201,-1.72,-1.55
201301,2.69,2.86
201401,.67,0.84
201501,-.31,-0.14
