South Carolina, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.42,2.60
189605,-2.95,-2.77
189705,-.33,-0.15
189805,-2.76,-2.58
189905,-1.01,-0.83
190005,.88,1.06
190105,2.35,2.53
190205,-.9,-0.72
190305,1.34,1.52
190405,-1.84,-1.66
190505,-.61,-0.43
190605,-.84,-0.66
190705,.84,1.02
190805,1.79,1.97
190905,1.36,1.54
191005,-.02,0.16
191105,-3.08,-2.90
191205,2.64,2.82
191305,-1,-0.82
191405,-1.54,-1.36
191505,1.12,1.30
191605,-2.13,-1.95
191705,.12,0.30
191805,-.12,0.06
191905,.32,0.50
192005,-.48,-0.30
192105,.77,0.95
192205,2.31,2.49
192305,2.26,2.44
192405,1.21,1.39
192505,-2.32,-2.14
192605,-2.63,-2.45
192705,-4.75,-4.57
192805,1.96,2.14
192905,4.6,4.78
193005,-1.9,-1.72
193105,-1.46,-1.28
193205,-3.37,-3.19
193305,-1.47,-1.29
193405,-2.67,-2.49
193505,-3.14,-2.96
193605,-1.21,-1.03
193705,-.63,-0.45
193805,.99,1.17
193905,-.44,-0.26
194005,-1.84,-1.66
194105,-3.11,-2.93
194205,-.6,-0.42
194305,-.33,-0.15
194405,-.69,-0.51
194505,-2.83,-2.65
194605,-.21,-0.03
194705,.46,0.64
194805,3.64,3.82
194905,1.8,1.98
195005,-1.94,-1.76
195105,-2.33,-2.15
195205,-1.09,-0.91
195305,-1.31,-1.13
195405,-1.89,-1.71
195505,-3.32,-3.14
195605,-1.95,-1.77
195705,.84,1.02
195805,2.56,2.74
195905,.97,1.15
196005,-.66,-0.48
196105,1.98,2.16
196205,-.88,-0.70
196305,.2,0.38
196405,2.26,2.44
196505,3.15,3.33
196605,2.34,2.52
196705,.81,0.99
196805,.08,0.26
196905,1.42,1.60
197005,-.87,-0.69
197105,1.47,1.65
197205,2.17,2.35
197305,2.84,3.02
197405,.47,0.65
197505,2.89,3.07
197605,1.44,1.62
197705,-1.11,-0.93
197805,-.31,-0.13
197905,2.18,2.36
198005,-.01,0.17
198105,-3.1,-2.92
198205,.9,1.08
198305,-.47,-0.29
198405,3.19,3.37
198505,-3.49,-3.31
198605,-2.7,-2.52
198705,-1.13,-0.95
198805,-1.72,-1.54
198905,.62,0.80
199005,-1.14,-0.96
199105,2.16,2.34
199205,.17,0.35
199305,-.45,-0.27
199405,-2.67,-2.49
199505,.91,1.09
199605,-.38,-0.20
199705,.47,0.65
199805,-.13,0.05
199905,-2.46,-2.28
200005,-2.36,-2.18
200105,-2.8,-2.62
200205,-4.69,-4.51
200305,2.98,3.16
200405,-2.49,-2.31
200505,.24,0.42
200605,-1.98,-1.80
200705,-1.85,-1.67
200805,-3.19,-3.01
200905,.93,1.11
201005,-1.39,-1.21
201105,-3.32,-3.14
201205,.63,0.81
201305,1.01,1.19
201405,.63,0.81
201505,-.94,-0.76
