Virginia, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.75,0.72
189606,.6,0.57
189706,-.11,-0.14
189806,.36,0.33
189906,-.68,-0.71
190006,-.66,-0.69
190106,2.44,2.41
190206,-.77,-0.80
190306,2.31,2.28
190406,.72,0.69
190506,.4,0.37
190606,.42,0.39
190706,2.57,2.54
190806,2.05,2.02
190906,2.21,2.18
191006,1.74,1.71
191106,-1.56,-1.59
191206,1.91,1.88
191306,.87,0.84
191406,-1.91,-1.94
191506,.3,0.27
191606,1.42,1.39
191706,1.24,1.21
191806,.33,0.30
191906,1.3,1.27
192006,.85,0.82
192106,-1.4,-1.43
192206,1.33,1.30
192306,-1.16,-1.19
192406,2.55,2.52
192506,-2.23,-2.26
192606,-2.98,-3.01
192706,.25,0.22
192806,1.2,1.17
192906,1.99,1.96
193006,-2.58,-2.61
193106,-3.62,-3.65
193206,-1.6,-1.63
193306,-.74,-0.77
193406,.34,0.31
193506,1.58,1.55
193606,-1.41,-1.44
193706,1.91,1.88
193806,1.65,1.62
193906,.1,0.07
194006,.75,0.72
194106,-2.47,-2.50
194206,.56,0.53
194306,-.32,-0.35
194406,-1.45,-1.48
194506,.12,0.09
194606,.91,0.88
194706,.31,0.28
194806,1.35,1.32
194906,1.9,1.87
195006,.56,0.53
195106,1.05,1.02
195206,-.71,-0.74
195306,-.29,-0.32
195406,-2.79,-2.82
195506,-.29,-0.32
195606,-.79,-0.82
195706,-.64,-0.67
195806,2.85,2.82
195906,-1.91,-1.94
196006,-.4,-0.43
196106,2.14,2.11
196206,2.11,2.08
196306,-1.53,-1.56
196406,-2.92,-2.95
196506,-1.77,-1.80
196606,-3.44,-3.47
196706,-1.39,-1.42
196806,-.9,-0.93
196906,.19,0.16
197006,-1.6,-1.63
197106,1.4,1.37
197206,3.95,3.92
197306,-.16,-0.19
197406,1.09,1.06
197506,1.99,1.96
197606,-1.43,-1.46
197706,-2.17,-2.20
197806,2.68,2.65
197906,2.61,2.58
198006,-.98,-1.01
198106,-3.17,-3.20
198206,.94,0.91
198306,-.07,-0.10
198406,-.76,-0.79
198506,-2.87,-2.90
198606,-3.63,-3.66
198706,-.7,-0.73
198806,-1.87,-1.90
198906,2.74,2.71
199006,-.82,-0.85
199106,-1.55,-1.58
199206,.69,0.66
199306,-.57,-0.60
199406,-1.06,-1.09
199506,2.11,2.08
199606,1.76,1.73
199706,-.54,-0.57
199806,3.42,3.39
199906,-3.89,-3.92
200006,.84,0.81
200106,.67,0.64
200206,-3.25,-3.28
200306,4.92,4.89
200406,2.88,2.85
200506,-1.14,-1.17
200606,1.51,1.48
200706,-1.45,-1.48
200806,-2.23,-2.26
200906,1.41,1.38
201006,-1.74,-1.77
201106,.54,0.51
201206,-1.42,-1.45
201306,2.22,2.19
201406,-.16,-0.19
201506,1.16,1.13
