Minnesota, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,0,-0.32
189609,.91,0.59
189709,-.94,-1.26
189809,-.6,-0.92
189909,2.67,2.35
190009,2.99,2.67
190109,-.76,-1.08
190209,1.48,1.16
190309,4.74,4.42
190409,2.76,2.44
190509,4.59,4.27
190609,3.45,3.13
190709,3.09,2.77
190809,1.89,1.57
190909,1.61,1.29
191009,-4.86,-5.18
191109,.59,0.27
191209,1.04,0.72
191309,1.22,0.90
191409,.48,0.16
191509,1.96,1.64
191609,2.96,2.64
191709,-1.88,-2.20
191809,-2.9,-3.22
191909,1.22,0.90
192009,-.85,-1.17
192109,-1.89,-2.21
192209,-4.24,-4.56
192309,-3.3,-3.62
192409,1.82,1.50
192509,-.16,-0.48
192609,1.45,1.13
192709,-.87,-1.19
192809,2.31,1.99
192909,-2.07,-2.39
193009,-3.02,-3.34
193109,-4.38,-4.70
193209,-3.27,-3.59
193309,-4.54,-4.86
193409,-6.82,-7.14
193509,.76,0.44
193609,-4.64,-4.96
193709,-2.65,-2.97
193809,-1.12,-1.44
193909,-2.55,-2.87
194009,-3.86,-4.18
194109,1.57,1.25
194209,3.52,3.20
194309,2.64,2.32
194409,3.8,3.48
194509,3.59,3.27
194609,1.7,1.38
194709,-.81,-1.13
194809,-2.06,-2.38
194909,-1.27,-1.59
195009,-.95,-1.27
195109,3.08,2.76
195209,-1.12,-1.44
195309,2.35,2.03
195409,-.35,-0.67
195509,-1.82,-2.14
195609,-1.19,-1.51
195709,2.62,2.30
195809,-1.54,-1.86
195909,.97,0.65
196009,-.4,-0.72
196109,.79,0.47
196209,3.07,2.75
196309,-.53,-0.85
196409,1.67,1.35
196509,4.65,4.33
196609,-.73,-1.05
196709,-2.08,-2.40
196809,2.83,2.51
196909,-1.13,-1.45
197009,-1.93,-2.25
197109,.9,0.58
197209,2.94,2.62
197309,2.17,1.85
197409,-.85,-1.17
197509,-.86,-1.18
197609,-5.09,-5.41
197709,1.72,1.40
197809,2.89,2.57
197909,2.49,2.17
198009,-1.56,-1.88
198109,1.3,0.98
198209,1.76,1.44
198309,2.39,2.07
198409,.91,0.59
198509,4.02,3.70
198609,5.48,5.16
198709,-2.33,-2.65
198809,-5.08,-5.40
198909,-2.74,-3.06
199009,-.9,-1.22
199109,2.4,2.08
199209,2.54,2.22
199309,5.38,5.06
199409,2.96,2.64
199509,2.39,2.07
199609,1.16,0.84
199709,1.99,1.67
199809,-1.18,-1.50
199909,3.79,3.47
200009,1.09,0.77
200109,-.87,-1.19
200209,2.38,2.06
200309,-1.35,-1.67
200409,2.62,2.30
200509,2.31,1.99
200609,-2.28,-2.60
200709,.55,0.23
200809,.82,0.50
200909,-1.84,-2.16
201009,3.97,3.65
201109,-1.22,-1.54
201209,-3.76,-4.08
201309,-1.58,-1.90
201409,-.38,-0.70
201509,1.09,0.77
