Nevada, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.11,1.18
189612,1.02,1.09
189712,.16,0.23
189812,.17,0.24
189912,-.62,-0.55
190012,-2.38,-2.31
190112,-.7,-0.63
190212,.1,0.17
190312,-1.59,-1.52
190412,-1.28,-1.21
190512,.09,0.16
190612,4.07,4.14
190712,4.69,4.76
190812,1.32,1.39
190912,2.75,2.82
191012,.17,0.24
191112,-1.14,-1.07
191212,-.82,-0.75
191312,2.06,2.13
191412,-1.41,-1.34
191512,-1.68,-1.61
191612,1.46,1.53
191712,-2.43,-2.36
191812,-.01,0.06
191912,-1.54,-1.47
192012,1.41,1.48
192112,1.03,1.10
192212,2.8,2.87
192312,-.6,-0.53
192412,-3.37,-3.30
192512,-.59,-0.52
192612,-3.27,-3.20
192712,-.94,-0.87
192812,-3.92,-3.85
192912,-4.45,-4.38
193012,-2.21,-2.14
193112,1.36,1.43
193212,-1.65,-1.58
193312,-3.07,-3.00
193412,.23,0.30
193512,-.83,-0.76
193612,.68,0.75
193712,.21,0.28
193812,-.37,-0.30
193912,-1.5,-1.43
194012,.95,1.02
194112,5.85,5.92
194212,1.87,1.94
194312,1.4,1.47
194412,.94,1.01
194512,4.48,4.55
194612,3.35,3.42
194712,-1.3,-1.23
194812,.15,0.22
194912,-1.77,-1.70
195012,-2.63,-2.56
195112,1.12,1.19
195212,-.61,-0.54
195312,-3.54,-3.47
195412,-3.83,-3.76
195512,1.14,1.21
195612,-1.65,-1.58
195712,1.16,1.23
195812,-1.7,-1.63
195912,-4.14,-4.07
196012,-2.84,-2.77
196112,-.24,-0.17
196212,-2.12,-2.05
196312,-.52,-0.45
196412,1.07,1.14
196512,3.09,3.16
196612,.98,1.05
196712,-1.08,-1.01
196812,.19,0.26
196912,-.24,-0.17
197012,.99,1.06
197112,2.05,2.12
197212,1.79,1.86
197312,.33,0.40
197412,.57,0.64
197512,-.97,-0.90
197612,-1.73,-1.66
197712,.27,0.34
197812,2.93,3.00
197912,.64,0.71
198012,-1.57,-1.50
198112,.68,0.75
198212,3.89,3.96
198312,8.37,8.44
198412,6.11,6.18
198512,-.07,0.00
198612,-1.38,-1.31
198712,1.08,1.15
198812,-.93,-0.86
198912,-3.04,-2.97
199012,-3.72,-3.65
199112,-2.02,-1.95
199212,.62,0.69
199312,-.8,-0.73
199412,1.1,1.17
199512,-1.35,-1.28
199612,1.43,1.50
199712,-.83,-0.76
199812,-.59,-0.52
199912,-3.1,-3.03
200012,-2.47,-2.40
200112,-3.12,-3.05
200212,-4.14,-4.07
200312,-2.77,-2.70
200412,2.15,2.22
200512,3.93,4.00
200612,-1.52,-1.45
200712,-4.09,-4.02
200812,-3.57,-3.50
200912,.1,0.17
201012,2.89,2.96
201112,-1.43,-1.36
201212,-3.36,-3.29
201312,-3.58,-3.51
201412,-3.52,-3.45
201512,-2.5,-2.43
