Kansas, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,.92,0.59
189602,1.27,0.94
189702,1.83,1.50
189802,.25,-0.08
189902,1.61,1.28
190002,-.27,-0.60
190102,.14,-0.19
190202,-2.7,-3.03
190302,2.84,2.51
190402,1.68,1.35
190502,2.34,2.01
190602,1.81,1.48
190702,2.74,2.41
190802,1.83,1.50
190902,2.43,2.10
191002,3.48,3.15
191102,-1.02,-1.35
191202,.68,0.35
191302,-.48,-0.81
191402,-1.49,-1.82
191502,.84,0.51
191602,4.64,4.31
191702,-2.1,-2.43
191802,-3.18,-3.51
191902,1.93,1.60
192002,-1.11,-1.44
192102,-.35,-0.68
192202,-1.92,-2.25
192302,-1.95,-2.28
192402,2.59,2.26
192502,-1,-1.33
192602,-1.67,-2.00
192702,.62,0.29
192802,2.45,2.12
192902,4.37,4.04
193002,-.58,-0.91
193102,-.41,-0.74
193202,-.07,-0.40
193302,-1.94,-2.27
193402,-3.49,-3.82
193502,-5.03,-5.36
193602,-1.97,-2.30
193702,-3.84,-4.17
193802,-4.5,-4.83
193902,-2.83,-3.16
194002,-4.65,-4.98
194102,1.04,0.71
194202,4,3.67
194302,3.47,3.14
194402,.91,0.58
194502,3.37,3.04
194602,-.57,-0.90
194702,.89,0.56
194802,.84,0.51
194902,2.56,2.23
195002,-.79,-1.12
195102,1.71,1.38
195202,4.9,4.57
195302,-3.42,-3.75
195402,-4.02,-4.35
195502,-4.46,-4.79
195602,-4.99,-5.32
195702,-6.95,-7.28
195802,2.19,1.86
195902,2.47,2.14
196002,3.82,3.49
196102,1.07,0.74
196202,4.55,4.22
196302,-.89,-1.22
196402,-3.86,-4.19
196502,.63,0.30
196602,2.56,2.23
196702,-3,-3.33
196802,-.48,-0.81
196902,1.78,1.45
197002,-.56,-0.89
197102,.75,0.42
197202,-.36,-0.69
197302,2.9,2.57
197402,5.3,4.97
197502,2.01,1.68
197602,-1.05,-1.38
197702,-2.39,-2.72
197802,-.26,-0.59
197902,.37,0.04
198002,2.2,1.87
198102,-3.44,-3.77
198202,1.06,0.73
198302,1.78,1.45
198402,.2,-0.13
198502,2.46,2.13
198602,3.39,3.06
198702,4.49,4.16
198802,.31,-0.02
198902,-2.86,-3.19
199002,.33,0.00
199102,-1.92,-2.25
199202,-.13,-0.46
199302,5.41,5.08
199402,5.7,5.37
199502,1.15,0.82
199602,-1.84,-2.17
199702,2.63,2.30
199802,3.51,3.18
199902,3.32,2.99
200002,.21,-0.12
200102,1.73,1.40
200202,-1.6,-1.93
200302,-2.19,-2.52
200402,-1.43,-1.76
200502,2.27,1.94
200602,-1.43,-1.76
200702,.79,0.46
200802,2.02,1.69
200902,3.29,2.96
201002,4.3,3.97
201102,-.74,-1.07
201202,-.89,-1.22
201302,-3.41,-3.74
201402,-1.16,-1.49
201502,-.38,-0.71
