Rhode Island, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-1,-0.97
189602,1.8,1.83
189702,-.7,-0.67
189802,2.84,2.87
189902,4.54,4.57
190002,1.66,1.69
190102,-2.54,-2.51
190202,2.59,2.62
190302,1.77,1.80
190402,-.26,-0.23
190502,-1.11,-1.08
190602,.81,0.84
190702,-.38,-0.35
190802,2.49,2.52
190902,1.34,1.37
191002,1.1,1.13
191102,-1.91,-1.88
191202,.61,0.64
191302,.27,0.30
191402,.02,0.05
191502,2.07,2.10
191602,.8,0.83
191702,-1.72,-1.69
191802,-.8,-0.77
191902,.53,0.56
192002,2.31,2.34
192102,-1.08,-1.05
192202,-.95,-0.92
192302,1.4,1.43
192402,1.36,1.39
192502,-1.95,-1.92
192602,1.47,1.50
192702,-.46,-0.43
192802,2.95,2.98
192902,.37,0.40
193002,-1.15,-1.12
193102,-2.9,-2.87
193202,-2,-1.97
193302,1.4,1.43
193402,.06,0.09
193502,-.2,-0.17
193602,.76,0.79
193702,-.62,-0.59
193802,-.25,-0.22
193902,2.35,2.38
194002,.23,0.26
194102,-1.07,-1.04
194202,-2.27,-2.24
194302,-.81,-0.78
194402,-2.99,-2.96
194502,-.19,-0.16
194602,-.42,-0.39
194702,-2.63,-2.60
194802,-.97,-0.94
194902,-.82,-0.79
195002,-3.18,-3.15
195102,-1.81,-1.78
195202,1.2,1.23
195302,1.03,1.06
195402,.25,0.28
195502,-.47,-0.44
195602,2.73,2.76
195702,-1.74,-1.71
195802,1.44,1.47
195902,-1.22,-1.19
196002,1.35,1.38
196102,-.47,-0.44
196202,.84,0.87
196302,-.41,-0.38
196402,.4,0.43
196502,-2.34,-2.31
196602,-4.2,-4.17
196702,-3.17,-3.14
196802,-1.02,-0.99
196902,-.87,-0.84
197002,.86,0.89
197102,.89,0.92
197202,.92,0.95
197302,3.84,3.87
197402,-.25,-0.22
197502,1.02,1.05
197602,-.26,-0.23
197702,-1.06,-1.03
197802,-.38,-0.35
197902,2.92,2.95
198002,-2.24,-2.21
198102,-1.66,-1.63
198202,-.11,-0.08
198302,.83,0.86
198402,3.05,3.08
198502,-2.84,-2.81
198602,-.25,-0.22
198702,1.37,1.40
198802,-.76,-0.73
198902,-1.53,-1.50
199002,3.04,3.07
199102,-.9,-0.87
199202,-.71,-0.68
199302,2.11,2.14
199402,.74,0.77
199502,-1.08,-1.05
199602,1.09,1.12
199702,-.59,-0.56
199802,1.63,1.66
199902,1.59,1.62
200002,.29,0.32
200102,-.93,-0.90
200202,-3.19,-3.16
200302,.97,1.00
200402,-1.18,-1.15
200502,1.3,1.33
200602,3.02,3.05
200702,2.18,2.21
200802,1.52,1.55
200902,1.59,1.62
201002,3.2,3.23
201102,1.45,1.48
201202,-1.29,-1.26
201302,-.24,-0.21
201402,.38,0.41
201502,-.32,-0.29
