Maryland, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-.12,0.00
189607,-1.35,-1.23
189707,1.74,1.86
189807,-1.63,-1.51
189907,-1.12,-1.00
190007,-.85,-0.73
190107,1.11,1.23
190207,-.23,-0.11
190307,3.1,3.22
190407,.69,0.81
190507,1.63,1.75
190607,1.97,2.09
190707,2.34,2.46
190807,.23,0.35
190907,-.71,-0.59
191007,-.44,-0.32
191107,-3.07,-2.95
191207,1.92,2.04
191307,-1.15,-1.03
191407,-1.97,-1.85
191507,.54,0.66
191607,1.64,1.76
191707,1.29,1.41
191807,-.84,-0.72
191907,1.87,1.99
192007,2.1,2.22
192107,-1.39,-1.27
192207,1.18,1.30
192307,-.87,-0.75
192407,2.33,2.45
192507,-2.42,-2.30
192607,.35,0.47
192707,.43,0.55
192807,1.39,1.51
192907,-.71,-0.59
193007,-3.24,-3.12
193107,-3.73,-3.61
193207,-.32,-0.20
193307,1.94,2.06
193407,-.96,-0.84
193507,1.4,1.52
193607,-1.11,-0.99
193707,2.15,2.27
193807,1.72,1.84
193907,-.85,-0.73
194007,-.96,-0.84
194107,-.6,-0.48
194207,.25,0.37
194307,-1.54,-1.42
194407,-2.02,-1.90
194507,3.17,3.29
194607,1.08,1.20
194707,-.66,-0.54
194807,1.6,1.72
194907,-.78,-0.66
195007,.31,0.43
195107,-.16,-0.04
195207,1.49,1.61
195307,-.95,-0.83
195407,-3.43,-3.31
195507,-.75,-0.63
195607,1.07,1.19
195707,-2.42,-2.30
195807,3.1,3.22
195907,-1.26,-1.14
196007,.98,1.10
196107,-.1,0.02
196207,-1.2,-1.08
196307,-2.19,-2.07
196407,-2.21,-2.09
196507,-3.4,-3.28
196607,-4.52,-4.40
196707,.25,0.37
196807,-1.11,-0.99
196907,.85,0.97
197007,1.47,1.59
197107,-.67,-0.55
197207,4.59,4.71
197307,-.52,-0.40
197407,-.75,-0.63
197507,2.65,2.77
197607,-1.96,-1.84
197707,-2.54,-2.42
197807,2.29,2.41
197907,2.32,2.44
198007,-.6,-0.48
198107,-1.09,-0.97
198207,.76,0.88
198307,-.99,-0.87
198407,.56,0.68
198507,.02,0.14
198607,-3.48,-3.36
198707,-2.39,-2.27
198807,-1.84,-1.72
198907,3.58,3.70
199007,.83,0.95
199107,-2.96,-2.84
199207,.46,0.58
199307,-1.65,-1.53
199407,-.83,-0.71
199507,-2.07,-1.95
199607,3.86,3.98
199707,-1.26,-1.14
199807,-.61,-0.49
199907,-4.55,-4.43
200007,2.01,2.13
200107,.8,0.92
200207,-4.04,-3.92
200307,4.1,4.22
200407,3.16,3.28
200507,.43,0.55
200607,-.17,-0.05
200707,-2.4,-2.28
200807,-.55,-0.43
200907,1.25,1.37
201007,-2.67,-2.55
201107,-2.36,-2.24
201207,-2.67,-2.55
201307,1.52,1.64
201407,-.09,0.03
201507,.02,0.14
