New Hampshire, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,-.23,0.14
189601,-.89,-0.52
189701,-.8,-0.43
189801,2.92,3.29
189901,1,1.37
190001,.64,1.01
190101,-1.78,-1.41
190201,1,1.37
190301,2.45,2.82
190401,-1.48,-1.11
190501,-1.35,-0.98
190601,-1.18,-0.81
190701,-1.6,-1.23
190801,1.56,1.93
190901,-3.09,-2.72
191001,-2.53,-2.16
191101,-3.5,-3.13
191201,-.63,-0.26
191301,-.69,-0.32
191401,-2.29,-1.92
191501,-3.21,-2.84
191601,-1.51,-1.14
191701,-.81,-0.44
191801,-1.28,-0.91
191901,-.81,-0.44
192001,-1.26,-0.89
192101,-.72,-0.35
192201,-2.23,-1.86
192301,-1.15,-0.78
192401,-1.06,-0.69
192501,-1.63,-1.26
192601,-.74,-0.37
192701,-.65,-0.28
192801,2.9,3.27
192901,.24,0.61
193001,-2.34,-1.97
193101,-3.03,-2.66
193201,-.73,-0.36
193301,-1,-0.63
193401,-.62,-0.25
193501,1.51,1.88
193601,1.22,1.59
193701,1.34,1.71
193801,1.71,2.08
193901,2.21,2.58
194001,-2.53,-2.16
194101,-.54,-0.17
194201,-3.3,-2.93
194301,-1.36,-0.99
194401,-1.55,-1.18
194501,.48,0.85
194601,1.93,2.30
194701,-.29,0.08
194801,-2.71,-2.34
194901,-2.1,-1.73
195001,-3.01,-2.64
195101,.18,0.55
195201,2.53,2.90
195301,1.41,1.78
195401,.05,0.42
195501,-.89,-0.52
195601,.57,0.94
195701,-1.04,-0.67
195801,2.52,2.89
195901,-.88,-0.51
196001,1.69,2.06
196101,-1.56,-1.19
196201,-2.15,-1.78
196301,-.3,0.07
196401,-1.7,-1.33
196501,-3.86,-3.49
196601,-3.27,-2.90
196701,-2.41,-2.04
196801,-1.24,-0.87
196901,1.01,1.38
197001,-1.01,-0.64
197101,-1.36,-0.99
197201,-1.74,-1.37
197301,2.64,3.01
197401,3.03,3.40
197501,.54,0.91
197601,2.62,2.99
197701,-.99,-0.62
197801,3.65,4.02
197901,2.05,2.42
198001,-1.8,-1.43
198101,-3.21,-2.84
198201,2.41,2.78
198301,.39,0.76
198401,1.65,2.02
198501,-2.46,-2.09
198601,1.28,1.65
198701,1.64,2.01
198801,-1.31,-0.94
198901,-1.54,-1.17
199001,1.62,1.99
199101,-.25,0.12
199201,-.35,0.02
199301,-.7,-0.33
199401,.88,1.25
199501,-.79,-0.42
199601,2.43,2.80
199701,3.68,4.05
199801,1.82,2.19
199901,1.25,1.62
200001,.23,0.60
200101,-.71,-0.34
200201,-3.96,-3.59
200301,-1.94,-1.57
200401,-.96,-0.59
200501,1.23,1.60
200601,4.91,5.28
200701,4.33,4.70
200801,1.94,2.31
200901,4.79,5.16
201001,3.39,3.76
201101,1.23,1.60
201201,-.2,0.17
201301,-.54,-0.17
201401,1.12,1.49
201501,.01,0.38
201601,0,0.37
