Iowa, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.09,-0.24
189601,-1.45,-1.78
189701,3.11,2.78
189801,-3.46,-3.79
189901,-.62,-0.95
190001,-2.3,-2.63
190101,1.8,1.47
190201,-3.76,-4.09
190301,4.37,4.04
190401,3.41,3.08
190501,-1.11,-1.44
190601,2.16,1.83
190701,.94,0.61
190801,1.44,1.11
190901,1.98,1.65
191001,3.93,3.60
191101,-5.17,-5.50
191201,1.05,0.72
191301,-.59,-0.92
191401,-2.65,-2.98
191501,1.58,1.25
191601,4.04,3.71
191701,-1.89,-2.22
191801,-2.49,-2.82
191901,.39,0.06
192001,1.64,1.31
192101,-.68,-1.01
192201,.05,-0.28
192301,-1.47,-1.80
192401,-.5,-0.83
192501,-.6,-0.93
192601,1.08,0.75
192701,1.9,1.57
192801,-1.9,-2.23
192901,3.77,3.44
193001,-.78,-1.11
193101,-3.1,-3.43
193201,3.33,3.00
193301,1.71,1.38
193401,-4.13,-4.46
193501,-.31,-0.64
193601,1.05,0.72
193701,-2.7,-3.03
193801,-3.3,-3.63
193901,1.01,0.68
194001,-4.19,-4.52
194101,-1.13,-1.46
194201,2.81,2.48
194301,1.93,1.60
194401,1.2,0.87
194501,1.61,1.28
194601,1.81,1.48
194701,1.99,1.66
194801,-2.66,-2.99
194901,1.21,0.88
195001,.05,-0.28
195101,-1.9,-2.23
195201,4,3.67
195301,-1.15,-1.48
195401,-4.21,-4.54
195501,-.4,-0.73
195601,-5.13,-5.46
195701,-6.39,-6.72
195801,0,-0.33
195901,-1.51,-1.84
196001,2.89,2.56
196101,.84,0.51
196201,3.16,2.83
196301,-.69,-1.02
196401,-3.34,-3.67
196501,.4,0.07
196601,2.96,2.63
196701,-2.3,-2.63
196801,-.93,-1.26
196901,2.6,2.27
197001,-.28,-0.61
197101,2.04,1.71
197201,.68,0.35
197301,3.88,3.55
197401,4.46,4.13
197501,1.72,1.39
197601,-2.15,-2.48
197701,-4.82,-5.15
197801,2.43,2.10
197901,2.92,2.59
198001,2.66,2.33
198101,-.83,-1.16
198201,2.33,2.00
198301,4.81,4.48
198401,2.64,2.31
198501,2.6,2.27
198601,1.14,0.81
198701,-.23,-0.56
198801,.03,-0.30
198901,-4.54,-4.87
199001,-4.28,-4.61
199101,1.78,1.45
199201,2.03,1.70
199301,3.88,3.55
199401,5.99,5.66
199501,1.82,1.49
199601,-.87,-1.20
199701,1.76,1.43
199801,.08,-0.25
199901,2.03,1.70
200001,-2.18,-2.51
200101,.57,0.24
200201,-1.25,-1.58
200301,-1.17,-1.50
200401,.37,0.04
200501,1.32,0.99
200601,-1.66,-1.99
200701,.94,0.61
200801,3.42,3.09
200901,4.55,4.22
201001,5.26,4.93
201101,4.64,4.31
201201,-1.71,-2.04
201301,-4.23,-4.56
201401,-2.9,-3.23
201501,2.75,2.42
