Connecticut, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,.55,0.53
189610,-.57,-0.59
189710,1.97,1.95
189810,3.27,3.25
189910,-1.07,-1.09
190010,-2.09,-2.11
190110,3.41,3.39
190210,3.87,3.85
190310,3.28,3.26
190410,-.02,-0.04
190510,-.18,-0.20
190610,0,-0.02
190710,1.91,1.89
190810,-1.35,-1.37
190910,-1.2,-1.22
191010,-2.26,-2.28
191110,1.27,1.25
191210,-1.66,-1.68
191310,1.44,1.42
191410,-2.53,-2.55
191510,-.49,-0.51
191610,-.92,-0.94
191710,.88,0.86
191810,-.59,-0.61
191910,.96,0.94
192010,2.22,2.20
192110,-1.39,-1.41
192210,-.56,-0.58
192310,.73,0.71
192410,-.89,-0.91
192510,.48,0.46
192610,.43,0.41
192710,2.43,2.41
192810,-.4,-0.42
192910,-2.06,-2.08
193010,-3.27,-3.29
193110,-1.28,-1.30
193210,1.11,1.09
193310,-.09,-0.11
193410,1.73,1.71
193510,-1.9,-1.92
193610,-.06,-0.08
193710,2.6,2.58
193810,4.67,4.65
193910,-1.04,-1.06
194010,-.85,-0.87
194110,-2.14,-2.16
194210,.74,0.72
194310,-1.55,-1.57
194410,.4,0.38
194510,.79,0.77
194610,-.71,-0.73
194710,-.93,-0.95
194810,-2.05,-2.07
194910,-2.98,-3.00
195010,-2.01,-2.03
195110,.01,-0.01
195210,1.27,1.25
195310,-1.33,-1.35
195410,1.26,1.24
195510,5.49,5.47
195610,-.78,-0.80
195710,-3.7,-3.72
195810,2.52,2.50
195910,.91,0.89
196010,-.14,-0.16
196110,-1.17,-1.19
196210,-1.58,-1.60
196310,-2.72,-2.74
196410,-3.98,-4.00
196510,-4.44,-4.46
196610,-3.48,-3.50
196710,-.57,-0.59
196810,-2.22,-2.24
196910,.46,0.44
197010,-2.07,-2.09
197110,.6,0.58
197210,2.44,2.42
197310,1.94,1.92
197410,1.14,1.12
197510,2.77,2.75
197610,2.24,2.22
197710,1.98,1.96
197810,-.6,-0.62
197910,-.06,-0.08
198010,-1.69,-1.71
198110,.62,0.60
198210,-1.23,-1.25
198310,.63,0.61
198410,-1.4,-1.42
198510,1.22,1.20
198610,-.98,-1.00
198710,-.86,-0.88
198810,-.98,-1.00
198910,4.57,4.55
199010,2.92,2.90
199110,-.08,-0.10
199210,1.65,1.63
199310,.55,0.53
199410,-.6,-0.62
199510,1.42,1.40
199610,3.2,3.18
199710,-1.51,-1.53
199810,-.55,-0.57
199910,1.96,1.94
200010,-.63,-0.65
200110,-1.38,-1.40
200210,.36,0.34
200310,2.98,2.96
200410,-.28,-0.30
200510,3.62,3.60
200610,3.45,3.43
200710,-2.05,-2.07
200810,2.92,2.90
200910,2.58,2.56
201010,.32,0.30
201110,4.13,4.11
201210,-1.14,-1.16
201310,-1.28,-1.30
201410,-1.48,-1.50
201510,-2.83,-2.85
