Georgia, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.39,1.16
189601,-1.68,-1.91
189701,-2.94,-3.17
189801,-3.43,-3.66
189901,4.85,4.62
190001,-3.35,-3.58
190101,.69,0.46
190201,1.69,1.46
190301,.6,0.37
190401,-.32,-0.55
190501,-2.49,-2.72
190601,1.61,1.38
190701,-1.53,-1.76
190801,2.17,1.94
190901,-2.7,-2.93
191001,-1.47,-1.70
191101,-1.11,-1.34
191201,2.26,2.03
191301,2.9,2.67
191401,-2.62,-2.85
191501,2.03,1.80
191601,-.89,-1.12
191701,.24,0.01
191801,-.87,-1.10
191901,1.46,1.23
192001,.89,0.66
192101,-.56,-0.79
192201,-2.22,-2.45
192301,-.14,-0.37
192401,.39,0.16
192501,3.62,3.39
192601,-2.07,-2.30
192701,-2.18,-2.41
192801,-3.31,-3.54
192901,3.02,2.79
193001,4.94,4.71
193101,-.38,-0.61
193201,-3.34,-3.57
193301,2.55,2.32
193401,-3.87,-4.10
193501,-2.45,-2.68
193601,1.52,1.29
193701,.61,0.38
193801,-1.21,-1.44
193901,-1.86,-2.09
194001,-1.66,-1.89
194101,-1.54,-1.77
194201,.79,0.56
194301,.93,0.70
194401,-1.65,-1.88
194501,-1.91,-2.14
194601,2.45,2.22
194701,.72,0.49
194801,3.54,3.31
194901,3.47,3.24
195001,-1.91,-2.14
195101,-1.01,-1.24
195201,.2,-0.03
195301,-1.8,-2.03
195401,-.55,-0.78
195501,-4.26,-4.49
195601,-3.65,-3.88
195701,-2.2,-2.43
195801,2.04,1.81
195901,-2.15,-2.38
196001,1.64,1.41
196101,-2.13,-2.36
196201,1.06,0.83
196301,.57,0.34
196401,1.72,1.49
196501,3.9,3.67
196601,1.66,1.43
196701,2.14,1.91
196801,-.22,-0.45
196901,-.57,-0.80
197001,1.31,1.08
197101,.64,0.41
197201,2.88,2.65
197301,1.36,1.13
197401,1.33,1.10
197501,1.75,1.52
197601,2.94,2.71
197701,3.65,3.42
197801,2.04,1.81
197901,.57,0.34
198001,1.72,1.49
198101,-3.9,-4.13
198201,.84,0.61
198301,1.05,0.82
198401,2.36,2.13
198501,-2.32,-2.55
198601,-.68,-0.91
198701,2.11,1.88
198801,-2.55,-2.78
198901,-2.84,-3.07
199001,3.55,3.32
199101,1.79,1.56
199201,-.67,-0.90
199301,4.12,3.89
199401,.77,0.54
199501,3.68,3.45
199601,1.39,1.16
199701,.48,0.25
199801,3.41,3.18
199901,-2.46,-2.69
200001,-3.04,-3.27
200101,-2.85,-3.08
200201,-3.22,-3.45
200301,1.09,0.86
200401,-.73,-0.96
200501,1.72,1.49
200601,-.59,-0.82
200701,-2.74,-2.97
200801,-4.03,-4.26
200901,-.52,-0.75
201001,4.13,3.90
201101,-3,-3.23
201201,-4.49,-4.72
201301,-3.53,-3.76
201401,3.07,2.84
201501,.72,0.49
201601,1.88,1.65
