Minnesota, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.15,-0.21
189601,-.82,-1.18
189701,2.89,2.53
189801,-2.12,-2.48
189901,.89,0.53
190001,2.52,2.16
190101,2.65,2.29
190201,-1.15,-1.51
190301,2.34,1.98
190401,4.01,3.65
190501,2.54,2.18
190601,4.94,4.58
190701,4.28,3.92
190801,1.52,1.16
190901,1.01,0.65
191001,3.1,2.74
191101,-6.62,-6.98
191201,-.04,-0.40
191301,-1.39,-1.75
191401,1.34,0.98
191501,-1.03,-1.39
191601,3.14,2.78
191701,1.63,1.27
191801,-2.56,-2.92
191901,.91,0.55
192001,2.16,1.80
192101,-1.55,-1.91
192201,-3.31,-3.67
192301,-3.09,-3.45
192401,-5.12,-5.48
192501,1.22,0.86
192601,-.22,-0.58
192701,2.43,2.07
192801,.12,-0.24
192901,2.79,2.43
193001,-2.24,-2.60
193101,-2.95,-3.31
193201,-2.35,-2.71
193301,-2.67,-3.03
193401,-4.62,-4.98
193501,-4.59,-4.95
193601,.68,0.32
193701,-4.85,-5.21
193801,-3.24,-3.60
193901,-2.02,-2.38
194001,-4.36,-4.72
194101,.69,0.33
194201,1.47,1.11
194301,2.91,2.55
194401,1.01,0.65
194501,2.51,2.15
194601,2.75,2.39
194701,2.82,2.46
194801,-1.27,-1.63
194901,-2.01,-2.37
195001,1.24,0.88
195101,-1.25,-1.61
195201,4.06,3.70
195301,-2.34,-2.70
195401,1.25,0.89
195501,-1.55,-1.91
195601,-2.15,-2.51
195701,-1.54,-1.90
195801,-.03,-0.39
195901,-2.14,-2.50
196001,1.46,1.10
196101,-1.61,-1.97
196201,.07,-0.29
196301,-1.06,-1.42
196401,-2.74,-3.10
196501,.73,0.37
196601,4.68,4.32
196701,.71,0.35
196801,-3.41,-3.77
196901,5.76,5.40
197001,.77,0.41
197101,2.35,1.99
197201,3.38,3.02
197301,3.1,2.74
197401,2.67,2.31
197501,1.06,0.70
197601,.37,0.01
197701,-7.32,-7.68
197801,3.44,3.08
197901,2.07,1.71
198001,2.89,2.53
198101,-2.43,-2.79
198201,2.68,2.32
198301,3.78,3.42
198401,3.22,2.86
198501,2.35,1.99
198601,4.02,3.66
198701,-.08,-0.44
198801,-3.07,-3.43
198901,-3.89,-4.25
199001,-4.26,-4.62
199101,-1.13,-1.49
199201,3.05,2.69
199301,2.83,2.47
199401,4.63,4.27
199501,2.7,2.34
199601,4.01,3.65
199701,3.94,3.58
199801,1.49,1.13
199901,1.81,1.45
200001,1.98,1.62
200101,2.37,2.01
200201,-1.37,-1.73
200301,-.32,-0.68
200401,-2.81,-3.17
200501,3.31,2.95
200601,3.39,3.03
200701,-3.07,-3.43
200801,1.37,1.01
200901,2.29,1.93
201001,2.34,1.98
201101,4.73,4.37
201201,-3.63,-3.99
201301,-3.49,-3.85
201401,.59,0.23
201501,-1.57,-1.93
201601,2.4,2.04
