Mississippi, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.71,-0.51
189602,.82,1.02
189702,-2.84,-2.64
189802,-2.91,-2.71
189902,-.06,0.14
190002,.54,0.74
190102,-.8,-0.60
190202,-.86,-0.66
190302,1.61,1.81
190402,-3.6,-3.40
190502,1.12,1.32
190602,-1.43,-1.23
190702,-1.35,-1.15
190802,.98,1.18
190902,.49,0.69
191002,-1.49,-1.29
191102,-2.06,-1.86
191202,.88,1.08
191302,2.75,2.95
191402,-2.09,-1.89
191502,1.05,1.25
191602,-.73,-0.53
191702,-.97,-0.77
191802,-2.87,-2.67
191902,.91,1.11
192002,1.9,2.10
192102,.84,1.04
192202,.52,0.72
192302,.36,0.56
192402,-.18,0.02
192502,-2.85,-2.65
192602,-.7,-0.50
192702,.17,0.37
192802,-1.92,-1.72
192902,.41,0.61
193002,-.92,-0.72
193102,-2.47,-2.27
193202,-.01,0.19
193302,2.07,2.27
193402,-2.74,-2.54
193502,-.79,-0.59
193602,-1.12,-0.92
193702,-1.75,-1.55
193802,-1.87,-1.67
193902,1.13,1.33
194002,.37,0.57
194102,-1.3,-1.10
194202,-2.16,-1.96
194302,-2.67,-2.47
194402,.44,0.64
194502,.71,0.91
194602,2.24,2.44
194702,1.67,1.87
194802,1.03,1.23
194902,2.33,2.53
195002,2.02,2.22
195102,1.57,1.77
195202,-2.25,-2.05
195302,.77,0.97
195402,-2.43,-2.23
195502,-3.4,-3.20
195602,-1.67,-1.47
195702,-2.32,-2.12
195802,1.59,1.79
195902,-1.3,-1.10
196002,-.34,-0.14
196102,1.38,1.58
196202,-.52,-0.32
196302,-2.91,-2.71
196402,-3.05,-2.85
196502,.56,0.76
196602,-.67,-0.47
196702,-2.16,-1.96
196802,-.62,-0.42
196902,-.86,-0.66
197002,-1.51,-1.31
197102,.59,0.79
197202,-.75,-0.55
197302,1.11,1.31
197402,3.42,3.62
197502,3.14,3.34
197602,-1.24,-1.04
197702,-.83,-0.63
197802,-.95,-0.75
197902,2.07,2.27
198002,2.38,2.58
198102,-2.42,-2.22
198202,-1.97,-1.77
198302,3.37,3.57
198402,2.79,2.99
198502,-.73,-0.53
198602,-2.7,-2.50
198702,2.31,2.51
198802,-1.44,-1.24
198902,1.36,1.56
199002,4.03,4.23
199102,1.55,1.75
199202,-.26,-0.06
199302,1.55,1.75
199402,1.06,1.26
199502,-.87,-0.67
199602,-.67,-0.47
199702,1.21,1.41
199802,2.55,2.75
199902,-1.5,-1.30
200002,-3.96,-3.76
200102,1,1.20
200202,2.22,2.42
200302,3.36,3.56
200402,2.69,2.89
200502,-.47,-0.27
200602,-.76,-0.56
200702,-1.74,-1.54
200802,-2.46,-2.26
200902,.91,1.11
201002,-.12,0.08
201102,-3.19,-2.99
201202,-1.46,-1.26
201302,2.97,3.17
201402,.9,1.10
201502,-.47,-0.27
