Massachusetts, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,-.03,0.18
189601,-.81,-0.60
189701,-.77,-0.56
189801,2.64,2.85
189901,2.95,3.16
190001,.24,0.45
190101,-1.77,-1.56
190201,1.59,1.80
190301,1.43,1.64
190401,-.49,-0.28
190501,-.75,-0.54
190601,-.9,-0.69
190701,-.73,-0.52
190801,2.08,2.29
190901,.15,0.36
191001,.67,0.88
191101,-3.12,-2.91
191201,.75,0.96
191301,-1.88,-1.67
191401,-.87,-0.66
191501,-1.68,-1.47
191601,.64,0.85
191701,-1.33,-1.12
191801,-1.21,-1.00
191901,-1.01,-0.80
192001,-.83,-0.62
192101,-.47,-0.26
192201,-1.07,-0.86
192301,1.03,1.24
192401,.6,0.81
192501,-1.83,-1.62
192601,.06,0.27
192701,-.49,-0.28
192801,2.65,2.86
192901,.03,0.24
193001,-2.62,-2.41
193101,-3.23,-3.02
193201,-1.33,-1.12
193301,.64,0.85
193401,-.65,-0.44
193501,.73,0.94
193601,1.05,1.26
193701,1.6,1.81
193801,1.72,1.93
193901,-.83,-0.62
194001,-2.82,-2.61
194101,-1.21,-1.00
194201,-3.09,-2.88
194301,-.19,0.02
194401,-2.06,-1.85
194501,.45,0.66
194601,-.15,0.06
194701,-1.7,-1.49
194801,-.98,-0.77
194901,-.73,-0.52
195001,-3.44,-3.23
195101,.22,0.43
195201,1.68,1.89
195301,.95,1.16
195401,-.3,-0.09
195501,-1.04,-0.83
195601,3.33,3.54
195701,-1.04,-0.83
195801,1.93,2.14
195901,-.97,-0.76
196001,1.2,1.41
196101,-.83,-0.62
196201,-.69,-0.48
196301,-.22,-0.01
196401,-1.53,-1.32
196501,-4.17,-3.96
196601,-4.8,-4.59
196701,-3.3,-3.09
196801,-.39,-0.18
196901,.36,0.57
197001,-.98,-0.77
197101,-1.48,-1.27
197201,-1.96,-1.75
197301,3.99,4.20
197401,2.85,3.06
197501,1.52,1.73
197601,3.72,3.93
197701,-.98,-0.77
197801,4.22,4.43
197901,2.75,2.96
198001,-1.53,-1.32
198101,-3.54,-3.33
198201,1.12,1.33
198301,.38,0.59
198401,1.56,1.77
198501,-2.65,-2.44
198601,-.21,0.00
198701,2.86,3.07
198801,-.91,-0.70
198901,-1.67,-1.46
199001,2.46,2.67
199101,-.35,-0.14
199201,-.5,-0.29
199301,1.48,1.69
199401,1.33,1.54
199501,-.36,-0.15
199601,2.3,2.51
199701,-.1,0.11
199801,1.03,1.24
199901,1,1.21
200001,-.92,-0.71
200101,-.63,-0.42
200201,-3.04,-2.83
200301,.79,1.00
200401,-.79,-0.58
200501,1.66,1.87
200601,3.57,3.78
200701,1.98,2.19
200801,0,0.21
200901,3.62,3.83
201001,2.87,3.08
201101,.56,0.77
201201,-.19,0.02
201301,-1.33,-1.12
201401,.01,0.22
201501,1.47,1.68
201601,-1.76,-1.55
