Oklahoma, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,1.74,1.56
189608,-3.25,-3.43
189708,-.75,-0.93
189808,2.32,2.14
189908,-.38,-0.56
190008,.23,0.05
190108,-2.92,-3.10
190208,.14,-0.04
190308,.35,0.17
190408,2.3,2.12
190508,2.23,2.05
190608,3.96,3.78
190708,2.48,2.30
190808,4.56,4.38
190908,-1.62,-1.80
191008,-2.44,-2.62
191108,-5.15,-5.33
191208,-1.23,-1.41
191308,-3.73,-3.91
191408,-.74,-0.92
191508,5.06,4.88
191608,-1.17,-1.35
191708,-2.17,-2.35
191808,-4.89,-5.07
191908,1.56,1.38
192008,2.18,2.00
192108,2.29,2.11
192208,-.99,-1.17
192308,-1.04,-1.22
192408,-1.07,-1.25
192508,-4.93,-5.11
192608,1.59,1.41
192708,4.24,4.06
192808,3.31,3.13
192908,-.81,-0.99
193008,-1.25,-1.43
193108,-1.06,-1.24
193208,-.02,-0.20
193308,-.9,-1.08
193408,-5.23,-5.41
193508,-.37,-0.55
193608,-5.71,-5.89
193708,-2.35,-2.53
193808,-.36,-0.54
193908,-1.78,-1.96
194008,.91,0.73
194108,2.89,2.71
194208,3.66,3.48
194308,-2.31,-2.49
194408,1.06,0.88
194508,3.87,3.69
194608,-1.02,-1.20
194708,-.64,-0.82
194808,2,1.82
194908,1.93,1.75
195008,4.01,3.83
195108,1.42,1.24
195208,-2.49,-2.67
195308,-2.51,-2.69
195408,-4.35,-4.53
195508,-3.21,-3.39
195608,-7.12,-7.30
195708,3.35,3.17
195808,3.65,3.47
195908,1.79,1.61
196008,3.49,3.31
196108,3.24,3.06
196208,.79,0.61
196308,-3.12,-3.30
196408,.6,0.42
196508,.33,0.15
196608,-1.9,-2.08
196708,.15,-0.03
196808,2.24,2.06
196908,-.32,-0.50
197008,-2.23,-2.41
197108,.5,0.32
197208,-1.77,-1.95
197308,3.71,3.53
197408,2.45,2.27
197508,4.33,4.15
197608,-1.38,-1.56
197708,-.84,-1.02
197808,-2.29,-2.47
197908,2.3,2.12
198008,-2.55,-2.73
198108,.42,0.24
198208,2.35,2.17
198308,-1.16,-1.34
198408,-1.89,-2.07
198508,2.56,2.38
198608,1.7,1.52
198708,3.31,3.13
198808,-2.31,-2.49
198908,2.8,2.62
199008,-1.03,-1.21
199108,.36,0.18
199208,4.36,4.18
199308,3.72,3.54
199408,1.62,1.44
199508,3.84,3.66
199608,1.89,1.71
199708,3.68,3.50
199808,-3.08,-3.26
199908,-.64,-0.82
200008,-.95,-1.13
200108,-1.97,-2.15
200208,.66,0.48
200308,-.21,-0.39
200408,2.01,1.83
200508,-.26,-0.44
200608,-5.47,-5.65
200708,4.59,4.41
200808,3.63,3.45
200908,.91,0.73
201008,-.33,-0.51
201108,-5.61,-5.79
201208,-3.8,-3.98
201308,1.98,1.80
201408,-.01,-0.19
201508,4.26,4.08
