Kansas, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.77,1.41
189612,1.54,1.18
189712,-1.23,-1.59
189812,2.11,1.75
189912,-.47,-0.83
190012,-.64,-1.00
190112,-2.65,-3.01
190212,2.44,2.08
190312,2.7,2.34
190412,2.48,2.12
190512,2.25,1.89
190612,2.23,1.87
190712,1.87,1.51
190812,2.79,2.43
190912,3.62,3.26
191012,-2.38,-2.74
191112,.62,0.26
191212,-.79,-1.15
191312,-1.54,-1.90
191412,-2.61,-2.97
191512,4.58,4.22
191612,-1.39,-1.75
191712,-3.18,-3.54
191812,1.75,1.39
191912,-.53,-0.89
192012,1.04,0.68
192112,-1.84,-2.20
192212,-1.2,-1.56
192312,2.82,2.46
192412,-.4,-0.76
192512,-1.61,-1.97
192612,1.02,0.66
192712,2.37,2.01
192812,4.34,3.98
192912,-.28,-0.64
193012,-.18,-0.54
193112,.92,0.56
193212,-1.12,-1.48
193312,-3.69,-4.05
193412,-5.47,-5.83
193512,-1.9,-2.26
193612,-4.52,-4.88
193712,-4.84,-5.20
193812,-3.31,-3.67
193912,-5.26,-5.62
194012,.53,0.17
194112,4.14,3.78
194212,4.38,4.02
194312,.78,0.42
194412,3.44,3.08
194512,-.82,-1.18
194612,1.31,0.95
194712,.58,0.22
194812,1.06,0.70
194912,-.52,-0.88
195012,1.35,0.99
195112,5.83,5.47
195212,-3.13,-3.49
195312,-3.8,-4.16
195412,-5.28,-5.64
195512,-5.14,-5.50
195612,-7.33,-7.69
195712,2.13,1.77
195812,2.85,2.49
195912,2.59,2.23
196012,1.8,1.44
196112,4.79,4.43
196212,-.48,-0.84
196312,-3.68,-4.04
196412,.57,0.21
196512,2.7,2.34
196612,-2.61,-2.97
196712,-.06,-0.42
196812,1.64,1.28
196912,-.15,-0.51
197012,-.62,-0.98
197112,1.29,0.93
197212,2.22,1.86
197312,6.21,5.85
197412,1.9,1.54
197512,-.2,-0.56
197612,-1.83,-2.19
197712,-.35,-0.71
197812,.12,-0.24
197912,1.73,1.37
198012,-2.8,-3.16
198112,.95,0.59
198212,1.73,1.37
198312,.63,0.27
198412,1.68,1.32
198512,4.06,3.70
198612,4.14,3.78
198712,.41,0.05
198812,-2.62,-2.98
198912,-1.31,-1.67
199012,-1.09,-1.45
199112,.93,0.57
199212,4.42,4.06
199312,6.35,5.99
199412,1.77,1.41
199512,-1.22,-1.58
199612,2.16,1.80
199712,3.73,3.37
199812,3.47,3.11
199912,-.85,-1.21
200012,.42,0.06
200112,-1.45,-1.81
200212,-2.46,-2.82
200312,-1.56,-1.92
200412,1.27,0.91
200512,-.56,-0.92
200612,.88,0.52
200712,2.15,1.79
200812,4.11,3.75
200912,4.57,4.21
201012,-.85,-1.21
201112,-1.25,-1.61
201212,-4.24,-4.60
201312,-1,-1.36
201412,-.16,-0.52
201512,2.44,2.08
