Minnesota, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.51,-0.78
189608,1.18,0.91
189708,-.25,-0.52
189808,-.05,-0.32
189908,3.27,3.00
190008,1.47,1.20
190108,-1.3,-1.57
190208,1.74,1.47
190308,3.45,3.18
190408,2.53,2.26
190508,4.65,4.38
190608,3.64,3.37
190708,2.88,2.61
190808,2.83,2.56
190908,1.59,1.32
191008,-4.98,-5.25
191108,.36,0.09
191208,.82,0.55
191308,.95,0.68
191408,.33,0.06
191508,2.09,1.82
191608,3.06,2.79
191708,-1.68,-1.95
191808,-2.5,-2.77
191908,1.81,1.54
192008,-.75,-1.02
192108,-2.71,-2.98
192208,-3.78,-4.05
192308,-3.14,-3.41
192408,1.11,0.84
192508,-.74,-1.01
192608,-.04,-0.31
192708,-.71,-0.98
192808,2.03,1.76
192908,-2.86,-3.13
193008,-3.46,-3.73
193108,-4.19,-4.46
193208,-2.52,-2.79
193308,-4.62,-4.89
193408,-7.78,-8.05
193508,1.54,1.27
193608,-4.23,-4.50
193708,-2.48,-2.75
193808,-1.22,-1.49
193908,-1.87,-2.14
194008,-3.05,-3.32
194108,.39,0.12
194208,2.83,2.56
194308,3.24,2.97
194408,4.3,4.03
194508,3.22,2.95
194608,.84,0.57
194708,-1,-1.27
194808,-1.08,-1.35
194908,-.86,-1.13
195008,-.82,-1.09
195108,2.57,2.30
195208,1.71,1.44
195308,3,2.73
195408,-.64,-0.91
195508,-1.73,-2.00
195608,-.58,-0.85
195708,2.26,1.99
195808,-1.34,-1.61
195908,1,0.73
196008,-.09,-0.36
196108,-2.83,-3.10
196208,2.9,2.63
196308,-.23,-0.50
196408,.82,0.55
196508,2.61,2.34
196608,-.06,-0.33
196708,-1.16,-1.43
196808,2.04,1.77
196908,-.93,-1.20
197008,-1.99,-2.26
197108,.94,0.67
197208,2.86,2.59
197308,1.41,1.14
197408,-.09,-0.36
197508,-.68,-0.95
197608,-4.25,-4.52
197708,.67,0.40
197808,2.92,2.65
197908,3.53,3.26
198008,-2.22,-2.49
198108,1.65,1.38
198208,1.56,1.29
198308,2.35,2.08
198408,1.26,0.99
198508,3.17,2.90
198608,4.11,3.84
198708,-2.1,-2.37
198808,-5.89,-6.16
198908,-2.88,-3.15
199008,-.29,-0.56
199108,1.35,1.08
199208,2.49,2.22
199308,5.75,5.48
199408,3.01,2.74
199508,2.41,2.14
199608,1.38,1.11
199708,2.45,2.18
199808,-.33,-0.60
199908,3.54,3.27
200008,1.85,1.58
200108,-.57,-0.84
200208,2.75,2.48
200308,-1.35,-1.62
200408,1.47,1.20
200508,1.85,1.58
200608,-2.54,-2.81
200708,.14,-0.13
200808,.73,0.46
200908,-.85,-1.12
201008,1.89,1.62
201108,-.4,-0.67
201208,-2.7,-2.97
201308,-1.18,-1.45
201408,-.12,-0.39
201508,1.55,1.28
