Louisiana, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.26,-0.01
189603,-.04,0.21
189703,-2.4,-2.15
189803,-1.91,-1.66
189903,-.78,-0.53
190003,.79,1.04
190103,-1.31,-1.06
190203,-2.57,-2.32
190303,2.41,2.66
190403,-3.81,-3.56
190503,1.38,1.63
190603,-.31,-0.06
190703,-3.51,-3.26
190803,-1.57,-1.32
190903,-2.22,-1.97
191003,-2.71,-2.46
191103,-3.44,-3.19
191203,2.4,2.65
191303,1.29,1.54
191403,-.87,-0.62
191503,-.36,-0.11
191603,-2.87,-2.62
191703,-1.87,-1.62
191803,-5.43,-5.18
191903,1.42,1.67
192003,1.59,1.84
192103,-1.48,-1.23
192203,1.7,1.95
192303,.87,1.12
192403,-.23,0.02
192503,-4.85,-4.60
192603,2.36,2.61
192703,.73,0.98
192803,-1.97,-1.72
192903,.88,1.13
193003,-.77,-0.52
193103,-.88,-0.63
193203,-.51,-0.26
193303,1.2,1.45
193403,-.89,-0.64
193503,.18,0.43
193603,-1.98,-1.73
193703,-1.96,-1.71
193803,-1.43,-1.18
193903,-1.45,-1.20
194003,.02,0.27
194103,2.56,2.81
194203,1.49,1.74
194303,-1.1,-0.85
194403,1.22,1.47
194503,.78,1.03
194603,2.81,3.06
194703,3.14,3.39
194803,1.48,1.73
194903,1.83,2.08
195003,.6,0.85
195103,-.75,-0.50
195203,-2.61,-2.36
195303,.3,0.55
195403,-2.69,-2.44
195503,-3.56,-3.31
195603,-.9,-0.65
195703,.51,0.76
195803,1.79,2.04
195903,.2,0.45
196003,-.63,-0.38
196103,2.06,2.31
196203,-1.5,-1.25
196303,-3.71,-3.46
196403,-2.26,-2.01
196503,-.9,-0.65
196603,-.98,-0.73
196703,-2.25,-2.00
196803,.09,0.34
196903,.59,0.84
197003,-2.25,-2.00
197103,-1.63,-1.38
197203,-.37,-0.12
197303,2.17,2.42
197403,3.07,3.32
197503,2.12,2.37
197603,-1.23,-0.98
197703,.22,0.47
197803,-.99,-0.74
197903,2.04,2.29
198003,2.74,2.99
198103,-3.1,-2.85
198203,-2.8,-2.55
198303,3.3,3.55
198403,2.11,2.36
198503,-.55,-0.30
198603,-2.62,-2.37
198703,-.11,0.14
198803,1.67,1.92
198903,-.43,-0.18
199003,2.98,3.23
199103,1.24,1.49
199203,3.32,3.57
199303,2.65,2.90
199403,-.94,-0.69
199503,1.08,1.33
199603,-2.01,-1.76
199703,1.54,1.79
199803,2.78,3.03
199903,-.89,-0.64
200003,-4.47,-4.22
200103,2.08,2.33
200203,-.51,-0.26
200303,-.64,-0.39
200403,-.91,-0.66
200503,-.64,-0.39
200603,-3.29,-3.04
200703,-1.9,-1.65
200803,-1.04,-0.79
200903,-1.07,-0.82
201003,-.63,-0.38
201103,-4.01,-3.76
201203,-2.08,-1.83
201303,-.91,-0.66
201403,.23,0.48
201503,.19,0.44
