Maine, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,23.6,-2.5
189602,24.5,-1.6
189702,27.7,1.6
189802,29.4,3.3
189902,22.1,-4.0
190002,26.7,0.6
190102,21.5,-4.6
190202,27.3,1.2
190302,28.5,2.4
190402,18.8,-7.3
190502,21.3,-4.8
190602,27.8,1.7
190702,20.3,-5.8
190802,24.3,-1.8
190902,26.5,0.4
191002,25.4,-0.7
191102,21.9,-4.2
191202,24.9,-1.2
191302,22,-4.1
191402,18.8,-7.3
191502,30.3,4.2
191602,22.9,-3.2
191702,21.3,-4.8
191802,22.8,-3.3
191902,28.6,2.5
192002,24,-2.1
192102,27.1,1.0
192202,25.1,-1.0
192302,18.3,-7.8
192402,21.2,-4.9
192502,32.1,6.0
192602,23.1,-3.0
192702,24.4,-1.7
192802,25.4,-0.7
192902,26.4,0.3
193002,28,1.9
193102,27.4,1.3
193202,23.7,-2.4
193302,30.1,4.0
193402,17.4,-8.7
193502,24.8,-1.3
193602,20.9,-5.2
193702,31,4.9
193802,26.4,0.3
193902,25.7,-0.4
194002,27.9,1.8
194102,28.4,2.3
194202,23.8,-2.3
194302,29.1,3.0
194402,25.4,-0.7
194502,27.7,1.6
194602,23.4,-2.7
194702,27.6,1.5
194802,24,-2.1
194902,29,2.9
195002,22.9,-3.2
195102,30.5,4.4
195202,28.7,2.6
195302,30.5,4.4
195402,33.3,7.2
195502,28.4,2.3
195602,28,1.9
195702,30.4,4.3
195802,24,-2.1
195902,23.2,-2.9
196002,31.6,5.5
196102,28.3,2.2
196202,22.2,-3.9
196302,21.4,-4.7
196402,28.4,2.3
196502,25.1,-1.0
196602,28.7,2.6
196702,22.3,-3.8
196802,22.4,-3.7
196902,28.2,2.1
197002,27.9,1.8
197102,26.3,0.2
197202,24.1,-2.0
197302,26.2,0.1
197402,25.3,-0.8
197502,26.2,0.1
197602,31,4.9
197702,26.2,0.1
197802,24.4,-1.7
197902,19.4,-6.7
198002,25.1,-1.0
198102,36.6,10.5
198202,25.1,-1.0
198302,29.9,3.8
198402,34.7,8.6
198502,29.4,3.3
198602,26.5,0.4
198702,25,-1.1
198802,29,2.9
198902,25.9,-0.2
199002,28.5,2.4
199102,31.2,5.1
199202,26.7,0.6
199302,19.3,-6.8
199402,22.7,-3.4
199502,24.3,-1.8
199602,26.2,0.1
199702,29.2,3.1
199802,34.3,8.2
199902,32.4,6.3
200002,29.7,3.6
200102,27.2,1.1
200202,30.6,4.5
200302,22.7,-3.4
200402,29,2.9
200502,30.8,4.7
200602,27.5,1.4
200702,22.3,-3.8
200802,28.5,2.4
200902,29.3,3.2
201002,30.7,4.6
201102,26.9,0.8
201202,31.6,5.5
201302,28.8,2.7
201402,26.5,0.4
201502,16.1,-10.0
