Wyoming, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,26.8,-6.7
189602,35.8,2.3
189702,30,-3.5
189802,37.5,4.0
189902,20.5,-13.0
190002,31.1,-2.4
190102,27.8,-5.7
190202,34.8,1.3
190302,22.4,-11.1
190402,34.1,0.6
190502,27.8,-5.7
190602,35,1.5
190702,38.9,5.4
190802,34.6,1.1
190902,32.5,-1.0
191002,27,-6.5
191102,29.2,-4.3
191202,31.1,-2.4
191302,24.5,-9.0
191402,30.4,-3.1
191502,35.7,2.2
191602,34.4,0.9
191702,29.9,-3.6
191802,31.8,-1.7
191902,30.8,-2.7
192002,32.9,-0.6
192102,37.2,3.7
192202,25.5,-8.0
192302,28.2,-5.3
192402,37.4,3.9
192502,38.3,4.8
192602,36.8,3.3
192702,34.8,1.3
192802,33,-0.5
192902,22.9,-10.6
193002,39.3,5.8
193102,39.6,6.1
193202,33.9,0.4
193302,25.3,-8.2
193402,40.8,7.3
193502,39.2,5.7
193602,22.6,-10.9
193702,30.6,-2.9
193802,35,1.5
193902,24.3,-9.2
194002,33.9,0.4
194102,37.6,4.1
194202,27.3,-6.2
194302,38.4,4.9
194402,31.2,-2.3
194502,33.5,0.0
194602,36.5,3.0
194702,33.4,-0.1
194802,30.2,-3.3
194902,28,-5.5
195002,37.9,4.4
195102,37.6,4.1
195202,33.1,-0.4
195302,33.6,0.1
195402,44.7,11.2
195502,28.1,-5.4
195602,29,-4.5
195702,39.1,5.6
195802,37.9,4.4
195902,30.6,-2.9
196002,26.7,-6.8
196102,37.9,4.4
196202,32.3,-1.2
196302,40.9,7.4
196402,29.2,-4.3
196502,32.5,-1.0
196602,30.9,-2.6
196702,34.9,1.4
196802,36,2.5
196902,33.5,0.0
197002,40.8,7.3
197102,32.4,-1.1
197202,35.5,2.0
197302,32.6,-0.9
197402,35.6,2.1
197502,30.7,-2.8
197602,36.7,3.2
197702,40.2,6.7
197802,30,-3.5
197902,30.9,-2.6
198002,34.6,1.1
198102,38.4,4.9
198202,33.9,0.4
198302,38.5,5.0
198402,33.7,0.2
198502,29.3,-4.2
198602,34.4,0.9
198702,37.4,3.9
198802,36,2.5
198902,23.5,-10.0
199002,34.3,0.8
199102,42.4,8.9
199202,41.9,8.4
199302,27.5,-6.0
199402,31.4,-2.1
199502,39,5.5
199602,36.3,2.8
199702,32.9,-0.6
199802,36.5,3.0
199902,38.9,5.4
200002,40.3,6.8
200102,30.5,-3.0
200202,35.8,2.3
200302,31.4,-2.1
200402,34.4,0.9
200502,39.2,5.7
200602,32.8,-0.7
200702,35.4,1.9
200802,34.3,0.8
200902,38,4.5
201002,32.8,-0.7
201102,29.4,-4.1
201202,33.6,0.1
201302,33.6,0.1
201402,30.7,-2.8
201502,39.8,6.3
201602,40.8,7.3
