Connecticut, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,31.8,-2.7
189601,29.6,-4.9
189701,33.6,-0.9
189801,34.2,-0.3
189901,34.8,0.3
190001,36.5,2.0
190101,33.3,-1.2
190201,32.6,-1.9
190301,34.4,-0.1
190401,26.9,-7.6
190501,30.3,-4.2
190601,40,5.5
190701,34.5,0.0
190801,36.1,1.6
190901,36.4,1.9
191001,35.3,0.8
191101,36.9,2.4
191201,25.8,-8.7
191301,44,9.5
191401,33.9,-0.6
191501,36.3,1.8
191601,39.1,4.6
191701,35,0.5
191801,24.5,-10.0
191901,37.6,3.1
192001,27.3,-7.2
192101,37.4,2.9
192201,31.8,-2.7
192301,31.1,-3.4
192401,37.6,3.1
192501,32,-2.5
192601,35.4,0.9
192701,33.6,-0.9
192801,37,2.5
192901,33.7,-0.8
193001,35.4,0.9
193101,34.3,-0.2
193201,44,9.5
193301,42.6,8.1
193401,36.6,2.1
193501,31.4,-3.1
193601,32.1,-2.4
193701,42.5,8.0
193801,33.7,-0.8
193901,33.2,-1.3
194001,26.5,-8.0
194101,30.3,-4.2
194201,33,-1.5
194301,31.1,-3.4
194401,35.3,0.8
194501,28.8,-5.7
194601,35,0.5
194701,39.1,4.6
194801,28.4,-6.1
194901,39.8,5.3
195001,42.1,7.6
195101,38.7,4.2
195201,38,3.5
195301,39.3,4.8
195401,32.5,-2.0
195501,32.8,-1.7
195601,33.5,-1.0
195701,30.3,-4.2
195801,33.8,-0.7
195901,34.6,0.1
196001,35,0.5
196101,30,-4.5
196201,35.2,0.7
196301,33,-1.5
196401,36.8,2.3
196501,31.6,-2.9
196601,33.4,-1.1
196701,39.2,4.7
196801,30,-4.5
196901,32.6,-1.9
197001,27.3,-7.2
197101,30.3,-4.2
197201,37.6,3.1
197301,38.3,3.8
197401,37,2.5
197501,39,4.5
197601,30.5,-4.0
197701,26.8,-7.7
197801,32,-2.5
197901,34.6,0.1
198001,35.9,1.4
198101,27.8,-6.7
198201,27.9,-6.6
198301,35.4,0.9
198401,31.7,-2.8
198501,30.5,-4.0
198601,36.8,2.3
198701,34.3,-0.2
198801,32.8,-1.7
198901,39.4,4.9
199001,42.3,7.8
199101,36.1,1.6
199201,37.4,2.9
199301,37.4,2.9
199401,29.2,-5.3
199501,39.6,5.1
199601,34.7,0.2
199701,35.7,1.2
199801,40.4,5.9
199901,37.2,2.7
200001,34.1,-0.4
200101,35.7,1.2
200201,41.9,7.4
200301,29.2,-5.3
200401,26.9,-7.6
200501,32.8,-1.7
200601,42.7,8.2
200701,39.6,5.1
200801,38.8,4.3
200901,30.1,-4.4
201001,35,0.5
201101,32.5,-2.0
201201,40.6,6.1
201301,37.4,2.9
201401,33,-1.5
201501,32.5,-2.0
201601,38,3.5
