New Hampshire, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,25.4,-4.3
189602,28.2,-1.5
189702,30.9,1.2
189802,32.6,2.9
189902,25.7,-4.0
190002,28.2,-1.5
190102,22.2,-7.5
190202,29.3,-0.4
190302,31.2,1.5
190402,22.1,-7.6
190502,23.5,-6.2
190602,30.9,1.2
190702,22.4,-7.3
190802,25.9,-3.8
190902,31.2,1.5
191002,29.2,-0.5
191102,26.2,-3.5
191202,26.6,-3.1
191302,26.4,-3.3
191402,23.5,-6.2
191502,33.4,3.7
191602,25.8,-3.9
191702,25.3,-4.4
191802,26.9,-2.8
191902,31.2,1.5
192002,27.4,-2.3
192102,31.7,2.0
192202,29.5,-0.2
192302,22.7,-7.0
192402,24.8,-4.9
192502,36.5,6.8
192602,25.9,-3.8
192702,30.7,1.0
192802,29.5,-0.2
192902,29.8,0.1
193002,33,3.3
193102,30.2,0.5
193202,29.2,-0.5
193302,33.2,3.5
193402,20.4,-9.3
193502,29.2,-0.5
193602,23.1,-6.6
193702,33.9,4.2
193802,31.6,1.9
193902,31.8,2.1
194002,29.9,0.2
194102,29.5,-0.2
194202,26.5,-3.2
194302,31.3,1.6
194402,28.9,-0.8
194502,30.3,0.6
194602,27.2,-2.5
194702,28.6,-1.1
194802,28.4,-1.3
194902,34.8,5.1
195002,26.6,-3.1
195102,34.3,4.6
195202,31.7,2.0
195302,33.7,4.0
195402,36.3,6.6
195502,32.1,2.4
195602,31.6,1.9
195702,35,5.3
195802,25.4,-4.3
195902,27.5,-2.2
196002,34.1,4.4
196102,33.5,3.8
196202,26.3,-3.4
196302,25.9,-3.8
196402,30.2,0.5
196502,28.7,-1.0
196602,31.2,1.5
196702,26.8,-2.9
196802,25.6,-4.1
196902,30.8,1.1
197002,31.7,2.0
197102,30.5,0.8
197202,28.4,-1.3
197302,29.4,-0.3
197402,29.2,-0.5
197502,30.4,0.7
197602,36,6.3
197702,29.3,-0.4
197802,25.6,-4.1
197902,21.5,-8.2
198002,27.7,-2.0
198102,38.8,9.1
198202,29.7,0.0
198302,34.1,4.4
198402,37.9,8.2
198502,32.6,2.9
198602,28.2,-1.5
198702,29.1,-0.6
198802,32.1,2.4
198902,29.7,0.0
199002,34.5,4.8
199102,35.6,5.9
199202,31.3,1.6
199302,24.6,-5.1
199402,26.7,-3.0
199502,28.8,-0.9
199602,29.3,-0.4
199702,35.5,5.8
199802,38,8.3
199902,35.4,5.7
200002,33.6,3.9
200102,31.7,2.0
200202,36.2,6.5
200302,26.8,-2.9
200402,32.1,2.4
200502,34.2,4.5
200602,31.6,1.9
200702,24.9,-4.8
200802,31.8,2.1
200902,33,3.3
201002,31.9,2.2
201102,30.5,0.8
201202,36.7,7.0
201302,31.3,1.6
201402,28.7,-1.0
201502,20.1,-9.6
