Idaho, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,28.4,-1.8
189601,34.5,4.3
189701,30.5,0.3
189801,27.3,-2.9
189901,32.8,2.6
190001,36.4,6.2
190101,32.9,2.7
190201,30.9,0.7
190301,31.1,0.9
190401,31,0.8
190501,31.7,1.5
190601,30.6,0.4
190701,27,-3.2
190801,32.1,1.9
190901,32.3,2.1
191001,25.9,-4.3
191101,31.8,1.6
191201,30.1,-0.1
191301,27.3,-2.9
191401,34.3,4.1
191501,29.2,-1.0
191601,23.4,-6.8
191701,24,-6.2
191801,33.5,3.3
191901,34.1,3.9
192001,31.5,1.3
192101,32.2,2.0
192201,22.9,-7.3
192301,33.4,3.2
192401,26.9,-3.3
192501,31.2,1.0
192601,29.8,-0.4
192701,31.3,1.1
192801,31,0.8
192901,23.2,-7.0
193001,20.5,-9.7
193101,31.1,0.9
193201,25.7,-4.5
193301,30,-0.2
193401,37.7,7.5
193501,32.2,2.0
193601,29.2,-1.0
193701,16,-14.2
193801,33.5,3.3
193901,33.6,3.4
194001,31.2,1.0
194101,33.4,3.2
194201,26.2,-4.0
194301,28.8,-1.4
194401,29.6,-0.6
194501,33.1,2.9
194601,31.1,0.9
194701,27.6,-2.6
194801,33,2.8
194901,15.9,-14.3
195001,24.9,-5.3
195101,29.2,-1.0
195201,26.9,-3.3
195301,39.7,9.5
195401,34,3.8
195501,26.5,-3.7
195601,32.5,2.3
195701,23.8,-6.4
195801,31.7,1.5
195901,33.9,3.7
196001,26.8,-3.4
196101,35.4,5.2
196201,26.1,-4.1
196301,26.7,-3.5
196401,28.8,-1.4
196501,32.7,2.5
196601,32.5,2.3
196701,34.6,4.4
196801,30.9,0.7
196901,31,0.8
197001,32.6,2.4
197101,32,1.8
197201,29.2,-1.0
197301,28.8,-1.4
197401,28.1,-2.1
197501,29.3,-0.9
197601,32.1,1.9
197701,28.2,-2.0
197801,33.8,3.6
197901,20.7,-9.5
198001,29.5,-0.7
198101,36.8,6.6
198201,28.9,-1.3
198301,35.5,5.3
198401,27.8,-2.4
198501,26.5,-3.7
198601,34.3,4.1
198701,30.1,-0.1
198801,29.4,-0.8
198901,29.3,-0.9
199001,34.2,4.0
199101,29.7,-0.5
199201,34.7,4.5
199301,27.7,-2.5
199401,36.2,6.0
199501,33.6,3.4
199601,31.7,1.5
199701,31.8,1.6
199801,35.1,4.9
199901,34.3,4.1
200001,32.9,2.7
200101,31.8,1.6
200201,30.4,0.2
200301,38.6,8.4
200401,30.5,0.3
200501,34.4,4.2
200601,35.1,4.9
200701,30.8,0.6
200801,28.6,-1.6
200901,33.7,3.5
201001,35.6,5.4
201101,31.9,1.7
201201,36,5.8
201301,29.1,-1.1
201401,36.7,6.5
201501,36.9,6.7
201601,33.3,3.1
