North Carolina, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,41,-12.1
189602,53.3,0.2
189702,54.6,1.5
189802,51.2,-1.9
189902,46.4,-6.7
190002,50,-3.1
190102,47.7,-5.4
190202,43.9,-9.2
190302,55.6,2.5
190402,47.5,-5.6
190502,42.1,-11.0
190602,52.2,-0.9
190702,49.4,-3.7
190802,47.7,-5.4
190902,59.1,6.0
191002,51.1,-2.0
191102,56.4,3.3
191202,47.9,-5.2
191302,53,-0.1
191402,49.4,-3.7
191502,55.2,2.1
191602,54,0.9
191702,52.7,-0.4
191802,58,4.9
191902,51.1,-2.0
192002,48,-5.1
192102,55.2,2.1
192202,56.3,3.2
192302,49.9,-3.2
192402,49.2,-3.9
192502,60.5,7.4
192602,55.7,2.6
192702,60.8,7.7
192802,53,-0.1
192902,49.8,-3.3
193002,59.9,6.8
193102,55.9,2.8
193202,60.2,7.1
193302,54.1,1.0
193402,46,-7.1
193502,54.1,1.0
193602,48,-5.1
193702,51.4,-1.7
193802,57.7,4.6
193902,59.5,6.4
194002,51.8,-1.3
194102,47.8,-5.3
194202,47.6,-5.5
194302,56.1,3.0
194402,55.1,2.0
194502,54.5,1.4
194602,56,2.9
194702,48.2,-4.9
194802,52.2,-0.9
194902,58.6,5.5
195002,56.7,3.6
195102,56.1,3.0
195202,54.8,1.7
195302,56,2.9
195402,58.4,5.3
195502,54.6,1.5
195602,56.6,3.5
195702,57.3,4.2
195802,45.2,-7.9
195902,53.9,0.8
196002,50.8,-2.3
196102,55.8,2.7
196202,56,2.9
196302,47.5,-5.6
196402,49.1,-4.0
196502,52.4,-0.7
196602,49.7,-3.4
196702,49,-4.1
196802,47.3,-5.8
196902,48.7,-4.4
197002,53.2,0.1
197102,53.5,0.4
197202,50.5,-2.6
197302,50.9,-2.2
197402,54.8,1.7
197502,56.1,3.0
197602,62.8,9.7
197702,53.6,0.5
197802,43.4,-9.7
197902,46.1,-7.0
198002,48,-5.1
198102,54.4,1.3
198202,54.8,1.7
198302,50.7,-2.4
198402,57.2,4.1
198502,51.6,-1.5
198602,54.8,1.7
198702,50.4,-2.7
198802,52.8,-0.3
198902,53.8,0.7
199002,61.2,8.1
199102,56.9,3.8
199202,57.1,4.0
199302,50.8,-2.3
199402,54.6,1.5
199502,49.9,-3.2
199602,52.7,-0.4
199702,56.8,3.7
199802,54.9,1.8
199902,56.7,3.6
200002,58.2,5.1
200102,58.1,5.0
200202,57,3.9
200302,51.2,-1.9
200402,50.4,-2.7
200502,54.3,1.2
200602,53.4,0.3
200702,50.5,-2.6
200802,58.3,5.2
200902,55,1.9
201002,46.1,-7.0
201102,58,4.9
201202,57.4,4.3
201302,52.2,-0.9
201402,53.8,0.7
201502,45.6,-7.5
201602,53.2,0.1
