Florida, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,89.7,-0.2
189606,89,-0.9
189706,92.8,2.9
189806,93,3.1
189906,91.6,1.7
190006,88.5,-1.4
190106,89.1,-0.8
190206,91.1,1.2
190306,88.5,-1.4
190406,89.7,-0.2
190506,90.7,0.8
190606,89.7,-0.2
190706,89.5,-0.4
190806,89.4,-0.5
190906,90.5,0.6
191006,88,-1.9
191106,91.7,1.8
191206,87.1,-2.8
191306,89,-0.9
191406,92.3,2.4
191506,90.3,0.4
191606,88.7,-1.2
191706,89.7,-0.2
191806,90.2,0.3
191906,87.9,-2.0
192006,88.5,-1.4
192106,91,1.1
192206,89.6,-0.3
192306,87.2,-2.7
192406,91.8,1.9
192506,89,-0.9
192606,89,-0.9
192706,92.2,2.3
192806,89.7,-0.2
192906,88.2,-1.7
193006,86.4,-3.5
193106,91.6,1.7
193206,88.7,-1.2
193306,89.6,-0.3
193406,88.9,-1.0
193506,90.7,0.8
193606,88.7,-1.2
193706,90.5,0.6
193806,88.5,-1.4
193906,89.7,-0.2
194006,89.1,-0.8
194106,90.5,0.6
194206,89.3,-0.6
194306,91.5,1.6
194406,92.8,2.9
194506,91.3,1.4
194606,88.4,-1.5
194706,88.7,-1.2
194806,91.8,1.9
194906,89.6,-0.3
195006,92.3,2.4
195106,91.4,1.5
195206,93.3,3.4
195306,90,0.1
195406,90.8,0.9
195506,89.2,-0.7
195606,89.6,-0.3
195706,89.4,-0.5
195806,90.2,0.3
195906,89.1,-0.8
196006,89,-0.9
196106,89.2,-0.7
196206,89.2,-0.7
196306,89.9,0.0
196406,91.4,1.5
196506,87.7,-2.2
196606,86.6,-3.3
196706,88.8,-1.1
196806,88.8,-1.1
196906,91.5,1.6
197006,89.1,-0.8
197106,90.5,0.6
197206,88.2,-1.7
197306,89.8,-0.1
197406,88.8,-1.1
197506,90.1,0.2
197606,87.3,-2.6
197706,92.6,2.7
197806,90.1,0.2
197906,89.9,0.0
198006,90.6,0.7
198106,93.2,3.3
198206,90.1,0.2
198306,88.3,-1.6
198406,89,-0.9
198506,91.4,1.5
198606,90.8,0.9
198706,90.7,0.8
198806,89.6,-0.3
198906,90.4,0.5
199006,91.4,1.5
199106,89.7,-0.2
199206,89.2,-0.7
199306,91,1.1
199406,89.8,-0.1
199506,88.8,-1.1
199606,89.1,-0.8
199706,88.1,-1.8
199806,95.7,5.8
199906,88.5,-1.4
200006,91.4,1.5
200106,90.3,0.4
200206,88.7,-1.2
200306,88.7,-1.2
200406,91.5,1.6
200506,88,-1.9
200606,90.9,1.0
200706,90.2,0.3
200806,91.4,1.5
200906,91.8,1.9
201006,93.2,3.3
201106,93.4,3.5
201206,88.3,-1.6
201306,89.9,0.0
201406,90.3,0.4
201506,91.7,1.8
