Alabama, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,89.1,2.7
189609,89.2,2.8
189709,88.7,2.3
189809,85.4,-1.0
189909,86.3,-0.1
190009,89.1,2.7
190109,83.7,-2.7
190209,84.8,-1.6
190309,86.7,0.3
190409,90.3,3.9
190509,88.2,1.8
190609,88.6,2.2
190709,86.9,0.5
190809,87,0.6
190909,87.3,0.9
191009,90.3,3.9
191109,92.5,6.1
191209,87.5,1.1
191309,84,-2.4
191409,84.5,-1.9
191509,88.5,2.1
191609,86.6,0.2
191709,84.4,-2.0
191809,83.1,-3.3
191909,88.3,1.9
192009,87.9,1.5
192109,93.2,6.8
192209,90,3.6
192309,87.7,1.3
192409,83.6,-2.8
192509,96.8,10.4
192609,89.9,3.5
192709,90.8,4.4
192809,84.8,-1.6
192909,84.9,-1.5
193009,86.9,0.5
193109,92.2,5.8
193209,84.7,-1.7
193309,91.6,5.2
193409,86.5,0.1
193509,86.2,-0.2
193609,89.3,2.9
193709,84.2,-2.2
193809,87.2,0.8
193909,88.1,1.7
194009,86.5,0.1
194109,89.1,2.7
194209,84.3,-2.1
194309,83.1,-3.3
194409,85.8,-0.6
194509,88.6,2.2
194609,82.7,-3.7
194709,87.7,1.3
194809,83.7,-2.7
194909,83.6,-2.8
195009,82.2,-4.2
195109,87,0.6
195209,84,-2.4
195309,87.3,0.9
195409,93,6.6
195509,89.2,2.8
195609,85.7,-0.7
195709,83.4,-3.0
195809,86.6,0.2
195909,85.1,-1.3
196009,85.2,-1.2
196109,86,-0.4
196209,86.6,0.2
196309,85.4,-1.0
196409,86.7,0.3
196509,84.9,-1.5
196609,83.9,-2.5
196709,80.1,-6.3
196809,85.3,-1.1
196909,83.6,-2.8
197009,89.2,2.8
197109,85.3,-1.1
197209,89.4,3.0
197309,87.1,0.7
197409,80.7,-5.7
197509,80.8,-5.6
197609,83.1,-3.3
197709,85.9,-0.5
197809,88.6,2.2
197909,81.9,-4.5
198009,90.3,3.9
198109,84.9,-1.5
198209,84.2,-2.2
198309,83.8,-2.6
198409,85.7,-0.7
198509,84.4,-2.0
198609,86.9,0.5
198709,85.9,-0.5
198809,83.7,-2.7
198909,82.8,-3.6
199009,90,3.6
199109,86.3,-0.1
199209,83.1,-3.3
199309,85.9,-0.5
199409,83.4,-3.0
199509,85.5,-0.9
199609,83,-3.4
199709,87.2,0.8
199809,88.2,1.8
199909,86.8,0.4
200009,85.2,-1.2
200109,82.6,-3.8
200209,86.9,0.5
200309,84.6,-1.8
200409,83.8,-2.6
200509,88.7,2.3
200609,84.8,-1.6
200709,87.5,1.1
200809,84.8,-1.6
200909,83.5,-2.9
201009,90.6,4.2
201109,83.4,-3.0
201209,84.1,-2.3
201309,86.1,-0.3
201409,87,0.6
201509,85.2,-1.2
