New Hampshire, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,51.5,-0.4
189604,54.8,2.9
189704,54.1,2.2
189804,48.3,-3.6
189904,52.6,0.7
190004,51.2,-0.7
190104,52.1,0.2
190204,52.7,0.8
190304,52.9,1.0
190404,48.5,-3.4
190504,51.2,-0.7
190604,51,-0.9
190704,47.1,-4.8
190804,49.8,-2.1
190904,50.5,-1.4
191004,57.1,5.2
191104,50.5,-1.4
191204,51.7,-0.2
191304,53.6,1.7
191404,47.6,-4.3
191504,57.3,5.4
191604,50.3,-1.6
191704,46.2,-5.7
191804,53.5,1.6
191904,51.2,-0.7
192004,47,-4.9
192104,59.1,7.2
192204,52.6,0.7
192304,50.9,-1.0
192404,48.9,-3.0
192504,53.9,2.0
192604,44.6,-7.3
192704,53,1.1
192804,49.2,-2.7
192904,50.2,-1.7
193004,52,0.1
193104,54.8,2.9
193204,50.2,-1.7
193304,49.5,-2.4
193404,53.8,1.9
193504,50.1,-1.8
193604,47.8,-4.1
193704,50,-1.9
193804,56,4.1
193904,45.5,-6.4
194004,46.8,-5.1
194104,60.5,8.6
194204,55.7,3.8
194304,45.6,-6.3
194404,47.7,-4.2
194504,59.2,7.3
194604,50.2,-1.7
194704,49.4,-2.5
194804,53.8,1.9
194904,55.4,3.5
195004,49.7,-2.2
195104,53,1.1
195204,54.5,2.6
195304,51.7,-0.2
195404,54.9,3.0
195504,54.1,2.2
195604,47.3,-4.6
195704,55.7,3.8
195804,53.8,1.9
195904,53.9,2.0
196004,52.6,0.7
196104,48.3,-3.6
196204,53.5,1.6
196304,51.8,-0.1
196404,50.7,-1.2
196504,49.7,-2.2
196604,49.5,-2.4
196704,49.7,-2.2
196804,58,6.1
196904,53.9,2.0
197004,52.7,0.8
197104,49.1,-2.8
197204,46.6,-5.3
197304,53.8,1.9
197404,55.1,3.2
197504,46.9,-5.0
197604,56.8,4.9
197704,54.5,2.6
197804,48.3,-3.6
197904,51,-0.9
198004,52.8,0.9
198104,55.5,3.6
198204,50.3,-1.6
198304,51.5,-0.4
198404,53,1.1
198504,53.3,1.4
198604,57.5,5.6
198704,55.7,3.8
198804,51.1,-0.8
198904,49.2,-2.7
199004,53.4,1.5
199104,57.7,5.8
199204,49.6,-2.3
199304,54.5,2.6
199404,53.6,1.7
199504,49.3,-2.6
199604,51.3,-0.6
199704,50.3,-1.6
199804,56.3,4.4
199904,54.5,2.6
200004,50.9,-1.0
200104,53.5,1.6
200204,55.4,3.5
200304,50.1,-1.8
200404,53.8,1.9
200504,56.8,4.9
200604,57,5.1
200704,48.9,-3.0
200804,57.2,5.3
200904,56.6,4.7
201004,59,7.1
201104,52.7,0.8
201204,56.6,4.7
201304,54.1,2.2
201404,53.8,1.9
201504,52,0.1
