Minnesota, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,61.5,8.8
189604,52.4,-0.3
189704,52.5,-0.2
189804,54.1,1.4
189904,54,1.3
190004,61.8,9.1
190104,56.3,3.6
190204,52.6,-0.1
190304,53,0.3
190404,46.7,-6.0
190504,51.2,-1.5
190604,57.9,5.2
190704,42.2,-10.5
190804,56.1,3.4
190904,43.8,-8.9
191004,60.2,7.5
191104,52.8,0.1
191204,56.8,4.1
191304,57.3,4.6
191404,50.3,-2.4
191504,62.8,10.1
191604,49.3,-3.4
191704,47.4,-5.3
191804,53.5,0.8
191904,51.7,-1.0
192004,44.4,-8.3
192104,57.3,4.6
192204,51.8,-0.9
192304,50.5,-2.2
192404,50.9,-1.8
192504,60.2,7.5
192604,53.8,1.1
192704,51.4,-1.3
192804,47.1,-5.6
192904,53.8,1.1
193004,56.9,4.2
193104,57.9,5.2
193204,52.7,0.0
193304,51.2,-1.5
193404,51.9,-0.8
193504,48.4,-4.3
193604,45.8,-6.9
193704,47.6,-5.1
193804,53.4,0.7
193904,50.5,-2.2
194004,49.5,-3.2
194104,57.2,4.5
194204,60.8,8.1
194304,53.7,1.0
194404,50.5,-2.2
194504,49.3,-3.4
194604,58.3,5.6
194704,47.1,-5.6
194804,55.5,2.8
194904,56.8,4.1
195004,40.5,-12.2
195104,47.1,-5.6
195204,58.3,5.6
195304,47,-5.7
195404,51.9,-0.8
195504,61.6,8.9
195604,47.2,-5.5
195704,52.8,0.1
195804,56.2,3.5
195904,54.3,1.6
196004,51.4,-1.3
196104,46.6,-6.1
196204,49.8,-2.9
196304,55.9,3.2
196404,54.4,1.7
196504,48.6,-4.1
196604,46.1,-6.6
196704,50.5,-2.2
196804,55.4,2.7
196904,55.3,2.6
197004,50.1,-2.6
197104,55,2.3
197204,48.3,-4.4
197304,52.3,-0.4
197404,53.2,0.5
197504,43.3,-9.4
197604,59.6,6.9
197704,61.3,8.6
197804,51,-1.7
197904,46.3,-6.4
198004,59.2,6.5
198104,57,4.3
198204,50.5,-2.2
198304,49.6,-3.1
198404,55.5,2.8
198504,58.4,5.7
198604,56,3.3
198704,65.1,12.4
198804,56.8,4.1
198904,51.4,-1.3
199004,54.8,2.1
199104,57.4,4.7
199204,48.4,-4.3
199304,51.4,-1.3
199404,54,1.3
199504,46.6,-6.1
199604,47.3,-5.4
199704,50.2,-2.5
199804,59.2,6.5
199904,55.4,2.7
200004,53.9,1.2
200104,53.4,0.7
200204,50.9,-1.8
200304,55.7,3.0
200404,56.9,4.2
200504,59.9,7.2
200604,60.9,8.2
200704,53,0.3
200804,50.2,-2.5
200904,52.5,-0.2
201004,63.3,10.6
201104,51.2,-1.5
201204,57.2,4.5
201304,43.1,-9.6
201404,48.8,-3.9
201504,57.5,4.8
