Pennsylvania, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,71.4,1.5
189605,75,5.1
189705,67.1,-2.8
189805,68.7,-1.2
189905,71,1.1
190005,71.7,1.8
190105,67.4,-2.5
190205,71,1.1
190305,73.6,3.7
190405,72.1,2.2
190505,70.9,1.0
190605,70.8,0.9
190705,64.7,-5.2
190805,69.4,-0.5
190905,69.1,-0.8
191005,66.9,-3.0
191105,77.9,8.0
191205,71.8,1.9
191305,69.5,-0.4
191405,73.2,3.3
191505,65.6,-4.3
191605,70.7,0.8
191705,61.4,-8.5
191805,76.1,6.2
191905,69.1,-0.8
192005,67.6,-2.3
192105,69.5,-0.4
192205,73.3,3.4
192305,70.1,0.2
192405,63,-6.9
192505,65.9,-4.0
192605,71.5,1.6
192705,66.5,-3.4
192805,69.5,-0.4
192905,68.6,-1.3
193005,72.2,2.3
193105,70.5,0.6
193205,70.9,1.0
193305,71.1,1.2
193405,74.4,4.5
193505,65.6,-4.3
193605,75.1,5.2
193705,71.8,1.9
193805,68.4,-1.5
193905,74.7,4.8
194005,68.8,-1.1
194105,73.5,3.6
194205,72.8,2.9
194305,69.7,-0.2
194405,77.5,7.6
194505,66.2,-3.7
194605,68.5,-1.4
194705,68.6,-1.3
194805,68.3,-1.6
194905,71.8,1.9
195005,69.2,-0.7
195105,71.3,1.4
195205,67,-2.9
195305,71.9,2.0
195405,66.8,-3.1
195505,73.8,3.9
195605,67.8,-2.1
195705,71.1,1.2
195805,68.4,-1.5
195905,73.9,4.0
196005,66.7,-3.2
196105,65.6,-4.3
196205,74.3,4.4
196305,69,-0.9
196405,73.4,3.5
196505,75,5.1
196605,66.2,-3.7
196705,62.3,-7.6
196805,64.2,-5.7
196905,71.7,1.8
197005,72.7,2.8
197105,67,-2.9
197205,71,1.1
197305,63.9,-6.0
197405,68.3,-1.6
197505,73.3,3.4
197605,67,-2.9
197705,75.3,5.4
197805,67.1,-2.8
197905,68.9,-1.0
198005,71.5,1.6
198105,70.1,0.2
198205,73.8,3.9
198305,66.7,-3.2
198405,65.3,-4.6
198505,72.1,2.2
198605,72.7,2.8
198705,71.9,2.0
198805,70.3,0.4
198905,65.9,-4.0
199005,65.9,-4.0
199105,77.2,7.3
199205,68,-1.9
199305,71.8,1.9
199405,66.2,-3.7
199505,67.9,-2.0
199605,66.6,-3.3
199705,64.8,-5.1
199805,73.7,3.8
199905,72.6,2.7
200005,71.9,2.0
200105,71,1.1
200205,67.5,-2.4
200305,66,-3.9
200405,75.4,5.5
200505,66.2,-3.7
200605,69.7,-0.2
200705,74.7,4.8
200805,66.5,-3.4
200905,70,0.1
201005,72.3,2.4
201105,71.7,1.8
201205,75.6,5.7
201305,71.3,1.4
201405,70.8,0.9
201505,76.2,6.3
