Delaware, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,33.7,-9.9
189602,44.5,0.9
189702,42.8,-0.8
189802,44.3,0.7
189902,35.9,-7.7
190002,43.4,-0.2
190102,35.8,-7.8
190202,35.4,-8.2
190302,45.4,1.8
190402,35.8,-7.8
190502,33.9,-9.7
190602,43.6,0.0
190702,36.5,-7.1
190802,39,-4.6
190902,51.9,8.3
191002,43.3,-0.3
191102,42.6,-1.0
191202,38.6,-5.0
191302,43.2,-0.4
191402,38.5,-5.1
191502,46.6,3.0
191602,41.1,-2.5
191702,41.2,-2.4
191802,44,0.4
191902,43.1,-0.5
192002,37.9,-5.7
192102,46,2.4
192202,44.7,1.1
192302,38.1,-5.5
192402,39.9,-3.7
192502,52.2,8.6
192602,43.3,-0.3
192702,48.4,4.8
192802,44.1,0.5
192902,43.3,-0.3
193002,49.7,6.1
193102,45.5,1.9
193202,49.2,5.6
193302,46.3,2.7
193402,31.7,-11.9
193502,42,-1.6
193602,35.6,-8.0
193702,44,0.4
193802,48,4.4
193902,49.9,6.3
194002,41.9,-1.7
194102,39.6,-4.0
194202,40.3,-3.3
194302,46.9,3.3
194402,44,0.4
194502,44.4,0.8
194602,47.1,3.5
194702,39,-4.6
194802,43.4,-0.2
194902,50.3,6.7
195002,43.5,-0.1
195102,46.8,3.2
195202,45.9,2.3
195302,48.6,5.0
195402,51.6,8.0
195502,46.1,2.5
195602,47.5,3.9
195702,46.5,2.9
195802,36.4,-7.2
195902,45.3,1.7
196002,44.9,1.3
196102,45.2,1.6
196202,40.6,-3.0
196302,39,-4.6
196402,41.4,-2.2
196502,45.2,1.6
196602,41.4,-2.2
196702,40.7,-2.9
196802,40.5,-3.1
196902,39.5,-4.1
197002,44,0.4
197102,45.3,1.7
197202,42.2,-1.4
197302,42.7,-0.9
197402,43.5,-0.1
197502,45.5,1.9
197602,54,10.4
197702,45.2,1.6
197802,32.9,-10.7
197902,31.9,-11.7
198002,39,-4.6
198102,49.2,5.6
198202,43.6,0.0
198302,43.1,-0.5
198402,49.1,5.5
198502,44.4,0.8
198602,40,-3.6
198702,40.4,-3.2
198802,45.5,1.9
198902,44.6,1.0
199002,53.1,9.5
199102,50.9,7.3
199202,47,3.4
199302,41.2,-2.4
199402,42.6,-1.0
199502,41.8,-1.8
199602,43.7,0.1
199702,50,6.4
199802,49.3,5.7
199902,48,4.4
200002,49.6,6.0
200102,48.3,4.7
200202,52.3,8.7
200302,40.1,-3.5
200402,45.4,1.8
200502,45.8,2.2
200602,46.7,3.1
200702,37.7,-5.9
200802,49.8,6.2
200902,48.8,5.2
201002,38.3,-5.3
201102,49.8,6.2
201202,51,7.4
201302,43.9,0.3
201402,42.8,-0.8
201502,35.8,-7.8
201602,47.5,3.9
