Mississippi, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,52.4,-3.4
189601,52.9,-2.9
189701,51.5,-4.3
189801,59.6,3.8
189901,54.4,-1.4
190001,55,-0.8
190101,58.3,2.5
190201,54.8,-1.0
190301,54.1,-1.7
190401,53.9,-1.9
190501,49.5,-6.3
190601,57.5,1.7
190701,65.8,10.0
190801,56,0.2
190901,60.2,4.4
191001,58.3,2.5
191101,62.5,6.7
191201,51.3,-4.5
191301,62,6.2
191401,60.3,4.5
191501,53.6,-2.2
191601,61.7,5.9
191701,59.1,3.3
191801,47.4,-8.4
191901,55.2,-0.6
192001,55.4,-0.4
192101,61.3,5.5
192201,54.3,-1.5
192301,63.6,7.8
192401,52.2,-3.6
192501,56.9,1.1
192601,53.6,-2.2
192701,60,4.2
192801,57,1.2
192901,59.2,3.4
193001,53.9,-1.9
193101,55.2,-0.6
193201,61.6,5.8
193301,62.5,6.7
193401,59.6,3.8
193501,59.2,3.4
193601,53.4,-2.4
193701,63.4,7.6
193801,57.4,1.6
193901,60.7,4.9
194001,42.8,-13.0
194101,59,3.2
194201,55,-0.8
194301,58.8,3.0
194401,55.9,0.1
194501,55.4,-0.4
194601,55.5,-0.3
194701,56.6,0.8
194801,48.5,-7.3
194901,62,6.2
195001,67.2,11.4
195101,58.8,3.0
195201,63.6,7.8
195301,61.1,5.3
195401,58.6,2.8
195501,55,-0.8
195601,53.9,-1.9
195701,57.2,1.4
195801,51.2,-4.6
195901,55.1,-0.7
196001,52.9,-2.9
196101,50.7,-5.1
196201,52.3,-3.5
196301,50.2,-5.6
196401,54.4,-1.4
196501,59.3,3.5
196601,48.9,-6.9
196701,56,0.2
196801,52.3,-3.5
196901,54.6,-1.2
197001,49,-6.8
197101,55.9,0.1
197201,59.7,3.9
197301,52.5,-3.3
197401,60.2,4.4
197501,60.2,4.4
197601,54.1,-1.7
197701,43.3,-12.5
197801,43.7,-12.1
197901,45.5,-10.3
198001,55.7,-0.1
198101,53,-2.8
198201,55.2,-0.6
198301,52.2,-3.6
198401,49.8,-6.0
198501,47.6,-8.2
198601,57.9,2.1
198701,53.3,-2.5
198801,50.3,-5.5
198901,61.5,5.7
199001,60.4,4.6
199101,53,-2.8
199201,54.3,-1.5
199301,56.6,0.8
199401,50.6,-5.2
199501,56.1,0.3
199601,56,0.2
199701,54.8,-1.0
199801,58.1,2.3
199901,61.1,5.3
200001,58,2.2
200101,51.3,-4.5
200201,58.5,2.7
200301,51.8,-4.0
200401,56.4,0.6
200501,60,4.2
200601,63.3,7.5
200701,55.6,-0.2
200801,54.1,-1.7
200901,56.1,0.3
201001,51.1,-4.7
201101,52.3,-3.5
201201,62.8,7.0
201301,58.4,2.6
201401,51.3,-4.5
201501,54.7,-1.1
201601,54.2,-1.6
