Kansas, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,34.4,-5.7
189601,44,3.9
189701,37.5,-2.6
189801,40.5,0.4
189901,40,-0.1
190001,45.8,5.7
190101,43.6,3.5
190201,41.5,1.4
190301,41.7,1.6
190401,41,0.9
190501,30.5,-9.6
190601,45.5,5.4
190701,38.1,-2.0
190801,46,5.9
190901,39.3,-0.8
191001,37.9,-2.2
191101,45.6,5.5
191201,27.3,-12.8
191301,40.3,0.2
191401,46.7,6.6
191501,38.4,-1.7
191601,34,-6.1
191701,42.6,2.5
191801,30,-10.1
191901,39.5,-0.6
192001,40.5,0.4
192101,45.1,5.0
192201,38.5,-1.6
192301,50.5,10.4
192401,37.2,-2.9
192501,35.6,-4.5
192601,41.5,1.4
192701,41.8,1.7
192801,46,5.9
192901,33.5,-6.6
193001,26.9,-13.2
193101,47.4,7.3
193201,35.5,-4.6
193301,51.5,11.4
193401,46.8,6.7
193501,45.9,5.8
193601,34.7,-5.4
193701,29.4,-10.7
193801,45.2,5.1
193901,47.9,7.8
194001,22.7,-17.4
194101,40.1,0.0
194201,40.2,0.1
194301,41.7,1.6
194401,43.5,3.4
194501,41.1,1.0
194601,44.6,4.5
194701,43.5,3.4
194801,37.4,-2.7
194901,31,-9.1
195001,43.1,3.0
195101,41,0.9
195201,46.2,6.1
195301,47.6,7.5
195401,40.8,0.7
195501,41.2,1.1
195601,39.6,-0.5
195701,34.4,-5.7
195801,43.5,3.4
195901,36.6,-3.5
196001,36.8,-3.3
196101,44.4,4.3
196201,35.3,-4.8
196301,32.4,-7.7
196401,48.5,8.4
196501,45.4,5.3
196601,35.6,-4.5
196701,44.1,4.0
196801,40.9,0.8
196901,36.9,-3.2
197001,37.5,-2.6
197101,38.8,-1.3
197201,39.7,-0.4
197301,37.4,-2.7
197401,34.8,-5.3
197501,43.3,3.2
197601,44.2,4.1
197701,32.6,-7.5
197801,29.3,-10.8
197901,24.6,-15.5
198001,38.2,-1.9
198101,46.6,6.5
198201,37.2,-2.9
198301,39.6,-0.5
198401,37.7,-2.4
198501,33.7,-6.4
198601,52.8,12.7
198701,41.6,1.5
198801,36.2,-3.9
198901,49.8,9.7
199001,48.9,8.8
199101,36.5,-3.6
199201,47.4,7.3
199301,33.2,-6.9
199401,40.2,0.1
199501,42.3,2.2
199601,39.8,-0.3
199701,41.1,1.0
199801,42.1,2.0
199901,42.8,2.7
200001,45.5,5.4
200101,41.9,1.8
200201,47.3,7.2
200301,44.3,4.2
200401,42.2,2.1
200501,39.2,-0.9
200601,55.5,15.4
200701,36.6,-3.5
200801,42.1,2.0
200901,44.7,4.6
201001,36.9,-3.2
201101,39.4,-0.7
201201,49.7,9.6
201301,44.5,4.4
201401,43.1,3.0
201501,44.8,4.7
201601,42.7,2.6
