Alabama, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,75.7,0.1
189604,80.6,5.0
189704,74.8,-0.8
189804,71,-4.6
189904,72.6,-3.0
190004,76.7,1.1
190104,70,-5.6
190204,74.9,-0.7
190304,74,-1.6
190404,72.7,-2.9
190504,75.7,0.1
190604,79.1,3.5
190704,70.1,-5.5
190804,79.7,4.1
190904,75.6,0.0
191004,75.9,0.3
191104,74.9,-0.7
191204,76,0.4
191304,75,-0.6
191404,76.7,1.1
191504,79,3.4
191604,74.7,-0.9
191704,77.5,1.9
191804,71.9,-3.7
191904,76.2,0.6
192004,73.7,-1.9
192104,74.5,-1.1
192204,77.8,2.2
192304,74.8,-0.8
192404,74.8,-0.8
192504,80.8,5.2
192604,74,-1.6
192704,79.8,4.2
192804,71.4,-4.2
192904,78.1,2.5
193004,78.8,3.2
193104,74,-1.6
193204,77.2,1.6
193304,73.7,-1.9
193404,76.1,0.5
193504,75,-0.6
193604,73.7,-1.9
193704,75.8,0.2
193804,75.2,-0.4
193904,74,-1.6
194004,72.8,-2.8
194104,77.3,1.7
194204,78.3,2.7
194304,76.3,0.7
194404,73.3,-2.3
194504,78,2.4
194604,79,3.4
194704,76.4,0.8
194804,79.2,3.6
194904,72.7,-2.9
195004,72.1,-3.5
195104,73.9,-1.7
195204,74.5,-1.1
195304,73.9,-1.7
195404,80.4,4.8
195504,79.3,3.7
195604,74,-1.6
195704,77.2,1.6
195804,75.7,0.1
195904,74.8,-0.8
196004,77.6,2.0
196104,72.1,-3.5
196204,72.6,-3.0
196304,78.1,2.5
196404,76.8,1.2
196504,78.6,3.0
196604,76.2,0.6
196704,81.2,5.6
196804,76.4,0.8
196904,76.8,1.2
197004,78.2,2.6
197104,76.3,0.7
197204,76.9,1.3
197304,71.2,-4.4
197404,75.7,0.1
197504,73.5,-2.1
197604,77.5,1.9
197704,78.5,2.9
197804,78,2.4
197904,75.1,-0.5
198004,73.7,-1.9
198104,80,4.4
198204,71.9,-3.7
198304,70.4,-5.2
198404,72.8,-2.8
198504,77.4,1.8
198604,78,2.4
198704,74.6,-1.0
198804,75.8,0.2
198904,74.3,-1.3
199004,74.9,-0.7
199104,76.5,0.9
199204,74.5,-1.1
199304,71.6,-4.0
199404,78.2,2.6
199504,76.5,0.9
199604,73.7,-1.9
199704,71.6,-4.0
199804,73.4,-2.2
199904,79.3,3.7
200004,73.4,-2.2
200104,77,1.4
200204,78.1,2.5
200304,75.8,0.2
200404,75.2,-0.4
200504,74.2,-1.4
200604,81.3,5.7
200704,73.2,-2.4
200804,75,-0.6
200904,74.2,-1.4
201004,78.6,3.0
201104,78.8,3.2
201204,77.6,2.0
201304,74.3,-1.3
201404,74.8,-0.8
201504,76.6,1.0
