Ohio, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,30.8,-4.2
189601,34.4,-0.6
189701,31.7,-3.3
189801,38.2,3.2
189901,35.4,0.4
190001,37.8,2.8
190101,36.2,1.2
190201,34.3,-0.7
190301,33.8,-1.2
190401,28.9,-6.1
190501,29.6,-5.4
190601,42.8,7.8
190701,39.8,4.8
190801,36.2,1.2
190901,39.1,4.1
191001,33.6,-1.4
191101,39.9,4.9
191201,24.8,-10.2
191301,43.5,8.5
191401,38.7,3.7
191501,33,-2.0
191601,43.8,8.8
191701,35.7,0.7
191801,22,-13.0
191901,40.5,5.5
192001,28.9,-6.1
192101,39.7,4.7
192201,33.7,-1.3
192301,37.6,2.6
192401,32.5,-2.5
192501,34,-1.0
192601,33.7,-1.3
192701,33.5,-1.5
192801,35.9,0.9
192901,33.2,-1.8
193001,35,0.0
193101,38.2,3.2
193201,45.8,10.8
193301,44.4,9.4
193401,39.5,4.5
193501,36.8,1.8
193601,28.4,-6.6
193701,42.8,7.8
193801,36.5,1.5
193901,39.7,4.7
194001,22.8,-12.2
194101,34.3,-0.7
194201,35.2,0.2
194301,36,1.0
194401,38.9,3.9
194501,27.5,-7.5
194601,38.8,3.8
194701,40.9,5.9
194801,28,-7.0
194901,42.2,7.2
195001,46.6,11.6
195101,37.2,2.2
195201,40.5,5.5
195301,40.4,5.4
195401,37.4,2.4
195501,33.9,-1.1
195601,32.8,-2.2
195701,30.4,-4.6
195801,33.4,-1.6
195901,33.6,-1.4
196001,37.1,2.1
196101,30.3,-4.7
196201,32.8,-2.2
196301,28.6,-6.4
196401,38.2,3.2
196501,35.5,0.5
196601,30.1,-4.9
196701,39.9,4.9
196801,30.9,-4.1
196901,33.2,-1.8
197001,27.8,-7.2
197101,31.3,-3.7
197201,37.1,2.1
197301,37.7,2.7
197401,39,4.0
197501,38.7,3.7
197601,31.3,-3.7
197701,20.1,-14.9
197801,25.5,-9.5
197901,27.3,-7.7
198001,33.9,-1.1
198101,29.1,-5.9
198201,29.5,-5.5
198301,35.7,0.7
198401,29.3,-5.7
198501,28.1,-6.9
198601,35.7,0.7
198701,34.1,-0.9
198801,34,-1.0
198901,43.5,8.5
199001,44.1,9.1
199101,35.5,0.5
199201,37.3,2.3
199301,39.2,4.2
199401,27.6,-7.4
199501,35.9,0.9
199601,33.4,-1.6
199701,34.5,-0.5
199801,41.9,6.9
199901,37.3,2.3
200001,35.6,0.6
200101,34.8,-0.2
200201,42.1,7.1
200301,28.6,-6.4
200401,31.1,-3.9
200501,36.9,1.9
200601,46.4,11.4
200701,39.9,4.9
200801,37.6,2.6
200901,29.2,-5.8
201001,31,-4.0
201101,30.9,-4.1
201201,40.4,5.4
201301,38.7,3.7
201401,29.5,-5.5
201501,32.5,-2.5
201601,35.8,0.8
