Idaho, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,29.7,-2.0
189612,36.4,4.7
189712,30.8,-0.9
189812,26.6,-5.1
189912,30.2,-1.5
190012,34.6,2.9
190112,33.6,1.9
190212,32.2,0.5
190312,32,0.3
190412,33.7,2.0
190512,28.7,-3.0
190612,35.5,3.8
190712,32.9,1.2
190812,29.8,-1.9
190912,24.2,-7.5
191012,33.7,2.0
191112,30.3,-1.4
191212,31.4,-0.3
191312,30.1,-1.6
191412,26.3,-5.4
191512,31.4,-0.3
191612,26.4,-5.3
191712,40.5,8.8
191812,31.8,0.1
191912,25.6,-6.1
192012,31.6,-0.1
192112,33.1,1.4
192212,28.8,-2.9
192312,31.1,-0.6
192412,24.4,-7.3
192512,35,3.3
192612,30.1,-1.6
192712,26.7,-5.0
192812,28.5,-3.2
192912,38.1,6.4
193012,25.8,-5.9
193112,28.1,-3.6
193212,25.8,-5.9
193312,39.3,7.6
193412,32.4,0.7
193512,31.1,-0.6
193612,34,2.3
193712,35.1,3.4
193812,34.5,2.8
193912,40.4,8.7
194012,35.9,4.2
194112,34.2,2.5
194212,32.4,0.7
194312,34,2.3
194412,30.6,-1.1
194512,30.3,-1.4
194612,36,4.3
194712,32.8,1.1
194812,25.3,-6.4
194912,32.4,0.7
195012,36.2,4.5
195112,27.2,-4.5
195212,32.2,0.5
195312,32.9,1.2
195412,31.4,-0.3
195512,32.9,1.2
195612,33.3,1.6
195712,34.8,3.1
195812,37.7,6.0
195912,34.6,2.9
196012,32.2,0.5
196112,29.4,-2.3
196212,36.1,4.4
196312,30,-1.7
196412,31.8,0.1
196512,33.3,1.6
196612,31.7,0.0
196712,28.4,-3.3
196812,30.3,-1.4
196912,34.1,2.4
197012,29.8,-1.9
197112,28.1,-3.6
197212,26.1,-5.6
197312,34.3,2.6
197412,32.2,0.5
197512,34.7,3.0
197612,35.9,4.2
197712,34.1,2.4
197812,26.4,-5.3
197912,36.5,4.8
198012,36.8,5.1
198112,34.6,2.9
198212,30.4,-1.3
198312,24.4,-7.3
198412,26.7,-5.0
198512,24.4,-7.3
198612,33.6,1.9
198712,32.1,0.4
198812,29.5,-2.2
198912,34.8,3.1
199012,24.1,-7.6
199112,34.1,2.4
199212,27.8,-3.9
199312,32.9,1.2
199412,31.6,-0.1
199512,34.4,2.7
199612,31.9,0.2
199712,31.7,0.0
199812,30.1,-1.6
199912,33.5,1.8
200012,32.1,0.4
200112,29.7,-2.0
200212,35.8,4.1
200312,35,3.3
200412,35.8,4.1
200512,30.8,-0.9
200612,34,2.3
200712,30.4,-1.3
200812,30.9,-0.8
200912,28.1,-3.6
201012,33.7,2.0
201112,34.7,3.0
201212,32.7,1.0
201312,29.8,-1.9
201412,36.2,4.5
201512,31.4,-0.3
