Oklahoma, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,92.1,-1.3
189608,98.5,5.1
189708,92.6,-0.8
189808,91.9,-1.5
189908,98.7,5.3
190008,94.8,1.4
190108,95.5,2.1
190208,97.4,4.0
190308,92.2,-1.2
190408,90.6,-2.8
190508,92.6,-0.8
190608,87.9,-5.5
190708,94.3,0.9
190808,91.7,-1.7
190908,96.5,3.1
191008,91.9,-1.5
191108,91.2,-2.2
191208,91.5,-1.9
191308,99.8,6.4
191408,90.9,-2.5
191508,84.5,-8.9
191608,96.2,2.8
191708,89.1,-4.3
191808,98.9,5.5
191908,94.3,0.9
192008,86.7,-6.7
192108,94.9,1.5
192208,96.4,3.0
192308,97,3.6
192408,95.3,1.9
192508,92.9,-0.5
192608,92.5,-0.9
192708,87,-6.4
192808,92.6,-0.8
192908,97.2,3.8
193008,97.5,4.1
193108,91,-2.4
193208,93.5,0.1
193308,89.8,-3.6
193408,99.5,6.1
193508,96.2,2.8
193608,102.2,8.8
193708,96.9,3.5
193808,97,3.6
193908,95.5,2.1
194008,90.1,-3.3
194108,92.6,-0.8
194208,90.2,-3.2
194308,100.6,7.2
194408,94.6,1.2
194508,91.8,-1.6
194608,94.5,1.1
194708,97.8,4.4
194808,91.3,-2.1
194908,91.1,-2.3
195008,86.7,-6.7
195108,97.2,3.8
195208,97.5,4.1
195308,91.2,-2.2
195408,99.2,5.8
195508,93.5,0.1
195608,99.6,6.2
195708,94.1,0.7
195808,92.5,-0.9
195908,92.8,-0.6
196008,91.5,-1.9
196108,89.4,-4.0
196208,95.5,2.1
196308,95.7,2.3
196408,93.4,0.0
196508,92.8,-0.6
196608,87.4,-6.0
196708,90.4,-3.0
196808,91,-2.4
196908,92.9,-0.5
197008,96.4,3.0
197108,88.4,-5.0
197208,92.3,-1.1
197308,92.4,-1.0
197408,88.9,-4.5
197508,92,-1.4
197608,94.1,0.7
197708,91.3,-2.1
197808,94.2,0.8
197908,91,-2.4
198008,98.7,5.3
198108,90.1,-3.3
198208,95.4,2.0
198308,98,4.6
198408,94.9,1.5
198508,94.1,0.7
198608,90.1,-3.3
198708,93.1,-0.3
198808,94.6,1.2
198908,88.8,-4.6
199008,92.4,-1.0
199108,91.9,-1.5
199208,85.4,-8.0
199308,94.5,1.1
199408,92,-1.4
199508,94,0.6
199608,87.4,-6.0
199708,89.2,-4.2
199808,95.7,2.3
199908,97.3,3.9
200008,99.7,6.3
200108,95.4,2.0
200208,92.8,-0.6
200308,95.5,2.1
200408,87.2,-6.2
200508,92.2,-1.2
200608,96.2,2.8
200708,93.7,0.3
200808,89.8,-3.6
200908,90.9,-2.5
201008,97,3.6
201108,101.6,8.2
201208,95.5,2.1
201308,91.6,-1.8
201408,93,-0.4
201508,91.4,-2.0
