New Mexico, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,45,-3.1
189612,51.9,3.8
189712,46.2,-1.9
189812,39.9,-8.2
189912,48.1,0.0
190012,50.8,2.7
190112,49.9,1.8
190212,46.4,-1.7
190312,49.9,1.8
190412,45.4,-2.7
190512,40.1,-8.0
190612,50.5,2.4
190712,49.9,1.8
190812,47.8,-0.3
190912,39.3,-8.8
191012,50.8,2.7
191112,41.4,-6.7
191212,42.6,-5.5
191312,40.2,-7.9
191412,40.9,-7.2
191512,49.7,1.6
191612,47,-1.1
191712,55.9,7.8
191812,40.9,-7.2
191912,49.9,1.8
192012,47.7,-0.4
192112,53.4,5.3
192212,52,3.9
192312,42.5,-5.6
192412,43.9,-4.2
192512,45.5,-2.6
192612,45,-3.1
192712,43.6,-4.5
192812,46.8,-1.3
192912,52.2,4.1
193012,44.9,-3.2
193112,43.9,-4.2
193212,41.3,-6.8
193312,56,7.9
193412,50.2,2.1
193512,46.7,-1.4
193612,49.6,1.5
193712,48.6,0.5
193812,50.6,2.5
193912,53.8,5.7
194012,50.2,2.1
194112,49.5,1.4
194212,51.7,3.6
194312,44.3,-3.8
194412,47.2,-0.9
194512,47.2,-0.9
194612,54.1,6.0
194712,46.4,-1.7
194812,50.5,2.4
194912,47.9,-0.2
195012,56.1,8.0
195112,47.5,-0.6
195212,46.2,-1.9
195312,44.8,-3.3
195412,50.9,2.8
195512,52.9,4.8
195612,50.7,2.6
195712,52.2,4.1
195812,54.8,6.7
195912,48.7,0.6
196012,41.7,-6.4
196112,45.8,-2.3
196212,50.3,2.2
196312,48.7,0.6
196412,47.8,-0.3
196512,49.1,1.0
196612,48.7,0.6
196712,42.1,-6.0
196812,47.5,-0.6
196912,50.4,2.3
197012,52.7,4.6
197112,45.1,-3.0
197212,47.3,-0.8
197312,51.4,3.3
197412,45,-3.1
197512,50.4,2.3
197612,48.5,0.4
197712,54.1,6.0
197812,44.2,-3.9
197912,51.3,3.2
198012,56.2,8.1
198112,54.1,6.0
198212,44.4,-3.7
198312,46.1,-2.0
198412,47.4,-0.7
198512,50.3,2.2
198612,45.7,-2.4
198712,46.3,-1.8
198812,47.8,-0.3
198912,48.3,0.2
199012,46.4,-1.7
199112,45.6,-2.5
199212,44.9,-3.2
199312,50.5,2.4
199412,51.6,3.5
199512,51.5,3.4
199612,51.9,3.8
199712,43.5,-4.6
199812,51.2,3.1
199912,49,0.9
200012,49.3,1.2
200112,49.4,1.3
200212,46.7,-1.4
200312,52,3.9
200412,49.5,1.4
200512,52.6,4.5
200612,48.4,0.3
200712,47.9,-0.2
200812,50.7,2.6
200912,44.2,-3.9
201012,54.8,6.7
201112,42.8,-5.3
201212,50.6,2.5
201312,48,-0.1
201412,50.5,2.4
201512,49.5,1.4
