Arizona, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,49,-4.0
189601,56.6,3.6
189701,50,-3.0
189801,45.9,-7.1
189901,50.1,-2.9
190001,58.8,5.8
190101,53.8,0.8
190201,55.4,2.4
190301,54,1.0
190401,52.4,-0.6
190501,53.7,0.7
190601,50.8,-2.2
190701,52.1,-0.9
190801,55.4,2.4
190901,56.9,3.9
191001,52.4,-0.6
191101,55.8,2.8
191201,56.2,3.2
191301,48.8,-4.2
191401,55.1,2.1
191501,49.1,-3.9
191601,48.8,-4.2
191701,46.9,-6.1
191801,52,-1.0
191901,48.9,-4.1
192001,51.3,-1.7
192101,54.6,1.6
192201,49.6,-3.4
192301,57.9,4.9
192401,51.5,-1.5
192501,50.5,-2.5
192601,51.2,-1.8
192701,56.8,3.8
192801,56,3.0
192901,50.6,-2.4
193001,48.4,-4.6
193101,53.1,0.1
193201,46.2,-6.8
193301,46.9,-6.1
193401,57,4.0
193501,53.2,0.2
193601,54.8,1.8
193701,40.1,-12.9
193801,55.9,2.9
193901,51.8,-1.2
194001,54.6,1.6
194101,51.7,-1.3
194201,53.8,0.8
194301,54.4,1.4
194401,51.8,-1.2
194501,52.9,-0.1
194601,50.9,-2.1
194701,51.2,-1.8
194801,56.5,3.5
194901,40.8,-12.2
195001,52.8,-0.2
195101,54.2,1.2
195201,51.5,-1.5
195301,59.5,6.5
195401,55.7,2.7
195501,47.9,-5.1
195601,58.4,5.4
195701,51.9,-1.1
195801,55,2.0
195901,57.8,4.8
196001,47.6,-5.4
196101,55.5,2.5
196201,50.8,-2.2
196301,50.2,-2.8
196401,51.8,-1.2
196501,55.4,2.4
196601,50.2,-2.8
196701,54.8,1.8
196801,50.7,-2.3
196901,55.7,2.7
197001,54.4,1.4
197101,56,3.0
197201,56,3.0
197301,48.6,-4.4
197401,51.4,-1.6
197501,53.5,0.5
197601,56.1,3.1
197701,51,-2.0
197801,53.3,0.3
197901,46,-7.0
198001,53.8,0.8
198101,58.4,5.4
198201,52.6,-0.4
198301,55,2.0
198401,55.1,2.1
198501,51,-2.0
198601,62.2,9.2
198701,52.8,-0.2
198801,52.2,-0.8
198901,52,-1.0
199001,54.2,1.2
199101,52.3,-0.7
199201,51,-2.0
199301,52.8,-0.2
199401,57.9,4.9
199501,52.1,-0.9
199601,58.6,5.6
199701,52.7,-0.3
199801,56.5,3.5
199901,59.8,6.8
200001,59.8,6.8
200101,51.9,-1.1
200201,55.6,2.6
200301,63,10.0
200401,54.7,1.7
200501,55.4,2.4
200601,59,6.0
200701,51.6,-1.4
200801,51.4,-1.6
200901,58.2,5.2
201001,53.9,0.9
201101,55.4,2.4
201201,59.4,6.4
201301,51.7,-1.3
201401,61.4,8.4
201501,57.2,4.2
201601,54.4,1.4
