Texas, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,57.9,0.2
189601,56.7,-1.0
189701,51.3,-6.4
189801,60.7,3.0
189901,55.5,-2.2
190001,57.6,-0.1
190101,60.4,2.7
190201,57.3,-0.4
190301,56.2,-1.5
190401,58.6,0.9
190501,53.6,-4.1
190601,59.9,2.2
190701,65.3,7.6
190801,60.2,2.5
190901,63.6,5.9
191001,60.2,2.5
191101,65.4,7.7
191201,55.1,-2.6
191301,57.5,-0.2
191401,64.4,6.7
191501,54.9,-2.8
191601,60.7,3.0
191701,59.6,1.9
191801,52.6,-5.1
191901,53.6,-4.1
192001,53.5,-4.2
192101,63.4,5.7
192201,53.7,-4.0
192301,66.7,9.0
192401,53.5,-4.2
192501,57.2,-0.5
192601,53.5,-4.2
192701,60.9,3.2
192801,59.6,1.9
192901,59.3,1.6
193001,48.5,-9.2
193101,56.7,-1.0
193201,57.8,0.1
193301,63.2,5.5
193401,59.9,2.2
193501,63.2,5.5
193601,56.9,-0.8
193701,54.4,-3.3
193801,59,1.3
193901,59.9,2.2
194001,48.7,-9.0
194101,58.6,0.9
194201,56.7,-1.0
194301,59.6,1.9
194401,57,-0.7
194501,58.2,0.5
194601,55.2,-2.5
194701,54.4,-3.3
194801,52.3,-5.4
194901,49.9,-7.8
195001,63.2,5.5
195101,60.1,2.4
195201,65.5,7.8
195301,65.8,8.1
195401,60.8,3.1
195501,56.6,-1.1
195601,59.4,1.7
195701,58.1,0.4
195801,55.2,-2.5
195901,56.1,-1.6
196001,54.6,-3.1
196101,53.4,-4.3
196201,53.6,-4.1
196301,53.3,-4.4
196401,58.5,0.8
196501,62.1,4.4
196601,51.2,-6.5
196701,60.8,3.1
196801,53.9,-3.8
196901,61,3.3
197001,53.7,-4.0
197101,63.2,5.5
197201,60.6,2.9
197301,51.7,-6.0
197401,57.7,0.0
197501,60.2,2.5
197601,59.8,2.1
197701,50.1,-7.6
197801,48.8,-8.9
197901,46.8,-10.9
198001,58.3,0.6
198101,57.7,0.0
198201,60.2,2.5
198301,55.3,-2.4
198401,53,-4.7
198501,52,-5.7
198601,63.4,5.7
198701,57,-0.7
198801,53.7,-4.0
198901,62.2,4.5
199001,63.3,5.6
199101,53.4,-4.3
199201,55.1,-2.6
199301,55.9,-1.8
199401,59,1.3
199501,59.8,2.1
199601,61,3.3
199701,56.1,-1.6
199801,63.1,5.4
199901,64.2,6.5
200001,64.1,6.4
200101,54.3,-3.4
200201,61.7,4.0
200301,58.6,0.9
200401,60,2.3
200501,61.8,4.1
200601,68.3,10.6
200701,52.1,-5.6
200801,59,1.3
200901,63.1,5.4
201001,56.5,-1.2
201101,58.2,0.5
201201,64.4,6.7
201301,59.4,1.7
201401,59,1.3
201501,54.6,-3.1
201601,58.7,1.0
