Missouri, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,35.1,-9.2
189602,45.9,1.6
189702,43,-1.3
189802,45.5,1.2
189902,31.1,-13.2
190002,37.1,-7.2
190102,37.8,-6.5
190202,33.3,-11.0
190302,39.1,-5.2
190402,40,-4.3
190502,31.5,-12.8
190602,43.4,-0.9
190702,44.6,0.3
190802,43.6,-0.7
190902,48.6,4.3
191002,39.9,-4.4
191102,48.5,4.2
191202,36.5,-7.8
191302,39.4,-4.9
191402,38.1,-6.2
191502,46.4,2.1
191602,41.1,-3.2
191702,42.8,-1.5
191802,47.7,3.4
191902,45.4,1.1
192002,43.9,-0.4
192102,50.4,6.1
192202,46.1,1.8
192302,39.9,-4.4
192402,43.5,-0.8
192502,50.4,6.1
192602,49.1,4.8
192702,52.2,7.9
192802,46.4,2.1
192902,34.3,-10.0
193002,54.5,10.2
193102,50.7,6.4
193202,53.6,9.3
193302,43.5,-0.8
193402,43.4,-0.9
193502,46.1,1.8
193602,32.9,-11.4
193702,40.8,-3.5
193802,49.5,5.2
193902,43.8,-0.5
194002,40.3,-4.0
194102,41,-3.3
194202,40.6,-3.7
194302,51.6,7.3
194402,47.9,3.6
194502,44.1,-0.2
194602,52.2,7.9
194702,38.6,-5.7
194802,41.9,-2.4
194902,44.9,0.6
195002,46.2,1.9
195102,45.1,0.8
195202,49.2,4.9
195302,50.4,6.1
195402,56,11.7
195502,43.5,-0.8
195602,44.8,0.5
195702,48.5,4.2
195802,35.7,-8.6
195902,44.3,0.0
196002,37.8,-6.5
196102,48.3,4.0
196202,46.3,2.0
196302,41.5,-2.8
196402,44,-0.3
196502,44.9,0.6
196602,42.3,-2.0
196702,42.8,-1.5
196802,40.1,-4.2
196902,42,-2.3
197002,45.5,1.2
197102,41.6,-2.7
197202,44.9,0.6
197302,43.3,-1.0
197402,48,3.7
197502,39.2,-5.1
197602,55.6,11.3
197702,46.1,1.8
197802,30.4,-13.9
197902,34.1,-10.2
198002,37.4,-6.9
198102,47.4,3.1
198202,40.7,-3.6
198302,46.9,2.6
198402,51.6,7.3
198502,37.8,-6.5
198602,44,-0.3
198702,49.6,5.3
198802,41.6,-2.7
198902,35,-9.3
199002,50.7,6.4
199102,51.9,7.6
199202,51.2,6.9
199302,40.3,-4.0
199402,43.2,-1.1
199502,47.1,2.8
199602,47.6,3.3
199702,45.2,0.9
199802,49.3,5.0
199902,52.1,7.8
200002,52.9,8.6
200102,44.4,0.1
200202,48.1,3.8
200302,40.7,-3.6
200402,43.4,-0.9
200502,49.6,5.3
200602,46.2,1.9
200702,38.9,-5.4
200802,39.9,-4.4
200902,49.8,5.5
201002,37,-7.3
201102,43,-1.3
201202,49.6,5.3
201302,44,-0.3
201402,36.8,-7.5
201502,36.5,-7.8
