Alaska, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192504,32.3,0.2
192604,37.4,5.3
192704,24.6,-7.5
192804,33.2,1.1
192904,30.3,-1.8
193004,30.5,-1.6
193104,31.4,-0.7
193204,34,1.9
193304,33.6,1.5
193404,33.8,1.7
193504,32.6,0.5
193604,34.4,2.3
193704,29.1,-3.0
193804,36.1,4.0
193904,33,0.9
194004,42.4,10.3
194104,35.4,3.3
194204,34.7,2.6
194304,32.9,0.8
194404,31.4,-0.7
194504,29.4,-2.7
194604,29,-3.1
194704,31.9,-0.2
194804,30.8,-1.3
194904,26.4,-5.7
195004,32,-0.1
195104,33.9,1.8
195204,28.5,-3.6
195304,36.4,4.3
195404,31.2,-0.9
195504,26.5,-5.6
195604,31.5,-0.6
195704,35.4,3.3
195804,36.2,4.1
195904,29,-3.1
196004,27,-5.1
196104,28.5,-3.6
196204,31,-1.1
196304,30,-2.1
196404,27,-5.1
196504,32.5,0.4
196604,29.8,-2.3
196704,33.7,1.6
196804,29.7,-2.4
196904,35.5,3.4
197004,29.4,-2.7
197104,26.9,-5.2
197204,24.5,-7.6
197304,32,-0.1
197404,32.7,0.6
197504,28.4,-3.7
197604,32.2,0.1
197704,27.5,-4.6
197804,35.2,3.1
197904,33.6,1.5
198004,34.5,2.4
198104,33.8,1.7
198204,27.7,-4.4
198304,34.7,2.6
198404,28.5,-3.6
198504,22.4,-9.7
198604,26.5,-5.6
198704,31.9,-0.2
198804,33,0.9
198904,36.9,4.8
199004,38.9,6.8
199104,35.6,3.5
199204,31.4,-0.7
199304,39.1,7.0
199404,33.9,1.8
199504,38.1,6.0
199604,33.2,1.1
199704,37.1,5.0
199804,38.3,6.2
199904,32.1,0.0
200004,33.6,1.5
200104,33.3,1.2
200204,30.8,-1.3
200304,37,4.9
200404,37,4.9
200504,34.7,2.6
200604,29.2,-2.9
200704,38.6,6.5
200804,31.4,-0.7
200904,33,0.9
201004,35.4,3.3
201104,32.3,0.2
201204,36.5,4.4
201304,26.5,-5.6
201404,36.9,4.8
201504,36.5,4.4
