Tennessee, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,49.5,0.4
189612,50.8,1.7
189712,49,-0.1
189812,46.7,-2.4
189912,46.5,-2.6
190012,50.5,1.4
190112,43.8,-5.3
190212,46.7,-2.4
190312,44.2,-4.9
190412,48.3,-0.8
190512,46.1,-3.0
190612,50.3,1.2
190712,49.4,0.3
190812,51.4,2.3
190912,42.3,-6.8
191012,43.7,-5.4
191112,52.4,3.3
191212,48.9,-0.2
191312,50.5,1.4
191412,42.4,-6.7
191512,49,-0.1
191612,48.9,-0.2
191712,40.9,-8.2
191812,54.4,5.3
191912,48.7,-0.4
192012,48.7,-0.4
192112,53.5,4.4
192212,54.7,5.6
192312,57,7.9
192412,48.8,-0.3
192512,47.3,-1.8
192612,49.7,0.6
192712,49.6,0.5
192812,51.8,2.7
192912,49.4,0.3
193012,44.2,-4.9
193112,55.9,6.8
193212,49,-0.1
193312,57.3,8.2
193412,47.1,-2.0
193512,40.1,-9.0
193612,52,2.9
193712,46.5,-2.6
193812,49.8,0.7
193912,51.1,2.0
194012,54.1,5.0
194112,52.5,3.4
194212,47.2,-1.9
194312,46.9,-2.2
194412,43.9,-5.2
194512,41.7,-7.4
194612,54.9,5.8
194712,51.7,2.6
194812,50.7,1.6
194912,53.3,4.2
195012,42.9,-6.2
195112,52.3,3.2
195212,49.1,0.0
195312,48.2,-0.9
195412,47.4,-1.7
195512,48,-1.1
195612,57.7,8.6
195712,52.7,3.6
195812,45.7,-3.4
195912,50.7,1.6
196012,44.2,-4.9
196112,48.5,-0.6
196212,45.7,-3.4
196312,39,-10.1
196412,50.9,1.8
196512,52.9,3.8
196612,48.1,-1.0
196712,53.1,4.0
196812,46.7,-2.4
196912,44.5,-4.6
197012,53.4,4.3
197112,56.9,7.8
197212,49.8,0.7
197312,49.5,0.4
197412,48.9,-0.2
197512,49.6,0.5
197612,47.6,-1.5
197712,47.5,-1.6
197812,51.5,2.4
197912,50.9,1.8
198012,50.4,1.3
198112,45.7,-3.4
198212,54.6,5.5
198312,41.8,-7.3
198412,58.4,9.3
198512,44.8,-4.3
198612,47.6,-1.5
198712,52.4,3.3
198812,50.9,1.8
198912,39.3,-9.8
199012,53.8,4.7
199112,52.8,3.7
199212,47.1,-2.0
199312,47.9,-1.2
199412,53.4,4.3
199512,46.8,-2.3
199612,52.8,3.7
199712,47.4,-1.7
199812,52.5,3.4
199912,52.8,3.7
200012,39.8,-9.3
200112,54.7,5.6
200212,48.7,-0.4
200312,49,-0.1
200412,49.2,0.1
200512,46.1,-3.0
200612,55.1,6.0
200712,54.4,5.3
200812,50.7,1.6
200912,46.6,-2.5
201012,41.3,-7.8
201112,52.7,3.6
201212,54.8,5.7
201312,49.8,0.7
201412,50.3,1.2
201512,60.8,11.7
