Massachusetts, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,54.4,-1.1
189604,58.6,3.1
189704,58,2.5
189804,50.9,-4.6
189904,56.9,1.4
190004,55,-0.5
190104,51.5,-4.0
190204,56.2,0.7
190304,56.3,0.8
190404,52.6,-2.9
190504,55.9,0.4
190604,55.8,0.3
190704,50.7,-4.8
190804,55.2,-0.3
190904,54.5,-1.0
191004,60.5,5.0
191104,53.3,-2.2
191204,55,-0.5
191304,55.5,0.0
191404,51.6,-3.9
191504,59.9,4.4
191604,51.8,-3.7
191704,50.6,-4.9
191804,56.3,0.8
191904,54.2,-1.3
192004,50.8,-4.7
192104,60.8,5.3
192204,55.8,0.3
192304,56,0.5
192404,53.1,-2.4
192504,57.5,2.0
192604,50.5,-5.0
192704,56.1,0.6
192804,53.1,-2.4
192904,54,-1.5
193004,55.3,-0.2
193104,57.7,2.2
193204,54.3,-1.2
193304,53.3,-2.2
193404,56.8,1.3
193504,53.2,-2.3
193604,51.6,-3.9
193704,52.8,-2.7
193804,58.6,3.1
193904,50.7,-4.8
194004,50.3,-5.2
194104,62.6,7.1
194204,60,4.5
194304,50.5,-5.0
194404,51.9,-3.6
194504,61.6,6.1
194604,53.9,-1.6
194704,54.3,-1.2
194804,56.3,0.8
194904,58.9,3.4
195004,53.5,-2.0
195104,57.5,2.0
195204,58.2,2.7
195304,54.9,-0.6
195404,58.2,2.7
195504,56.6,1.1
195604,51.4,-4.1
195704,59.1,3.6
195804,56.6,1.1
195904,57.5,2.0
196004,57.5,2.0
196104,51.7,-3.8
196204,57.9,2.4
196304,57,1.5
196404,54.5,-1.0
196504,52.8,-2.7
196604,52.8,-2.7
196704,52.8,-2.7
196804,60.9,5.4
196904,59.5,4.0
197004,56.3,0.8
197104,53.1,-2.4
197204,51,-4.5
197304,57.2,1.7
197404,58.9,3.4
197504,51.5,-4.0
197604,61,5.5
197704,58.9,3.4
197804,53.5,-2.0
197904,54.4,-1.1
198004,56.7,1.2
198104,59,3.5
198204,54.6,-0.9
198304,55.1,-0.4
198404,54.4,-1.1
198504,57.9,2.4
198604,58.2,2.7
198704,55.8,0.3
198804,53.6,-1.9
198904,53.6,-1.9
199004,55.8,0.3
199104,60.6,5.1
199204,53.2,-2.3
199304,56,0.5
199404,59.1,3.6
199504,54.6,-0.9
199604,55.3,-0.2
199704,54.1,-1.4
199804,58.5,3.0
199904,58.4,2.9
200004,54.3,-1.2
200104,57.7,2.2
200204,59.7,4.2
200304,53,-2.5
200404,57.5,2.0
200504,60.4,4.9
200604,59.8,4.3
200704,52.7,-2.8
200804,60.2,4.7
200904,59.7,4.2
201004,62.7,7.2
201104,57.4,1.9
201204,60.7,5.2
201304,57.6,2.1
201404,57.3,1.8
201504,56.4,0.9
