Missouri, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,83.6,3.3
189609,76.9,-3.4
189709,89.3,9.0
189809,81.6,1.3
189909,80.9,0.6
190009,81.8,1.5
190109,81.9,1.6
190209,73.9,-6.4
190309,78.6,-1.7
190409,80.5,0.2
190509,79.7,-0.6
190609,82.2,1.9
190709,80,-0.3
190809,83.4,3.1
190909,80.6,0.3
191009,80,-0.3
191109,84,3.7
191209,80,-0.3
191309,79.8,-0.5
191409,79.8,-0.5
191509,80.4,0.1
191609,79.8,-0.5
191709,79.9,-0.4
191809,73.8,-6.5
191909,83.8,3.5
192009,80.7,0.4
192109,83.6,3.3
192209,83.8,3.5
192309,78.6,-1.7
192409,75.1,-5.2
192509,85.3,5.0
192609,78.7,-1.6
192709,82.9,2.6
192809,77.5,-2.8
192909,78.6,-1.7
193009,82.7,2.4
193109,86.9,6.6
193209,79.8,-0.5
193309,85.4,5.1
193409,76.2,-4.1
193509,80.3,0.0
193609,83.4,3.1
193709,81.9,1.6
193809,84,3.7
193909,89.5,9.2
194009,81.4,1.1
194109,82,1.7
194209,78.1,-2.2
194309,77.4,-2.9
194409,79.7,-0.6
194509,79.9,-0.4
194609,79.7,-0.6
194709,84.8,4.5
194809,82.2,1.9
194909,74.8,-5.5
195009,76,-4.3
195109,75.8,-4.5
195209,82.5,2.2
195309,87.2,6.9
195409,87.4,7.1
195509,84.6,4.3
195609,85.5,5.2
195709,77.8,-2.5
195809,78.6,-1.7
195909,81.1,0.8
196009,84.8,4.5
196109,78.9,-1.4
196209,75.6,-4.7
196309,81.6,1.3
196409,79.6,-0.7
196509,78.1,-2.2
196609,75.9,-4.4
196709,76.4,-3.9
196809,78.4,-1.9
196909,79.2,-1.1
197009,80.9,0.6
197109,81.7,1.4
197209,80.3,0.0
197309,77.8,-2.5
197409,72.5,-7.8
197509,75,-5.3
197609,81,0.7
197709,80,-0.3
197809,84.6,4.3
197909,80.6,0.3
198009,83.7,3.4
198109,79.7,-0.6
198209,77.3,-3.0
198309,82.6,2.3
198409,78.2,-2.1
198509,78.7,-1.6
198609,81.6,1.3
198709,80,-0.3
198809,80.9,0.6
198909,74.7,-5.6
199009,83.3,3.0
199109,79.1,-1.2
199209,77.5,-2.8
199309,73.8,-6.5
199409,77.6,-2.7
199509,76.3,-4.0
199609,76.1,-4.2
199709,79.9,-0.4
199809,84.7,4.4
199909,80.5,0.2
200009,82.7,2.4
200109,78.2,-2.1
200209,83.5,3.2
200309,76.6,-3.7
200409,81.4,1.1
200509,83.6,3.3
200609,76.8,-3.5
200709,82.4,2.1
200809,77.5,-2.8
200909,76.6,-3.7
201009,79.9,-0.4
201109,76.9,-3.4
201209,78.6,-1.7
201309,82.8,2.5
201409,78.4,-1.9
201509,82.8,2.5
